
[00:00:00.000 --> 00:00:08.440]  在聖經可信媽系列中,我們已經說到"美耳"的一個訊息
[00:00:08.440 --> 00:00:12.440]  今天要和大家說的是聖經裏面的預言
[00:00:12.440 --> 00:00:18.440]  我曾經說過神在聖經裏面有祂的特別啟示
[00:00:18.440 --> 00:00:23.440]  自然啟示就是神的創造,但不能夠讓我們認識神
[00:00:23.440 --> 00:00:27.440]  神是透過特別的啟示將祂自己顯現出來
[00:00:27.440 --> 00:00:29.440]  包括三個部分
[00:00:29.440 --> 00:00:32.440]  第一,因為祂是無處不在的神
[00:00:32.440 --> 00:00:35.440]  祂在舊約不斷向人顯現
[00:00:35.440 --> 00:00:42.440]  透過夢境、異象,甚至是祭籤,讓人看到祂的旨意
[00:00:42.440 --> 00:00:45.440]  讓人知道祂的存在
[00:00:45.440 --> 00:00:49.440]  第二,祂是無所不能的神
[00:00:49.440 --> 00:00:53.440]  所以祂在聖經裏面有很多祂的神蹟奇事
[00:00:53.440 --> 00:00:56.440]  這也是我上一次和大家分享
[00:00:56.440 --> 00:01:00.440]  今天要說的是祂是無所不知的神
[00:01:00.440 --> 00:01:03.440]  所以祂是知道一切
[00:01:03.440 --> 00:01:08.440]  在詩篇139篇4節,147篇5節
[00:01:08.440 --> 00:01:13.440]  在《以塞亞書》40章28節,和《約翰一書》3章20節
[00:01:13.440 --> 00:01:16.440]  都告訴我們祂是無所不知
[00:01:16.440 --> 00:01:21.440]  祂在我們的時間和空間外,能知過去未來
[00:01:21.440 --> 00:01:27.440]  今天的經文剛才讀過的是《以塞亞書》46章9至10節
[00:01:27.440 --> 00:01:33.440]  你們要追念上古的事,因為我是神,並無別神
[00:01:33.440 --> 00:01:36.440]  我是神,再沒有能給我的
[00:01:36.440 --> 00:01:42.440]  我從起初指名末後的事,從古時延名未成的事說
[00:01:42.440 --> 00:01:48.440]  我的酬算必立定,凡我所喜悅的,我必成就
[00:01:48.440 --> 00:01:55.440]  神喜歡做什麼就做什麼,他所說的事一定會發生
[00:01:55.440 --> 00:02:01.440]  我們相對之下,人能不能知道將來的事?不能
[00:02:01.440 --> 00:02:06.440]  我們有歷史,從歷史當中我們知道過去的事
[00:02:06.440 --> 00:02:12.440]  人也是很聰明的,能夠透過氣溫氣壓濕度
[00:02:12.440 --> 00:02:16.440]  能夠知道預測天氣
[00:02:16.440 --> 00:02:20.440]  但我們不能知道明天會發生什麼事
[00:02:20.440 --> 00:02:27.440]  這也是原因很多人喜歡看相,看獎,算命
[00:02:27.440 --> 00:02:31.440]  就是他們想尋求將來會發生的事
[00:02:31.440 --> 00:02:35.440]  但聖經告訴我們,我們不可能知道
[00:02:35.440 --> 00:02:41.440]  《亞國書》的4章14節,其實明天如何,你們還不知道
[00:02:41.440 --> 00:02:46.440]  你們的生命是什麼呢?你們原來是一片雲霧
[00:02:46.440 --> 00:02:53.440]  出現小事就不見了,人是沒辦法知道將來的事
[00:02:53.440 --> 00:03:00.440]  但你說不是,有很多人都說自己可以預料將來的事
[00:03:00.440 --> 00:03:06.440]  有些什麼人,例如中國的劉伯溫燒餅哥
[00:03:06.440 --> 00:03:14.440]  法國的Nostradamus,還有一個保加利亞的盲眼婦人巴巴·貝恩格
[00:03:14.440 --> 00:03:18.440]  都說可以預知將來的事
[00:03:18.440 --> 00:03:23.440]  但你們留意的話,這些預言不是具體的
[00:03:23.440 --> 00:03:28.440]  是非常此事而非,而且他們說出來的話
[00:03:28.440 --> 00:03:32.440]  可能可以包含很多不同的意義
[00:03:32.440 --> 00:03:36.440]  雖然不管什麼事發生都好像被他們說中一樣
[00:03:36.440 --> 00:03:41.440]  但你說不是,巴巴·貝恩格很厲害
