
[00:00:00.000 --> 00:00:08.000]  今天和大家思想的是關乎盡力尋求與家人復和
[00:00:08.000 --> 00:00:12.500]  我們在這段時間看到創世紀裏面有關家庭的訊息
[00:00:12.500 --> 00:00:16.000]  也都上上彼此的勉勵 不要單單聽道
[00:00:16.000 --> 00:00:19.000]  要上上為自己和自己家庭祈禱
[00:00:19.000 --> 00:00:26.000]  求神賜福你的家 能夠經歷聖經所描述的神要賜的各種的恩惠
[00:00:26.000 --> 00:00:30.000]  我記得幾年前曾經在香港報紙有一段新聞
[00:00:30.000 --> 00:00:33.000]  講述香港有一個調查
[00:00:33.000 --> 00:00:38.000]  調查240位男士都是做父親的
[00:00:38.000 --> 00:00:43.000]  問及他們甚麼令他們生活最快樂
[00:00:43.000 --> 00:00:47.000]  問及他們的時候 很多人會以為他們會講及
[00:00:47.000 --> 00:00:52.000]  可能是事業有些成就 或者有某些工作表現
[00:00:52.000 --> 00:00:57.000]  但他們竟然提出最開心的原因有兩樣
[00:00:57.000 --> 00:01:02.000]  第一 就是能夠與家人的相處良好
[00:01:02.000 --> 00:01:07.000]  72%的男士說這是最開心的原因
[00:01:07.000 --> 00:01:11.000]  如果與家人能夠很開心地相處是我最快樂的事情
[00:01:11.000 --> 00:01:19.000]  第二 夫妻和睦 68%的人表示只要夫妻和睦他們就開心
[00:01:19.000 --> 00:01:22.000]  大家會體會到其實在我們內心裏面
[00:01:22.000 --> 00:01:30.000]  每個人都會很自自然 很盼望與家人能夠和睦相處是最快樂的事情
[00:01:30.000 --> 00:01:34.000]  夫妻之間能夠和睦亦是最快樂的事情
[00:01:34.000 --> 00:01:36.000]  我記得有一次喝茶
[00:01:36.000 --> 00:01:41.000]  喝茶時留意到在旁邊的桌子有兩位老夫老妻
[00:01:41.000 --> 00:01:45.000]  我相信都七百七十多歲 在那裏喝茶
[00:01:45.000 --> 00:01:51.000]  一般我見到年紀大的喝茶都會自己顧自己
[00:01:51.000 --> 00:01:54.000]  看自己的報紙 喝自己的茶
[00:01:54.000 --> 00:02:01.000]  但這對夫婦我見到男的看著太太 側著身聽她說話
[00:02:01.000 --> 00:02:07.000]  當太太一邊說話的時候 他全神貫注地聽太太說話
[00:02:07.000 --> 00:02:11.000]  太太很滿足地分享他某些事情
[00:02:11.000 --> 00:02:15.000]  在離開時我特別留意到他們丈夫牽著他的手
[00:02:15.000 --> 00:02:18.000]  兩個人一起走出酒樓
[00:02:18.000 --> 00:02:24.000]  能夠夫妻和睦 家人和睦是神賜給人的福氣
[00:02:24.000 --> 00:02:27.000]  亦是一份快樂的源頭
[00:02:27.000 --> 00:02:31.000]  即使無論你的家庭如何 你放心向神求
[00:02:31.000 --> 00:02:35.000]  是神歡喜在這方面賜福給我們
[00:02:35.000 --> 00:02:40.000]  求神將這份和睦的恩典賜給我們的家庭
[00:02:40.000 --> 00:02:45.000]  當然在和睦當中很重要的關鍵就是每個人都會有些時候犯錯
[00:02:45.000 --> 00:02:51.000]  因此學習彼此饒恕是能夠得到和睦的重要關鍵
[00:02:51.000 --> 00:02:55.000]  所以你記得 哥羅西書第三章十三節
[00:02:55.000 --> 00:02:59.000]  上上告訴我們 你們要彼此饒恕
[00:02:59.000 --> 00:03:04.000]  你們要彼此饒恕 主怎樣饒恕了你們
[00:03:04.000 --> 00:03:08.000]  你們也要怎樣饒恕別人
[00:03:08.000 --> 00:03:13.000]  上上記起 沒錯他得罪我 他做一些事情激怒我
[00:03:13.000 --> 00:03:19.000]  但是主都原諒我 我都應該學習去原諒別人
[00:03:19.000 --> 00:03:24.000]  你就有力量去原諒你的親人 你的朋友 你的家人
[00:03:24.000 --> 00:03:27.000]  所以我們今天思想就是聖經裏面提及的
[00:03:27.000 --> 00:03:32.000]  一對兄弟雅各爾素很大的冤仇
