
[00:00:00.000 --> 00:00:12.800]  不知道大家有沒有嘗試過了解一個人的真情是怎樣
[00:00:12.800 --> 00:00:16.400]  我發覺如果你要認識一個人
[00:00:16.400 --> 00:00:21.200]  要知道他的本質本性是怎樣
[00:00:21.200 --> 00:00:27.600]  最好就是透過這個人在一些事情上的反射回應
[00:00:27.600 --> 00:00:31.800]  你就能夠看見那個人真人是怎樣的
[00:00:31.800 --> 00:00:33.600]  所以簡單來說
[00:00:33.600 --> 00:00:38.000]  你要真人路上最好就是細心觀察一下
[00:00:38.000 --> 00:00:42.200]  那個人在一些事情上的反射回應
[00:00:42.200 --> 00:00:47.200]  所以當我們特別是在工作的場地
[00:00:47.200 --> 00:00:51.400]  我們每天都會見到很多不同的同事等等
[00:00:51.400 --> 00:00:58.200]  究竟那個人的本性是否值得我去信得過依賴得過呢
[00:00:58.200 --> 00:01:02.000]  或者他給你一些教導或者指示
[00:01:02.000 --> 00:01:06.400]  你是會願意跟隨的呢
[00:01:06.400 --> 00:01:13.200]  其實很多時候你去看那個人對一些事情的反應就最明顯了
[00:01:13.200 --> 00:01:15.200]  我就有過這樣的經驗
[00:01:15.200 --> 00:01:19.200]  曾經我在大學的時候工作
[00:01:19.200 --> 00:01:24.800]  我以前在大學做電腦網絡的管理
[00:01:24.800 --> 00:01:34.400]  主要的工作是支援一些研究生的研究
[00:01:34.400 --> 00:01:40.000]  大部分研究生都不用加學費的
[00:01:40.000 --> 00:01:42.800]  因為都會有獎學金給他們的
[00:01:42.800 --> 00:01:50.600]  所以怎樣去看那個人是否值得幫助他呢
[00:01:50.600 --> 00:01:53.200]  其實很容易的
[00:01:53.200 --> 00:01:55.200]  因為他們不用加學費
[00:01:55.200 --> 00:02:04.400]  所以其餘的時間他們就很著重於學校有多少資源給他們做研究
[00:02:04.400 --> 00:02:09.600]  我發覺當時有幾個研究生
[00:02:09.600 --> 00:02:12.600]  每個人都說很熟悉的
[00:02:12.600 --> 00:02:14.600]  每個人都認識我
[00:02:14.600 --> 00:02:16.600]  因為我是做城市規劃的
[00:02:16.600 --> 00:02:18.600]  我本身都是讀城市規劃的
[00:02:18.600 --> 00:02:23.000]  所以那個部門全部都是做城市規劃的研究
[00:02:23.000 --> 00:02:28.800]  做城市規劃就不是以往一般的大家的想法
[00:02:28.800 --> 00:02:35.800]  其實大部分的城市規劃都是用電腦去做很多模擬的程式
[00:02:35.800 --> 00:02:39.800]  然後去推算最終的結果
[00:02:39.800 --> 00:02:43.400]  所以涉及用資源的時候
[00:02:43.400 --> 00:02:49.200]  這些研究生就會來幫我做很多的事情
