
[00:00:00.000 --> 00:00:06.000]  在講到之前,我們一起有個祈禱
[00:00:06.000 --> 00:00:15.000]  慈悲人愛的天父,我們仰望你透過你的話語,再次成為我們生命的鼓勵和提醒
[00:00:15.000 --> 00:00:23.000]  我們明白在疫症環境、苦難臨在的年代,我們更加需要你的話語成為我們的鼓勵
[00:00:23.000 --> 00:00:34.000]  求祝你使用孩子所宣講,能夠把你的話語顯成,讓更多人能登著那個益處
[00:00:34.000 --> 00:00:39.000]  多謝你,我們的禱告在奉耶穌基督命求,阿門
[00:00:39.000 --> 00:00:48.000]  各位啟光堂的弟姐妹大家好,很高興可以在這裡和大家一起崇拜領受上帝的話語
[00:00:48.000 --> 00:00:53.000]  我今天選了一段經文,是來自列王紀上的十七章經文
[00:00:53.000 --> 00:01:01.000]  這段經文就是我們比較熟悉的一段經文,若然我們還記得,列王紀其實都有很多主角
[00:01:01.000 --> 00:01:07.000]  但到第十七章有一個主角是不能不提,其實他的名字就叫做以利亞
[00:01:07.000 --> 00:01:13.000]  以利亞這段經歷,我們看看那個分段也不是很複雜
[00:01:13.000 --> 00:01:18.000]  因為我們發現以利亞的故事由第十七章開始到第十九章
[00:01:18.000 --> 00:01:25.000]  裡面的經文十七章主要是講烏鴉和寡婦的供養故事
[00:01:25.000 --> 00:01:29.000]  十八章其實是一個很熟悉的一段,因為在加密山上面
[00:01:29.000 --> 00:01:36.000]  以利亞如何和巴力和阿斯塔陸的先知去到一個比拼的一段時間
[00:01:36.000 --> 00:01:42.000]  然後十九章也是很熟悉,因為耶洗別要追殺這個以利亞
[00:01:42.000 --> 00:01:46.000]  在羅騰樹下求死,以及他如何在荷列山的經歷
[00:01:46.000 --> 00:01:51.000]  我們一一都能夠在十七章到第十八章那裏能夠看得到
[00:01:51.000 --> 00:01:57.000]  十七章其實是一個旱災的開始,十八章就是旱災的結束
[00:01:57.000 --> 00:02:05.000]  我們看到這樣的分段,我們明白原來以利亞的故事是一個精心佈局的故事
[00:02:05.000 --> 00:02:13.000]  但是到了這裏,我們明白我們沒有辦法有更多的時間去完成所有三章的解經
[00:02:13.000 --> 00:02:20.000]  我們只能夠去到第十七章,我們看看今天有沒有上帝的信息和我們去分享
[00:02:20.000 --> 00:02:25.000]  其實那個背景其實一點都不複雜
[00:02:25.000 --> 00:02:30.000]  列王紀上的十六章提到阿哈登基作以色列的皇帝
[00:02:30.000 --> 00:02:33.000]  這是第十六章的二十九節所告訴我們的
[00:02:33.000 --> 00:02:38.000]  他在薩馬利亞建造巴力的廟,為巴力祝壇
[00:02:38.000 --> 00:02:42.000]  這是十六章的三十二節,所以阿哈作為的時間
[00:02:42.000 --> 00:02:46.000]  巴力就成為北國以色列國重要的神明
[00:02:46.000 --> 00:02:53.000]  而這個巴力作主的背景就成為以利亞成為先知的背景
[00:02:53.000 --> 00:02:57.000]  我們都很想知道究竟巴力究竟是怎樣的
[00:02:57.000 --> 00:03:00.000]  所以和大家去看一看巴力的樣子
[00:03:00.000 --> 00:03:06.000]  這個泥板就是古烏加列城出土的一個泥板
[00:03:06.000 --> 00:03:11.000]  這個泥板應該是現今的泥巴亂去到出土
[00:03:11.000 --> 00:03:17.000]  我們發現除了巴力的樣子之外,裡面都記載了一些文字
[00:03:17.000 --> 00:03:20.000]  告訴我們巴力的神話究竟是怎樣的
