
[00:00:00.000 --> 00:00:11.000]  今天跟大家一起思想的經文是出自於馬太福音第五章一至十二節
[00:00:11.000 --> 00:00:15.000]  今天的講題就是「你們是蒙福的人嗎?」
[00:00:15.000 --> 00:00:20.000]  今天是我們新一年的開始
[00:00:20.000 --> 00:00:24.000]  也是我們今年第一次的主要崇拜
[00:00:24.000 --> 00:00:28.000]  我相信很多時候我們在新年的時候
[00:00:28.000 --> 00:00:34.000]  最喜歡談論的就是福或福氣這個題目
[00:00:34.000 --> 00:00:38.000]  所以我也希望趁著今天跟大家一起透過這段經文
[00:00:38.000 --> 00:00:41.000]  馬太福音第五章一至十二節
[00:00:41.000 --> 00:00:45.000]  去談論有關於福這個問題
[00:00:45.000 --> 00:00:49.000]  不過我相信當大家聽完今天這堂崇拜的時候
[00:00:49.000 --> 00:00:55.000]  可能你對於福這個題目有一個很不一樣的領受
[00:00:55.000 --> 00:00:58.000]  或者有很大的改變、改觀
[00:00:58.000 --> 00:01:04.000]  我希望這個改觀能夠幫助大家更加貼近上帝的心
[00:01:04.000 --> 00:01:09.000]  也能夠更加好好預備我們能夠在天國裡面活著
[00:01:09.000 --> 00:01:13.000]  今天我們一起去看的經文就是耶穌基督
[00:01:13.000 --> 00:01:15.000]  在開始傳道的時候
[00:01:15.000 --> 00:01:20.000]  他一篇最整全記載下來的講章
[00:01:20.000 --> 00:01:22.000]  有很多弟兄姊妹就會問
[00:01:22.000 --> 00:01:25.000]  為什麼馬太在這個時候
[00:01:25.000 --> 00:01:31.000]  要這麼詳細地將耶穌基督一篇講章記載下來呢?
[00:01:31.000 --> 00:01:33.000]  在前文我們已經討論過了
[00:01:33.000 --> 00:01:38.000]  其實很多時候我們在真理上面
[00:01:38.000 --> 00:01:41.000]  我們以為自己有很好的把握
[00:01:41.000 --> 00:01:45.000]  但是其實當我們經過了一段長久的時間之後
[00:01:45.000 --> 00:01:52.000]  很多已經變成一種人云亦云的信仰傳統
[00:01:52.000 --> 00:01:56.000]  所以耶穌基督在這個時候將整卷的
[00:01:56.000 --> 00:02:00.000]  舊聖經一些重要的經文
[00:02:00.000 --> 00:02:03.000]  特別是他們日常經常會引用到的經文
[00:02:03.000 --> 00:02:05.000]  將它提出來
[00:02:05.000 --> 00:02:08.000]  作出一個很整全的陳述
[00:02:08.000 --> 00:02:13.000]  這個也是連貫他在先前希望糾正
[00:02:13.000 --> 00:02:17.000]  在猶太人的群體或者以色列文的群體裏面
[00:02:17.000 --> 00:02:23.000]  他們的屬靈的錯誤或者被扭曲的現象
[00:02:23.000 --> 00:02:26.000]  所以希望今天透過這段聖經
[00:02:26.000 --> 00:02:32.000]  耶穌基督怎樣引用我們今天稱之為舊約的聖經的經文
[00:02:32.000 --> 00:02:37.000]  從而讓一些好像看上是非常熟悉的經文
[00:02:37.000 --> 00:02:41.000]  尤其是對於猶太人是可以說是非常熟悉的經文
[00:02:41.000 --> 00:02:44.000]  這樣他們能夠有一個正確的觀念
[00:02:44.000 --> 00:02:47.000]  因為我們知道很可能越熟悉的經文
[00:02:47.000 --> 00:02:52.000]  我們就越容易有些錯誤的誤解
[00:02:52.000 --> 00:02:59.000]  而這個誤解耶穌為了免得我們繼續將它重複去做
[00:02:59.000 --> 00:03:01.000]  或者甚至逐漸擴大
[00:03:01.000 --> 00:03:05.000]  有必要在這個時候馬太這位作者
[00:03:05.000 --> 00:03:10.000]  將這一方面的耶穌教導清楚的陳述一次
[00:03:10.000 --> 00:03:15.000]  讓我們一起再次去看看這段經文說些甚麼
[00:03:15.000 --> 00:03:19.000]  這段聖經是馬太福音第五章一至十二節
[00:03:19.000 --> 00:03:22.000]  我們一起先讀一次好不好
[00:03:22.000 --> 00:03:26.000]  這段聖經好使我們能夠更清楚知道這段經文的內容
[00:03:26.000 --> 00:03:30.000]  耶穌看見許多人就上了山
[00:03:30.000 --> 00:03:34.000]  記耳坐下門徒到他跟前來
[00:03:34.000 --> 00:03:37.000]  他就開口教訓他們說
[00:03:37.000 --> 00:03:41.000]  虛心的人有福了 因為天國是他們的
[00:03:41.000 --> 00:03:45.000]  哀動的人有福了 因為他們必得安慰
[00:03:45.000 --> 00:03:50.000]  溫柔的人有福了 因為他們必承受地土
[00:03:50.000 --> 00:03:55.000]  饑渴無意的人有福了 因為他們必得飽足
[00:03:55.000 --> 00:04:00.000]  憐恤人的人有福了 因為他們必蒙憐恤
[00:04:00.000 --> 00:04:04.000]  清心的人有福了 因為他們必得見上帝
[00:04:04.000 --> 00:04:10.000]  斯人磨木的人有福了 因為他們必稱為上帝的兒子
[00:04:10.000 --> 00:04:15.000]  為易受逼迫的人有福了 因為天國是他們的
[00:04:15.000 --> 00:04:20.000]  人若因我辱罵你們 逼迫你們
[00:04:20.000 --> 00:04:25.000]  捏造各樣壞話誹謗你們 你們就有福了
[00:04:25.000 --> 00:04:31.000]  應當歡喜快樂 因為你們在天上的賞賜是大的
[00:04:31.000 --> 00:04:36.000]  在你們以前的先知 人也是這樣逼迫他們
[00:04:36.000 --> 00:04:41.000]  看八福這段經文 或者用英語說
[00:04:41.000 --> 00:04:48.000]  The Beatitudes 有三個很重要的重點
[00:04:48.000 --> 00:04:52.000]  是我們首要學會 或者變清楚 明白的
[00:04:52.000 --> 00:04:55.000]  因為如果這三點搞不清楚的時候
[00:04:55.000 --> 00:04:58.000]  我們對於八福這段經文
[00:04:58.000 --> 00:05:04.000]  就會有很多的曲解 甚至可以說自由任你解釋
[00:05:04.000 --> 00:05:06.000]  喜歡怎麼解釋就怎麼解釋
[00:05:06.000 --> 00:05:09.000]  這三個重點就規限著幫助我們
[00:05:09.000 --> 00:05:15.000]  去在一個特定的方向去解釋 或者了解這段經文
[00:05:15.000 --> 00:05:18.000]  第一點 在這八節的經文當中
[00:05:18.000 --> 00:05:22.000]  談論到有關於這些蒙福的人
