
[00:00:00.000 --> 00:00:04.620]  各位網友 多謝各位支持我們這次的活動
[00:00:04.620 --> 00:00:07.860]  我們下次節目再見 拜拜
[00:00:07.860 --> 00:00:11.860]  我來這裡和大家分享聖經裏面的說話
[00:00:11.860 --> 00:00:14.660]  上一次來 如果我沒有記錯
[00:00:14.660 --> 00:00:18.660]  應該也是在過年的時候
[00:00:18.660 --> 00:00:22.360]  大家還記不記得我上一次說過些什麼呢?
[00:00:22.360 --> 00:00:24.060]  都是不記得多了
[00:00:24.060 --> 00:00:27.540]  所以做教師和做傳道都是很好的
[00:00:27.540 --> 00:00:29.140]  因為我們說完都是不記得
[00:00:29.140 --> 00:00:32.140]  我們又可以重新再說一次
[00:00:32.140 --> 00:00:35.380]  在去年這個時候 我和大家分享的
[00:00:35.380 --> 00:00:39.420]  也是因為近年過年的時候
[00:00:39.420 --> 00:00:41.820]  我就分享了八福
[00:00:41.820 --> 00:00:45.460]  在聖經裏面 耶穌登山裏面說
[00:00:45.460 --> 00:00:47.340]  什麼是有福了
[00:00:47.340 --> 00:00:49.860]  因為過年的時候當然是說福了
[00:00:49.860 --> 00:00:54.460]  我還記得我給大家看了一幅圖畫
[00:00:54.460 --> 00:00:57.740]  是康熙皇帝寫的一個福字
[00:00:57.740 --> 00:01:00.980]  是為了祂的祖母生病
[00:01:00.980 --> 00:01:05.620]  所以祂齋戒沐浴三天之後寫了一個福字
[00:01:05.620 --> 00:01:08.780]  為皇后來祝福
[00:01:08.780 --> 00:01:13.180]  就說聖經裏面耶穌認為的福氣
[00:01:13.180 --> 00:01:17.580]  和我們平時所說的是很不同的
[00:01:17.580 --> 00:01:19.940]  今天又是接近農曆新年
[00:01:19.940 --> 00:01:23.260]  也剛剛過了新曆的新年
[00:01:23.260 --> 00:01:30.540]  我想和大家說一個祝福的話
[00:01:30.540 --> 00:01:35.660]  我希望各位凡事順利
[00:01:35.660 --> 00:01:41.140]  做工作的希望你步步高升
[00:01:41.140 --> 00:01:46.180]  讀書的希望你逢關必過
[00:01:46.180 --> 00:01:48.780]  我們以前的學生同事
[00:01:48.780 --> 00:01:55.460]  這些學生很喜歡叫做過三爆四
[00:01:55.460 --> 00:01:58.620]  因為GPA如果去到四分是滿分的
[00:01:58.620 --> 00:02:00.620]  所以過了三分就很厲害了
[00:02:00.620 --> 00:02:03.540]  他們喜歡過三爆四
[00:02:03.540 --> 00:02:09.700]  這些都是我們在過年的時候說的祝福的話
[00:02:09.700 --> 00:02:14.340]  但是今天的題目似乎告訴我們知道
[00:02:14.340 --> 00:02:18.140]  凡事順利步步高升
[00:02:18.140 --> 00:02:20.980]  其實是一件很危險的事
[00:02:20.980 --> 00:02:23.820]  所以我今天就和大家分享一個題目
[00:02:23.820 --> 00:02:26.260]  叫做人生的滑路
[00:02:26.260 --> 00:02:29.060]  原來這隻腳會動的
[00:02:29.060 --> 00:02:30.340]  我做這個題目的時候
[00:02:30.340 --> 00:02:35.220]  都不知道原來那個人是會走著會動的
[00:02:35.220 --> 00:02:37.900]  在我們人生的道路上
[00:02:37.900 --> 00:02:43.140]  有些時候你覺得你好像走著一些很困難的路
[00:02:43.140 --> 00:02:45.940]  很多樓梯、很多斜路要上
[00:02:45.940 --> 00:02:47.620]  你覺得很辛苦
[00:02:47.620 --> 00:02:52.100]  但是有些時候你會走著一條很平坦的路
[00:02:52.100 --> 00:02:56.100]  甚至是有一點點向下斜的
[00:02:56.100 --> 00:03:00.140]  都不用走自己會像會滑下去的
[00:03:00.140 --> 00:03:05.660]  究竟我們走哪一條路是比較穩妥呢?
[00:03:05.660 --> 00:03:09.420]  一個很出名的英國文學家
[00:03:09.420 --> 00:03:12.180]  魯易斯(C.S. Lewis)
[00:03:12.180 --> 00:03:17.260]  他在一本很出名的書叫做《Screw Tape Letters》裡面
[00:03:17.260 --> 00:03:18.500]  說了這句話
[00:03:18.500 --> 00:03:20.540]  《Screw Tape Letters》是什麼來的呢?
[00:03:20.540 --> 00:03:23.540]  是他說有一個大鬼
[00:03:23.540 --> 00:03:25.060]  一隻鬼
[00:03:25.060 --> 00:03:26.620]  就和一隻小鬼說
[00:03:26.620 --> 00:03:30.940]  怎樣去引誘人類去犯罪的
[00:03:30.940 --> 00:03:33.420]  所以他就寫了很多封信
[00:03:33.420 --> 00:03:38.460]  由大鬼教小鬼怎樣引誘人去做錯事
[00:03:38.460 --> 00:03:41.580]  在這裡魯易斯就有一句很出名的書
[00:03:41.580 --> 00:03:44.580]  他說大鬼和小鬼說
[00:03:44.580 --> 00:03:47.060]  Indeed, the safest road to hell
[00:03:47.060 --> 00:03:50.300]  最容易去地獄的那條路
[00:03:50.300 --> 00:03:55.820]  是一個慢慢地走過去的
[00:03:55.820 --> 00:03:57.420]  The gentle slope
[00:03:57.420 --> 00:04:01.820]  那個斜坡是很微微的斜
[00:04:01.820 --> 00:04:03.540]  Soft underfoot
[00:04:03.540 --> 00:04:07.380]  腳底下面可能有草、可能有地毯
[00:04:07.380 --> 00:04:09.180]  你走得很舒服的
[00:04:09.180 --> 00:04:11.220]  Without sudden turning
[00:04:11.220 --> 00:04:15.860]  不會說是一瞬間很大的轉變
[00:04:15.860 --> 00:04:19.820]  不會說一定是很戲劇性的一個變化
[00:04:19.820 --> 00:04:22.100]  Without milestone
[00:04:22.100 --> 00:04:24.140]  No signpost
[00:04:24.140 --> 00:04:27.300]  看不到有路標
[00:04:27.300 --> 00:04:30.580]  看不到有指示牌告訴你前面在走什麼
[00:04:30.580 --> 00:04:32.820]  你想像一下這條路是怎樣的呢?
[00:04:32.820 --> 00:04:37.500]  這條路就是一條康莊大道
[00:04:37.500 --> 00:04:40.420]  兩邊可能是很多花、很多草
[00:04:40.420 --> 00:04:44.500]  兩邊都是看得很遠的
[00:04:44.500 --> 00:04:46.740]  然後你一路走是很開心的
[00:04:46.740 --> 00:04:50.020]  不用很辛苦、不用出汗
[00:04:50.020 --> 00:04:54.500]  但是走著走著原來會滑下去
[00:04:54.500 --> 00:04:56.540]  帶我們去地獄
[00:04:56.540 --> 00:05:00.740]  這是C.S. Lewis的形容
[00:05:00.740 --> 00:05:04.820]  人生最容易墮落的時候
[00:05:04.820 --> 00:05:08.380]  往往不是在我們最困難的時候
[00:05:08.380 --> 00:05:12.060]  而是在我們最以為沒事會發生
[00:05:12.060 --> 00:05:14.940]  不會有什麼大錯出現的時候
[00:05:14.940 --> 00:05:18.700]  這就是你人生最危險的時候
[00:05:18.700 --> 00:05:21.140]  我記得我在20年前
[00:05:21.140 --> 00:05:23.620]  去到史丹福大學訪問
[00:05:23.620 --> 00:05:26.380]  在圖書館找到一本書
[00:05:26.380 --> 00:05:28.500]  那本書的名字叫做
[00:05:28.500 --> 00:05:31.580]  What I Wish I Knew at the Age of 20
[00:05:31.580 --> 00:05:33.060]  在我20歲的時候
[00:05:33.060 --> 00:05:37.060]  我最想知道的是一些什麼東西呢?
[00:05:37.060 --> 00:05:40.180]  那本書其實是
[00:05:40.180 --> 00:05:45.420]  當然是給學生10多20歲的時候去用的
[00:05:45.420 --> 00:05:48.180]  但是它描述的其實就是在說
[00:05:48.180 --> 00:05:54.700]  一個史丹福大學的教授讀商業的
[00:05:54.700 --> 00:05:57.860]  在那個大學讀商業出來
[00:05:57.860 --> 00:05:59.820]  多數都是飛黃騰達
[00:05:59.820 --> 00:06:02.940]  找到很好的工作、很好的收入
[00:06:02.940 --> 00:06:04.300]  這個教授他說
[00:06:04.300 --> 00:06:09.140]  我們每一年有一個reunion
[00:06:09.140 --> 00:06:12.780]  每一年都有一個班聚
[00:06:12.780 --> 00:06:14.780]  然後我就看到
[00:06:14.780 --> 00:06:17.780]  在畢業了5年、10年的
[00:06:17.780 --> 00:06:20.340]  他們開始找到一份很好的工作
[00:06:20.340 --> 00:06:21.220]  他們很開心
[00:06:21.220 --> 00:06:24.860]  人生開始走上一步
[00:06:24.860 --> 00:06:28.300]  接著去到10年到20年
[00:06:28.300 --> 00:06:30.780]  他們發覺他們的alumni
[00:06:30.780 --> 00:06:35.340]  他們的校友開始進入到managerial grade
[00:06:35.340 --> 00:06:38.660]  開始做管理層
