
[00:00:00.000 --> 00:00:07.000]  多謝黃牧師能夠和大家一起在新年之後
[00:00:07.000 --> 00:00:10.000]  一起敬拜,一起思想整個說話
[00:00:10.000 --> 00:00:13.000]  我們先想的就是剛才我們所讀的那段聖經
[00:00:13.000 --> 00:00:17.000]  想大家因為都挺長的,打開聖經好不好
[00:00:17.000 --> 00:00:20.000]  如果你有聖經的話,請你打開創世紀
[00:00:20.000 --> 00:00:24.000]  我們剛才所讀的那段聖經,22章,1至14節
[00:00:24.000 --> 00:00:28.000]  剛才黃牧師就說,是不是有個系列
[00:00:28.000 --> 00:00:32.000]  當然有1,當然有2,不過有2就沒有第三了
[00:00:32.000 --> 00:00:35.000]  其實有3的,為什麼呢?
[00:00:35.000 --> 00:00:39.000]  考考你們,有些人可能一直都有來傳福堂
[00:00:39.000 --> 00:00:41.000]  你記不記得我上個月說什麼?
[00:00:41.000 --> 00:00:43.000]  不記得了
[00:00:43.000 --> 00:00:46.000]  其實我上個月,1月的時候
[00:00:46.000 --> 00:00:49.000]  就說羅馬書第8章,記得嗎?
[00:00:49.000 --> 00:00:51.000]  其實羅馬書第8章就說盼望
[00:00:51.000 --> 00:00:53.000]  這一段日子我自己也在想
[00:00:53.000 --> 00:00:59.000]  那繼續每個月跟大家在聖經和什麼信息裡面分享
[00:00:59.000 --> 00:01:04.000]  所以最後我就決定了,不如用三次
[00:01:04.000 --> 00:01:08.000]  第一次,因為1月的時候我還沒想到這些東西
[00:01:08.000 --> 00:01:12.000]  所以就沒有改題目,就跟這個系列一樣
[00:01:12.000 --> 00:01:17.000]  我就想改這個非常基督徒這個主題
[00:01:17.000 --> 00:01:21.000]  其實就說是非常的信心,今天說
[00:01:21.000 --> 00:01:24.000]  下一次就會說非常的愛
[00:01:24.000 --> 00:01:29.000]  其實上個月那個是非常的盼望
[00:01:29.000 --> 00:01:33.000]  應該是非常信,非常基督徒的1
