
[00:00:00.000 --> 00:00:05.960]  佛陀慈慕讓我們在聆聽主的說話
[00:00:05.960 --> 00:00:09.320]  以示我們一齊同心 低頭 禱告 仰望着我們的神
[00:00:09.320 --> 00:00:14.080]  父神多謝禰 讓我們再次回到禰的啓示當中
[00:00:14.080 --> 00:00:20.480]  在禰獨生兒子耶穌基督所作成的救恩基礎之上
[00:00:20.480 --> 00:00:24.800]  讓我們能夠可以在當中去生根建造
[00:00:24.800 --> 00:00:30.520]  讓禰的僕人保羅將祂的說話記錄下來
[00:00:30.520 --> 00:00:35.040]  讓祂所透露的對教會每一個信徒
[00:00:35.040 --> 00:00:38.560]  他們的關懷和靈性上的長進
[00:00:38.560 --> 00:00:41.640]  所付出的心 身 力
[00:00:41.640 --> 00:00:45.280]  我們都祈求主讓我們一方面可以體會
[00:00:45.280 --> 00:00:50.560]  但更重要的是我們同樣要去擁抱同一份的心志
[00:00:50.560 --> 00:00:54.480]  來在上主的當中去仰望 去侍奉
[00:00:54.480 --> 00:00:56.640]  走一條合神心意的道路
[00:00:56.640 --> 00:00:59.560]  配得起稱爲一個真正的基督徒
[00:00:59.560 --> 00:01:04.000]  而不是一個虛有其名 掛名在這個世界上
[00:01:04.000 --> 00:01:06.800]  矇混過關的一個教徒
[00:01:06.800 --> 00:01:10.200]  所以祈求主讓我們再次在禰的說話啓示
[00:01:10.200 --> 00:01:12.080]  再次彰顯的時候
[00:01:12.080 --> 00:01:17.400]  讓我們每一個能夠再次同樣在禰的教導當中
[00:01:17.400 --> 00:01:21.160]  準確去領受當中的教訓
[00:01:21.160 --> 00:01:23.720]  並且透過聖靈的引導
[00:01:23.720 --> 00:01:26.480]  讓我們能夠有同一份的心思意念
[00:01:26.480 --> 00:01:31.400]  好像基督一樣能夠活在上帝的喜悅當中
[00:01:31.400 --> 00:01:34.120]  靠禰的幫助帶領 我們要同心討告
[00:01:34.120 --> 00:01:38.280]  奉靠主耶穌基督 得勝名自求 阿們
[00:01:38.280 --> 00:01:44.360]  首先謝謝一些弟兄姊妹在過去這幾個禮拜的問候
[00:01:44.360 --> 00:01:46.960]  其中一件事都挺開心的
[00:01:46.960 --> 00:01:49.640]  有些弟兄姊妹見到我病的時候
[00:01:49.640 --> 00:01:52.360]  他都跟我說服侍你休息一下
[00:01:52.360 --> 00:01:56.760]  我也不是不想休息 只是很難休息
[00:01:56.760 --> 00:01:59.960]  因爲教育其他一個傳道人
[00:01:59.960 --> 00:02:04.680]  希望日後可以多一些弟兄姊妹同工
[00:02:04.680 --> 00:02:09.680]  可以來一同侍奉在這個港道的崗位上
[00:02:09.680 --> 00:02:13.560]  也很開心有些弟兄姊妹就算去旅行
[00:02:13.560 --> 00:02:18.440]  都原來參觀崇拜的 會記掛着我
[00:02:18.440 --> 00:02:22.960]  寄來的一些問候的卡等等
[00:02:22.960 --> 00:02:26.240]  很感謝弟兄姊妹的關懷
[00:02:26.240 --> 00:02:33.760]  今天我們會去看哥羅西書的第一章第九至十四節
[00:02:33.760 --> 00:02:39.880]  我給一個講題 它叫如何代土 如何接受代土
[00:02:39.880 --> 00:02:50.640]  無獨有口在過去這三個星期裏也有兩位弟兄寫了個電郵給我
[00:02:50.640 --> 00:02:55.880]  談論到土告的問題和他們的猶豫
[00:02:55.880 --> 00:03:00.640]  特別他們討論到如何爲人代土
[00:03:00.640 --> 00:03:05.640]  自己也如何代土 如何祈禱
[00:03:05.640 --> 00:03:12.200]  是不是好像其他的宗教一樣去土告呢
[00:03:12.200 --> 00:03:15.800]  今天我就不是特別爲他們有這條問題
[00:03:15.800 --> 00:03:18.520]  我相信這是聖靈的模樣
[00:03:18.520 --> 00:03:24.080]  在適當的時間就將這個題目擺在我們面前
[00:03:24.080 --> 00:03:30.040]  的確很多宗教都有所謂土告的事情
[00:03:30.040 --> 00:03:36.240]  但是聖經談論到土告到底是一回什麼事呢
[00:03:36.240 --> 00:03:41.360]  很多時候我們作爲基督徒在這方面我們很少去探究
[00:03:41.360 --> 00:03:49.360]  因爲我們就用其他宗教對於所謂祈禱或者去品神
[00:03:49.360 --> 00:03:57.760]  這種思維來套入基督教或者我們基督徒的信當中
[00:03:57.760 --> 00:04:04.600]  這個我很希望大家姐妹首先要學會一件事
[00:04:04.600 --> 00:04:16.280]  切勿將其他宗教的拜神方式套入我們相信上帝的信的過程
[00:04:16.280 --> 00:04:22.680]  我再次重複 這是一個很嚴重的問題
[00:04:22.680 --> 00:04:27.920]  因爲我見得最多的時候很多的信徒
[00:04:27.920 --> 00:04:36.760]  他的土告和其他宗教的所謂土告是沒有分別的
[00:04:36.760 --> 00:04:44.280]  甚至他們去敬拜相信上帝相信耶穌的思維方式
[00:04:44.280 --> 00:04:51.080]  都和去敬拜或者思想其他的宗教是沒有分別的
[00:04:51.080 --> 00:04:54.080]  我見得最多的是什麼呢
[00:04:54.080 --> 00:05:00.920]  信耶穌的土告 不信的耶穌的人又土告
[00:05:00.920 --> 00:05:12.080]  他們的土告的內容往往都是爲了自己自身的一些困難而去土告的
[00:05:12.080 --> 00:05:17.200]  但很可惜因爲他們不明白聖經裏面談論土告的時候
[00:05:17.200 --> 00:05:20.160]  就亂來土告了
[00:05:20.160 --> 00:05:28.480]  比如基督徒很多時候說哪個人有什麼困難 有什麼病患
[00:05:28.480 --> 00:05:31.480]  有什麼難處
[00:05:31.480 --> 00:05:35.840]  我們可以帶到上主的跟前
[00:05:35.840 --> 00:05:39.800]  然後祈求上帝爲他解決
[00:05:39.800 --> 00:05:50.320]  首先我想告訴大家 這種土告最大的問題的焦點在哪裏呢
[00:05:50.320 --> 00:05:55.480]  就是你爲自己自身的事情去土告
[00:05:55.480 --> 00:06:01.760]  你整個土告的焦點是在你個人的心願
[00:06:01.760 --> 00:06:06.480]  或者是某些人的心願
[00:06:06.480 --> 00:06:14.600]  但是這種土告從來都不是在聖經裏面談土告的問題
[00:06:14.600 --> 00:06:18.840]  或者不是談土告的焦點
[00:06:18.840 --> 00:06:23.440]  有些人就會說 牧師你怎麼土告呢
