
[00:00:00.000 --> 00:00:10.000]  有關一般人對信仰,有人說有四種不同的取向
[00:00:10.000 --> 00:00:15.000]  這四種不同的取向,給我們看一張圖
[00:00:15.000 --> 00:00:24.000]  第一種是叫做迷信的取向
[00:00:24.000 --> 00:00:30.000]  什麼叫迷信呢?迷信就是信一些明明通不過理性的東西
[00:00:30.000 --> 00:00:35.000]  就好像信月光有上我,有牛郎,有織女
[00:00:35.000 --> 00:00:41.000]  然後那些小鳥一路搭橋搭到月光,就可以讓他們相遇
[00:00:41.000 --> 00:00:47.000]  這些人都知道,這些只是故事,是神話
[00:00:47.000 --> 00:00:54.000]  不是一個真真正正的科學能夠告訴我們真實的東西
[00:00:54.000 --> 00:01:00.000]  第二種我叫做信迷的人,什麼叫信迷呢?問他信什麼?
[00:01:00.000 --> 00:01:08.000]  他說不知道,祖先拜開就拜,人家敢拜我們就敢拜
[00:01:08.000 --> 00:01:13.000]  好像許願樹,難道樹真的可以深想事成
[00:01:13.000 --> 00:01:19.000]  扔點許願上去,掛在那裡,然後夢境成真
[00:01:19.000 --> 00:01:25.000]  人人都知道不是,我不知道有多少人掛過那些東西上去
[00:01:25.000 --> 00:01:30.000]  我帶朋友去,真的有人扔過去,但是扔完之後全部沒有一個靈
[00:01:30.000 --> 00:01:34.000]  給大家知道,這個就是信迷
[00:01:34.000 --> 00:01:39.000]  甚至你可能會信得很真,但是人問你的時候你都不知道自己信什麼
[00:01:39.000 --> 00:01:44.000]  人家問你信什麼?我記得我那時候在美國會議的時候
[00:01:44.000 --> 00:01:49.000]  是有一個長老,這個長老他就來,他說想轉會
[00:01:49.000 --> 00:01:56.000]  我看見他想轉會,我就去跟他聊聊天
[00:01:56.000 --> 00:02:02.000]  他跟我說,牧師我告訴你,我還沒出生啊
[00:02:02.000 --> 00:02:08.000]  我就已經信了,我覺得很奇怪,還沒出生就信了
[00:02:08.000 --> 00:02:13.000]  原來他就說他媽媽在肚子裡的時候,他已經去教會
[00:02:13.000 --> 00:02:18.000]  他是第三代的基督徒,我一聽見都很厲害
[00:02:18.000 --> 00:02:22.000]  這個長老都六十幾歲,是第三代基督徒
[00:02:22.000 --> 00:02:26.000]  我就排好一個好奇心,我就問他,恭喜你啊
[00:02:26.000 --> 00:02:30.000]  我都沒想過,還沒出生就已經信耶穌
[00:02:30.000 --> 00:02:36.000]  我就問他,你信的是什麼?他聽完之後
[00:02:36.000 --> 00:02:43.000]  牧師,我來聽了你半年,我信的就是你信的
[00:02:43.000 --> 00:02:51.000]  我跟著他就問,那時候我叫他細伯,因為那時候我年輕
[00:02:51.000 --> 00:02:57.000]  細伯,我信的又是什麼呢?牧師你信我啦
[00:02:57.000 --> 00:03:04.000]  你信的就是我信的,我就乾脆說,我知道啊
[00:03:04.000 --> 00:03:08.000]  那你出街的時候,如果有人問你,你信的內容是什麼
[00:03:08.000 --> 00:03:12.000]  那你怎麼回答?就是說你信的和我信的
[00:03:12.000 --> 00:03:16.000]  那個內容是什麼?那你怎麼回答?
