
[00:00:00.000 --> 00:00:05.000]  華記的弟兄姊妹平安
[00:00:05.000 --> 00:00:10.000]  上一次不知多久就站在這個台上
[00:00:10.000 --> 00:00:15.000]  很感恩有我的好朋友
[00:00:15.000 --> 00:00:19.000]  有哈靈牧師和華欣牧師
[00:00:19.000 --> 00:00:22.000]  在這裡我當然會記得
[00:00:22.000 --> 00:00:28.000]  當時有份參與安立中肖牧師
[00:00:28.000 --> 00:00:32.000]  人生真是有很多變化很快捷
[00:00:32.000 --> 00:00:35.000]  但今天能夠在這裡
[00:00:35.000 --> 00:00:39.000]  牧師請我來
[00:00:39.000 --> 00:00:44.000]  當然不是只來這裡講道
[00:00:44.000 --> 00:00:48.000]  而是很想表達一種關懷
[00:00:48.000 --> 00:00:51.000]  來尋找主的羊
[00:00:51.000 --> 00:00:54.000]  我們有很多羊來到這邊
[00:00:54.000 --> 00:00:57.000]  希望將主的恩典帶到當中
[00:00:57.000 --> 00:01:01.000]  其中包括過去兩堂報道會
[00:01:01.000 --> 00:01:04.000]  還有今晚一堂報道會
[00:01:04.000 --> 00:01:09.000]  還有9號10號去加利福尼和艾曼頓
[00:01:09.000 --> 00:01:11.000]  還有兩場報道會
[00:01:11.000 --> 00:01:17.000]  還有14號回來還有一堂北約的報道會
[00:01:17.000 --> 00:01:19.000]  很想將主的恩典
[00:01:19.000 --> 00:01:22.000]  將自己所蒙的恩跟人分享
[00:01:22.000 --> 00:01:23.000]  有人問我
[00:01:23.000 --> 00:01:28.000]  為什麼你退休後還這麼活躍
[00:01:28.000 --> 00:01:32.000]  其實我們知道自己的時間
[00:01:32.000 --> 00:01:37.000]  在某些崗位應該轉一轉
[00:01:37.000 --> 00:01:39.000]  但主若許可
[00:01:39.000 --> 00:01:43.000]  一息尚存我也要歌頌我的主
[00:01:43.000 --> 00:01:44.000]  一息尚存
[00:01:44.000 --> 00:01:46.000]  好像Billy Graham的biography
[00:01:46.000 --> 00:01:48.000]  我幫他翻譯的那一本
[00:01:48.000 --> 00:01:52.000]  一息尚存我也要傳揚福音
[00:01:52.000 --> 00:01:55.000]  今天要跟大家講的是
[00:01:55.000 --> 00:01:57.000]  在我心裡都覺得
[00:01:57.000 --> 00:02:01.000]  教會需要注意的一樣東西
[00:02:01.000 --> 00:02:04.000]  華人教會對於聖靈
[00:02:04.000 --> 00:02:08.000]  在這個世紀是怎樣的呢?
[00:02:08.000 --> 00:02:13.000]  在往後的日子對於聖靈會是怎樣的呢?
[00:02:13.000 --> 00:02:16.000]  縱觀這個西方教會
[00:02:16.000 --> 00:02:19.000]  很活潑的一段時間
[00:02:19.000 --> 00:02:21.000]  到現在都還沒停
[00:02:21.000 --> 00:02:25.000]  都是有這個靈因運動
[00:02:25.000 --> 00:02:27.000]  大家想多倫多
[00:02:27.000 --> 00:02:30.000]  不過華人教會可能連Toronto Blessing
[00:02:30.000 --> 00:02:32.000]  對於教會界的影響
[00:02:32.000 --> 00:02:34.000]  可能都不是幾次
[00:02:34.000 --> 00:02:35.000]  在我們香港
[00:02:35.000 --> 00:02:38.000]  我們1980年代末
[00:02:38.000 --> 00:02:40.000]  90年代初
[00:02:40.000 --> 00:02:43.000]  這一類的靈因運動對我們有火大的影響
[00:02:43.000 --> 00:02:46.000]  我自己也曾經是投身在其中
[00:02:46.000 --> 00:02:48.000]  也有得益
[00:02:48.000 --> 00:02:50.000]  但來到今時今日
[00:02:50.000 --> 00:02:52.000]  我會界定自己為
[00:02:52.000 --> 00:02:54.000]  我注重聖靈
[00:02:54.000 --> 00:02:57.000]  我願意聖靈繼續在
[00:02:57.000 --> 00:03:00.000]  我們的教會當中工作
[00:03:00.000 --> 00:03:03.000]  不過縱觀某一些運動
[00:03:03.000 --> 00:03:06.000]  裡面可能有聖靈的工作
[00:03:06.000 --> 00:03:09.000]  那個運動本身並不能夠
[00:03:09.000 --> 00:03:14.000]  全部就聲稱這就是聖靈的工作
[00:03:14.000 --> 00:03:16.000]  可能你不明白我說什麼
[00:03:16.000 --> 00:03:18.000]  不過J.I.Packer提出說
[00:03:18.000 --> 00:03:21.000]  有些教會是很有秩序
[00:03:21.000 --> 00:03:23.000]  是很安靜
[00:03:23.000 --> 00:03:26.000]  華人教會會不會很有秩序
[00:03:26.000 --> 00:03:28.000]  很有安靜
[00:03:28.000 --> 00:03:31.000]  連少少聖靈的激情
[00:03:31.000 --> 00:03:34.000]  都好像不會見到
[00:03:34.000 --> 00:03:37.000]  有時候去一些聚會
[00:03:37.000 --> 00:03:39.000]  大家已經坐得很定
[00:03:39.000 --> 00:03:41.000]  靜得不得了
[00:03:41.000 --> 00:03:43.000]  主席還上台
[00:03:43.000 --> 00:03:45.000]  繼續說請大家安靜
[00:03:45.000 --> 00:03:48.000]  那你想怎樣
[00:03:48.000 --> 00:03:53.000]  有些人說唱歌一定要
[00:03:53.000 --> 00:03:57.000]  正襟倪坐
[00:03:57.000 --> 00:04:00.000]  稍微舉手都不行
[00:04:00.000 --> 00:04:03.000]  不是像詩經那樣說
[00:04:03.000 --> 00:04:05.000]  手之足之舞之道之
[00:04:05.000 --> 00:04:08.000]  有專內而發專外
[00:04:08.000 --> 00:04:10.000]  然後在教會裡
[00:04:10.000 --> 00:04:14.000]  就將這些人性情裡的東西
[00:04:14.000 --> 00:04:16.000]  全部性化
[00:04:16.000 --> 00:04:18.000]  性到零了
[00:04:18.000 --> 00:04:20.000]  什麼都沒有
[00:04:20.000 --> 00:04:23.000]  我那時候聽過一個老師說
[00:04:23.000 --> 00:04:25.000]  他當然是走那個
[00:04:25.000 --> 00:04:29.000]  可為靈因的路線
[00:04:29.000 --> 00:04:31.000]  Michael Green
[00:04:31.000 --> 00:04:32.000]  很有聲望的一位
[00:04:32.000 --> 00:04:34.000]  聖經會的報導者
[00:04:34.000 --> 00:04:36.000]  牧者
[00:04:36.000 --> 00:04:38.000]  他說有些教會就是
[00:04:38.000 --> 00:04:39.000]  害怕靈因
[00:04:39.000 --> 00:04:43.000]  害怕到你舉手都不行
[00:04:43.000 --> 00:04:45.000]  他甚至企圖將
[00:04:45.000 --> 00:04:49.000]  天花板的吊線延長下來
[00:04:49.000 --> 00:04:51.000]  降低吊線
[00:04:51.000 --> 00:04:53.000]  一路甩一甩
[00:04:53.000 --> 00:04:55.000]  你舉手就斬了你的手
[00:04:55.000 --> 00:04:59.000]  誇張的說法
[00:04:59.000 --> 00:05:01.000]  今天我想說的是
[00:05:01.000 --> 00:05:04.000]  五旬節的焦點到底是什麼
[00:05:04.000 --> 00:05:08.000]  五旬節和聖誕節
[00:05:08.000 --> 00:05:10.000]  都是歷史上
[00:05:10.000 --> 00:05:12.000]  獨一無二
[00:05:12.000 --> 00:05:13.000]  不能複製
[00:05:13.000 --> 00:05:16.000]  不會再出現的事
[00:05:16.000 --> 00:05:20.000]  而重要的是裡面的含義是什麼
[00:05:20.000 --> 00:05:23.000]  聖靈來的時候
[00:05:23.000 --> 00:05:25.000]  有大風吹過
[00:05:25.000 --> 00:05:28.000]  有舌頭如同火焰落在他們頭上
[00:05:28.000 --> 00:05:31.000]  他們說起別國的言語來
