
[00:00:00.000 --> 00:00:03.640]  請你讓我們聽神道之前先打告
[00:00:03.640 --> 00:00:08.440]  慈悲的父神多謝你 給我們能夠在一個這麼冷的天氣
[00:00:08.440 --> 00:00:13.340]  仍然能夠有一個這麼溫暖的聚會的地方來再次獻上感謝
[00:00:13.340 --> 00:00:17.380]  求你讓我們能夠帶著一份真是熱切追求
[00:00:17.380 --> 00:00:19.780]  嚮往在主理裏面的心智
[00:00:19.780 --> 00:00:22.380]  能夠同心的仰望在你的當中
[00:00:22.380 --> 00:00:29.300]  求你的聖靈進入東方的心智中 讓我們能夠在你心中
[00:00:29.300 --> 00:00:32.360]  進入到我們每一個信徒生命裏面之後
[00:00:32.360 --> 00:00:36.840]  讓我們有一個真是願意學習追求主導的心
[00:00:36.840 --> 00:00:40.880]  也求你能夠帶領我們隨著聖靈的引導
[00:00:40.880 --> 00:00:45.960]  能夠曉得如何在平天的生活裏面能夠活出主理的教訓
[00:00:45.960 --> 00:00:51.040]  我要請教父神多謝你 給我們終點在這個很冷的世界
[00:00:51.040 --> 00:00:56.380]  國家的當中 讓我們有這樣的溫暖的地方
[00:00:56.380 --> 00:01:01.060]  讓我們一起來到嚮往裏學習主理的正道
[00:01:01.060 --> 00:01:04.880]  求你的幫助 也讓我們帶著這份感恩的心智
[00:01:04.880 --> 00:01:07.700]  來到你的跟前 隨著聖靈的帶領
[00:01:07.700 --> 00:01:11.860]  使我們知道怎麼樣來到不單領受主理的教訓
[00:01:11.860 --> 00:01:16.500]  也同時在平日的生活當中把主理的教訓
[00:01:16.500 --> 00:01:21.040]  準確無誤的來到見證 醒出來
[00:01:21.040 --> 00:01:23.560]  我們禱告奉主耶穌的名求
[00:01:23.560 --> 00:01:28.440]  阿們 中國人有一個人物大家會很熟悉的
[00:01:28.440 --> 00:01:30.980]  中國人有一個人物大家應該都很熟悉
[00:01:30.980 --> 00:01:36.380]  叫孟子 所以有一個成語叫做孟母三千的故事
[00:01:36.380 --> 00:01:38.660]  一個成語叫孟母三千的故事
[00:01:38.660 --> 00:01:40.660]  大家熟悉孟母三千的故事嗎
[00:01:40.660 --> 00:01:43.080]  大家熟悉孟母三千嗎
[00:01:43.080 --> 00:01:46.660]  其實這個故事講什麼呢 簡單來講
[00:01:46.660 --> 00:01:48.900]  這個故事講什麼呢 簡單這樣講
[00:01:48.900 --> 00:01:51.060]  孟子的媽媽是一個寡婦來的
[00:01:51.060 --> 00:01:52.820]  孟子的媽媽是一個寡婦
[00:01:52.820 --> 00:01:54.820]  丈夫很早就已經過世
[00:01:54.820 --> 00:01:56.100]  丈夫很早過世
