
[00:00:00.000 --> 00:00:09.200]  各位代表教會歡迎Sandy的家人一齊參加崇拜
[00:00:09.200 --> 00:00:13.200]  遠道從美國上來 都好幾年了
[00:00:13.200 --> 00:00:16.200]  我想在COVID之前見過你
[00:00:16.200 --> 00:00:20.200]  歡迎你一齊參加我們的崇拜
[00:00:20.200 --> 00:00:24.200]  又是寧靜主導的意思 我們再次同心低頭禱告
[00:00:24.200 --> 00:00:31.200]  多謝你讓我們在主你的話當中有機會一起研讀
[00:00:31.200 --> 00:00:38.200]  感謝主你的帶領 讓我們在生命中得到這樣的造就
[00:00:38.200 --> 00:00:43.200]  為此獻上感恩 求你讓在上線下線的弟兄姊妹
[00:00:43.200 --> 00:00:52.200]  都能在今天的經文中找到上主的侍奉御徒的掙扎
[00:00:52.200 --> 00:00:55.200]  讓我們每一個人都能夠憑信去經歷
[00:00:55.200 --> 00:00:59.200]  再次獻上感恩 讓我們能夠有這份福氣
[00:00:59.200 --> 00:01:03.200]  禱告奉靠主耶穌基督得勝的名字而求 阿們
[00:01:03.200 --> 00:01:12.200]  在很多年前的時候 回顧我最初信主沒多久的時候
[00:01:12.200 --> 00:01:22.200]  教會很多時候鼓勵我們邀請很多人去參加教會認識福音
[00:01:22.200 --> 00:01:28.200]  我自己覺得認識福音最重要的基礎不是叫人回教會
[00:01:28.200 --> 00:01:31.200]  最重要是認罪患改
[00:01:31.200 --> 00:01:34.200]  所以很多時候我不是單純叫人回教會
[00:01:34.200 --> 00:01:39.200]  我會約一些人在學校吃中午的時候
[00:01:39.200 --> 00:01:44.200]  談談關於救恩認罪等等的問題
[00:01:44.200 --> 00:01:47.200]  但是邀請回教會的也不少
[00:01:47.200 --> 00:01:52.200]  有些也說自己信了主 跟我一起回教會
[00:01:52.200 --> 00:02:00.200]  但是其中有一個學生或同學很深刻
[00:02:00.200 --> 00:02:04.200]  他跟我後來回教會之後
[00:02:04.200 --> 00:02:11.200]  很多時候他都埋怨信了主之後有很多不幸的經驗
[00:02:11.200 --> 00:02:14.200]  他說我發覺不信主有時可
[00:02:14.200 --> 00:02:19.200]  信了主之後倒霉的生活比以前未信主的時間還要多
[00:02:19.200 --> 00:02:23.200]  他說最簡單 譬如現在我們讀中學
[00:02:23.200 --> 00:02:26.200]  到最後一年 說出來都很可怕
[00:02:26.200 --> 00:02:33.200]  我們讀十三班的時候 在安省
[00:02:33.200 --> 00:02:37.200]  他說我們考完試 到現在都沒有大學修
[00:02:37.200 --> 00:02:41.200]  有時出街走路又跌倒
[00:02:41.200 --> 00:02:47.200]  我覺得跌倒可能是自己不小心 因為他都很大件
[00:02:47.200 --> 00:02:51.200]  總而言之信了主之後 事事不亨通
[00:02:51.200 --> 00:02:58.200]  當他這樣說的時候 當時我真的不知道怎樣回答他
[00:02:58.200 --> 00:03:07.200]  一來可能是初信 對於信的問題不是自己那麼清楚掌握
[00:03:07.200 --> 00:03:13.200]  尤其是當面對有些人在信上遇見挑戰的時候
[00:03:13.200 --> 00:03:16.200]  更加不懂怎樣回答他
[00:03:16.200 --> 00:03:22.200]  老實說 我都有類似的經驗
[00:03:22.200 --> 00:03:25.200]  不過聽了他很多次這些問題之後
[00:03:25.200 --> 00:03:30.200]  就說不回教會好過了 後來他真的決意不回教會
[00:03:30.200 --> 00:03:35.200]  我們是同學 我叫過幾次他不回就算了
[00:03:35.200 --> 00:03:40.200]  我不是那種死纏爛打的傳福音方式
[00:03:40.200 --> 00:03:44.200]  我相信信耶穌不可以死纏爛打得到回來
[00:03:44.200 --> 00:03:47.200]  是上帝有個時間表的
[00:03:47.200 --> 00:03:51.200]  但對於我來計 當時我都沒有大學修
[00:03:51.200 --> 00:03:55.200]  我還記得那時已經去到接近六月的時間
[00:03:55.200 --> 00:04:01.200]  我的學生簽證到六月尾 一定要走的
[00:04:01.200 --> 00:04:07.200]  如果沒有大學修就不能續期 一定沒有下文
[00:04:07.200 --> 00:04:12.200]  我成績很好 我在大學的成績
[00:04:12.200 --> 00:04:16.200]  可以這樣說 現在都很威風的
[00:04:16.200 --> 00:04:21.200]  屬於安省的學生 高中學生
[00:04:21.200 --> 00:04:25.200]  高中學生沒有平均分95分是做不到的
[00:04:25.200 --> 00:04:30.200]  那時我都是屬於安省學生其中一個
[00:04:30.200 --> 00:04:34.200]  但一間大學都沒有修
[00:04:34.200 --> 00:04:41.200]  如果用朋友的思想或同學的想法
[00:04:41.200 --> 00:04:46.200]  我同樣可以向上帝忽就而去
[00:04:46.200 --> 00:04:49.200]  可以不理會 上帝你都不保守我
