
[00:00:00.000 --> 00:00:09.000]  羅馬書第十四章一至十四節
[00:00:09.000 --> 00:00:13.440]  今天我們要講的是保羅一句很出名的話語
[00:00:13.440 --> 00:00:18.240]  他説「刑在罪中叫恩典顯多」
[00:00:18.240 --> 00:00:21.960]  注意是有個問號
[00:00:21.960 --> 00:00:27.840]  不是保羅叫我們真的要在罪裏使神的恩典更多
[00:00:27.840 --> 00:00:29.440]  是一個問號
[00:00:29.440 --> 00:00:34.480]  待會我們會看到保羅如何回答這個問題
[00:00:34.480 --> 00:00:37.320]  有兩個星期沒有講羅馬書
[00:00:37.320 --> 00:00:39.920]  所以需要有少許回顧
[00:00:39.920 --> 00:00:42.360]  然後我們也會做一些展望
[00:00:42.360 --> 00:00:46.400]  其實羅馬書第三章至第五章
[00:00:46.400 --> 00:00:49.080]  就是講到「清義」的部分
[00:00:49.080 --> 00:00:51.240]  甚麼是「清義」?
[00:00:51.240 --> 00:00:54.880]  「清義」就是當我們接受耶穌基督的時候
[00:00:54.880 --> 00:00:59.480]  神將他愛子耶穌基督的義披在我們身上
[00:00:59.480 --> 00:01:01.920]  以至當神望見我們的時候
[00:01:01.920 --> 00:01:03.840]  他見到他愛子的義
[00:01:03.840 --> 00:01:07.240]  我們這樣才能和神和好
[00:01:07.240 --> 00:01:09.400]  因為我們也是有罪的
[00:01:09.400 --> 00:01:13.360]  他還給了我們美好的地位
[00:01:13.360 --> 00:01:16.200]  就是他的兒女一個聖徒
[00:01:16.200 --> 00:01:18.400]  一個崇高的地位
[00:01:18.400 --> 00:01:22.200]  但我們自己的義還差很遠
[00:01:22.200 --> 00:01:25.520]  所以羅馬書第六章至第八章
[00:01:25.520 --> 00:01:28.160]  就是講到「誠性」的部分
[00:01:28.160 --> 00:01:31.280]  三至五章是「清義」
[00:01:31.280 --> 00:01:33.040]  是神做的工作
[00:01:33.040 --> 00:01:36.320]  六至八章是我們要「誠性」
[00:01:36.320 --> 00:01:38.520]  我們要越來越像耶穌基督
[00:01:38.520 --> 00:01:42.400]  其實羅馬書第六章至第八章
[00:01:42.400 --> 00:01:45.800]  都是講出我們如何能夠活出基督徒的生活
[00:01:45.800 --> 00:01:50.720]  在第六章說我們如何能夠活出德性的生活
[00:01:50.720 --> 00:01:56.240]  就是我們和肉體和身體的關係
[00:01:56.240 --> 00:02:00.760]  在第七章保羅說我們不再在律法之下
[00:02:00.760 --> 00:02:02.360]  我們是自由的
[00:02:02.360 --> 00:02:05.440]  那應該如何過著這個生活呢?
[00:02:05.440 --> 00:02:09.000]  第七章就是我們和律法的關係
[00:02:09.000 --> 00:02:14.840]  第八章保羅說我們得到有保障的生命
[00:02:14.840 --> 00:02:17.120]  有救恩的保障
[00:02:17.120 --> 00:02:19.800]  所以這是和誰的關係呢?
[00:02:19.800 --> 00:02:21.800]  是和聖靈的關係
[00:02:21.800 --> 00:02:25.800]  所以第六章是和我們自己身體的關係
[00:02:25.800 --> 00:02:26.800]  肉體的關係
[00:02:26.800 --> 00:02:28.120]  我稍後會解釋
[00:02:28.120 --> 00:02:31.640]  第七章是和律法的關係
[00:02:31.640 --> 00:02:34.520]  第八章是和聖靈的關係
[00:02:34.520 --> 00:02:38.120]  當保羅說「恩信」「清義」的時候
[00:02:38.120 --> 00:02:41.880]  相信有很多人會抗議、會異議
[00:02:41.880 --> 00:02:44.000]  就好像律師
[00:02:44.000 --> 00:02:47.040]  時時在審訊的過程當中
[00:02:47.040 --> 00:02:49.000]  都會突然站起來說
[00:02:49.000 --> 00:02:51.520]  法官大人 我反對
[00:02:51.520 --> 00:02:55.680]  其實當那些人聽保羅「恩信」「清義」的教導
[00:02:55.680 --> 00:02:58.680]  相信有很多人會反對、會異議
[00:02:58.680 --> 00:03:02.000]  在第六章至第八章
