
[00:00:00.000 --> 00:00:06.000]  各位頂姐妹早晨 主內平安
[00:00:06.000 --> 00:00:09.500]  很高興可以和大家一起去敬拜上帝
[00:00:09.500 --> 00:00:12.500]  代表見到神學院都問候大家
[00:00:12.500 --> 00:00:14.500]  我們常常在長洲裡
[00:00:14.500 --> 00:00:19.000]  常常都有芒果糯米糍 達德粒魚腩
[00:00:19.000 --> 00:00:21.500]  其實你住得多都不會常常吃
[00:00:21.500 --> 00:00:27.500]  但是那裡我每天都可以在一個很寧靜的環境裡禱告
[00:00:27.500 --> 00:00:30.500]  一起和神學生在那裡居住
[00:00:30.500 --> 00:00:35.500]  疫情的緣故我們最近才逐步讓那些神學生
[00:00:35.500 --> 00:00:38.500]  能夠回去住熟
[00:00:38.500 --> 00:00:43.500]  這個都感謝主 現在慢慢好了很多
[00:00:43.500 --> 00:00:46.500]  我們一起有個祈禱作為開始
[00:00:46.500 --> 00:00:49.500]  慈悲人外的天父 我們仰望你
[00:00:49.500 --> 00:00:54.500]  求你的聖言 觸動 根深 改變我們的生命
[00:00:54.500 --> 00:00:57.500]  讓我們不只是增加頭腦的知識
[00:00:57.500 --> 00:01:02.500]  我們求主你用你的主權去驅拆我們的生命
[00:01:02.500 --> 00:01:04.500]  活在你的心裡
[00:01:04.500 --> 00:01:07.500]  幫助孩子宣講你的話語清楚
[00:01:07.500 --> 00:01:13.500]  我們同心謙卑領受 禱告 奚奉耶穌基督的名求 阿們
[00:01:13.500 --> 00:01:16.500]  今天的講題叫做活出外
[00:01:16.500 --> 00:01:21.500]  為了要配合千脈浸信教會的主題
[00:01:21.500 --> 00:01:25.500]  有兩句 幸福人生和活出外
[00:01:25.500 --> 00:01:29.500]  我今天就講一句
[00:01:29.500 --> 00:01:34.500]  講一句的話 我會想起活出外這個主題
[00:01:34.500 --> 00:01:38.500]  在舊約裡面的版本 很想和大家分享
[00:01:38.500 --> 00:01:42.500]  因為我們經常聽到的就是新約的版本
[00:01:42.500 --> 00:01:45.500]  耶穌基督為我們的罪而死在十字架上
[00:01:45.500 --> 00:01:49.500]  成為那個挽回祭者 受事外了
[00:01:49.500 --> 00:01:52.500]  這是我們很出名 也經常提到的
[00:01:52.500 --> 00:01:56.500]  就是《讓汗一書》第四章裡面的內容
[00:01:56.500 --> 00:01:58.500]  今天我們很想回歸
[00:01:58.500 --> 00:02:01.500]  就是耶穌基督曾經引用過兩段經文
[00:02:01.500 --> 00:02:03.500]  兩段都是屬於舊約
[00:02:03.500 --> 00:02:09.500]  一段就是盡心盡性盡力去愛耶和華你的神
[00:02:09.500 --> 00:02:12.500]  第二段就是要愛倫社如同自己
[00:02:12.500 --> 00:02:17.500]  原來這兩段經文不是耶穌基督自我的創作
[00:02:17.500 --> 00:02:20.500]  而是引用舊約的兩段經文
[00:02:20.500 --> 00:02:24.500]  一段就是盡心盡性盡力去愛耶和華
[00:02:24.500 --> 00:02:27.500]  就是來自《生命記》第六章
[00:02:27.500 --> 00:02:33.500]  愛倫社如同自己就是來自《利未記》第十八章
[00:02:33.500 --> 00:02:35.500]  所以我就很想透過這兩方面
[00:02:35.500 --> 00:02:37.500]  就是愛神和愛人
[00:02:37.500 --> 00:02:40.500]  告訴我們我們如何去實踐
[00:02:40.500 --> 00:02:44.500]  活出外的教導和提醒
[00:02:44.500 --> 00:02:47.500]  事不宜遲我和大家看看第一段
[00:02:47.500 --> 00:02:50.500]  這段經文記載在《生命記》第六章
[00:02:50.500 --> 00:02:52.500]  這段經文是這樣說
[00:02:52.500 --> 00:02:58.500]  「這是耶和華你們神所吩咐教訓你們的誡命律例典章」
[00:02:58.500 --> 00:03:04.500]  「使你們在所有過去所得的遺孽的地上去遵行」
[00:03:04.500 --> 00:03:09.500]  「好叫你和你的子子孫孫一生敬畏耶和華你的神」
[00:03:09.500 --> 00:03:14.500]  「謹守祂一切的誡命律例就是我所吩咐你的」
[00:03:14.500 --> 00:03:17.500]  「使你的日子得以長久」
[00:03:17.500 --> 00:03:20.500]  「以色列你要聽要謹守遵行」
