
[00:00:00.000 --> 00:00:10.500]  我會很快退下我自己加拿大CCACA執行總幹事的崗位
[00:00:10.500 --> 00:00:16.500]  就會接替姚天壽牧師做世界華宣的義務總幹事
[00:00:16.500 --> 00:00:21.500]  其實我老了 要退休了 要轉去另一個位置
[00:00:21.500 --> 00:00:28.000]  但前面是很興奮的 因為看到中國人散居世界不同的各地
[00:00:28.000 --> 00:00:36.000]  我們如何把這個平台在不同地方 藉教會做福音工作 宣教工作
[00:00:36.000 --> 00:00:39.500]  所以是一種新的轉變 很感恩
[00:00:39.500 --> 00:00:43.500]  不好意思我今天來晚了 因為我出門時找不到我的車匙
[00:00:43.500 --> 00:00:47.000]  找來找去找不到 結果我找一個儲存卡才衝下來
[00:00:47.000 --> 00:00:51.000]  遲到不好意思 但看到教會有很多活動 很感恩
[00:00:51.000 --> 00:00:54.000]  下星期郝牧師在你們當中
[00:00:54.000 --> 00:00:58.000]  郝牧師現在在溫哥華 可能明天會飛回來
[00:00:58.000 --> 00:01:03.000]  父親節先祝大家父親節快樂
[00:01:03.000 --> 00:01:06.000]  他們回來就輪到我走了
[00:01:06.000 --> 00:01:10.000]  今天跟大家分享的題目是聖徒團契
[00:01:10.000 --> 00:01:13.000]  說真的 如果我們回教會一段時間的時候
[00:01:13.000 --> 00:01:15.000]  你聽到這題目不知道要說什麼
[00:01:15.000 --> 00:01:18.000]  你回教會這麼多年了 回到團契少了這麼多年
[00:01:18.000 --> 00:01:21.000]  為什麼還要說這樣的題目呢
[00:01:21.000 --> 00:01:25.000]  除非你是初信 還沒回過教會 也說對
[00:01:25.000 --> 00:01:30.000]  我決定為什麼要說這題目的時候 其實是有原因的
[00:01:30.000 --> 00:01:37.000]  因為我發覺疫情事實上是對教會過去一些運作有影響
[00:01:37.000 --> 00:01:41.000]  疫情之後我們可不可以繼續像以前一樣
[00:01:41.000 --> 00:01:44.000]  定時的團契小組呢
[00:01:44.000 --> 00:01:47.000]  或者現在開始多了一些線上
[00:01:47.000 --> 00:01:53.000]  在線上的聚會可不可以去取代實體的聚會呢
[00:01:53.000 --> 00:01:55.000]  這是其中一個問題
[00:01:55.000 --> 00:01:58.000]  另一個問題我覺得更加嚴峻的
[00:01:58.000 --> 00:02:02.000]  就是我發覺現在的人跟我們以前的時代不同
[00:02:02.000 --> 00:02:06.000]  我們以前的時代 回教會信主是很聽話的
[00:02:06.000 --> 00:02:10.000]  牧師說什麼就什麼 執事說什麼就什麼
[00:02:10.000 --> 00:02:15.000]  但現在我們發覺很多議題我們都會很多時候有不同的意見
[00:02:15.000 --> 00:02:20.000]  無論是政治 教義 社會的問題
[00:02:20.000 --> 00:02:23.000]  我們很多時候都會有不同的
[00:02:23.000 --> 00:02:27.000]  說得不好聽的 對立
[00:02:27.000 --> 00:02:32.000]  這時候會不會對我們的團契生活 小組生活都帶來一些影響呢
[00:02:32.000 --> 00:02:36.000]  我們在當中如何在這個時代裏面
[00:02:36.000 --> 00:02:41.000]  能夠繼續活出團契小組應該有的功能
[00:02:41.000 --> 00:02:44.000]  所以今天我真的說回這個題目的時候
[00:02:44.000 --> 00:02:46.000]  其實是針對這兩方面
[00:02:46.000 --> 00:02:48.000]  我希望在一個新的常態
[00:02:48.000 --> 00:02:50.000]  或者現在面對一些很多的議題裏面
[00:02:50.000 --> 00:02:54.000]  不是成為我們在團契小組裏面的難阻
[00:02:54.000 --> 00:02:56.000]  而是在這個時代裏面
[00:02:56.000 --> 00:02:59.000]  我們如何同樣活出團契應該有的功能
[00:02:59.000 --> 00:03:03.000]  我們用的經文 剛才讀了我就不再重複了
[00:03:03.000 --> 00:03:05.000]  如果你還記得有一次我在《李亂當中》裏面
[00:03:05.000 --> 00:03:10.000]  分享了一個訊息 就是新的時代能力和使命
[00:03:10.000 --> 00:03:13.000]  就是《使徒行村》的第一章到第四節
[00:03:13.000 --> 00:03:16.000]  那裏是說到當門徒聚集的時候
[00:03:16.000 --> 00:03:20.000]  聖靈降臨 門徒被聖靈充滿
[00:03:20.000 --> 00:03:23.000]  然後被降至三千人歸住
[00:03:23.000 --> 00:03:27.000]  這三千人歸住的時候同樣領受聖靈
[00:03:27.000 --> 00:03:30.000]  那個時代就說出聖靈的降臨
[00:03:30.000 --> 00:03:34.000]  住在門徒當中成為一個新的時代的開始
[00:03:34.000 --> 00:03:37.000]  那個時代我們就叫做教會的時代
[00:03:37.000 --> 00:03:41.000]  但是今天我們看回經文四十至四十七節
[00:03:41.000 --> 00:03:44.000]  就是看回當教會成立之後
[00:03:44.000 --> 00:03:47.000]  究竟教會的生活是怎樣呢?
[00:03:47.000 --> 00:03:51.000]  我看到當時人們聚集的時候
[00:03:51.000 --> 00:03:55.000]  繁物公用又是去學習使徒的教訓
[00:03:55.000 --> 00:03:57.000]  然後結果是甚麼呢?
[00:03:57.000 --> 00:04:03.000]  得眾民的喜愛 主張得救的人天天加給他們
[00:04:03.000 --> 00:04:06.000]  所以我特別用一段經文來看
[00:04:06.000 --> 00:04:09.000]  原來當我們信主之後我們領受聖靈
[00:04:09.000 --> 00:04:12.000]  成為神的兒女不是就這樣停了
[00:04:12.000 --> 00:04:17.000]  神將我們放在一起在教會裏面互為肢體
[00:04:17.000 --> 00:04:22.000]  當我們真是彼此切實地學習成長彼此相愛的時候
[00:04:22.000 --> 00:04:25.000]  教會帶來一個影響力
[00:04:25.000 --> 00:04:28.000]  影響社區 影響社會
[00:04:28.000 --> 00:04:31.000]  然後很多人再加入教會裏面
[00:04:31.000 --> 00:04:35.000]  所以今天我們會針對聖徒團契
[00:04:35.000 --> 00:04:37.000]  我們所謂的fellowship 意思是甚麼呢?
[00:04:37.000 --> 00:04:41.000]  但我們未進入聖徒團契的意義之先
[00:04:41.000 --> 00:04:45.000]  我們先回到究竟神的計劃是甚麼
[00:04:45.000 --> 00:04:49.000]  神對神子民的計劃是甚麼 祂的心意是甚麼
[00:04:49.000 --> 00:04:52.000]  我們看一看經文 神的計劃
[00:04:52.000 --> 00:04:56.000]  當我們信主之後 領受聖靈
[00:04:56.000 --> 00:04:59.000]  聖靈是同證我們是神的兒女
[00:04:59.000 --> 00:05:02.000]  所以在《耳窟所書》第一章第五節
[00:05:02.000 --> 00:05:06.000]  「求因愛我們就按著自己的義子所喜悅的
[00:05:06.000 --> 00:05:10.000]  預定我們藉著耶穌基督得兒子的名分」
[00:05:10.000 --> 00:05:13.000]  因為我們相信主耶穌為我們救主的時候
[00:05:13.000 --> 00:05:15.000]  我們得兒子的名分
[00:05:15.000 --> 00:05:17.000]  《希伯來書》第二章第十一節
[00:05:17.000 --> 00:05:22.000]  「因那使人成聖的和得以成聖的都是出於一
[00:05:22.000 --> 00:05:26.000]  所以祂稱他們為弟兄 不以為此」
[00:05:26.000 --> 00:05:29.000]  神的心意不單叫我們得救
[00:05:29.000 --> 00:05:32.000]  更加給我們一個新的生命 新的身份
[00:05:32.000 --> 00:05:34.000]  我們成為弟兄姊妹
[00:05:34.000 --> 00:05:37.000]  我們的神成為我們的天父
[00:05:37.000 --> 00:05:40.000]  當他們聚集的時候 剛才我們引用的經文
[00:05:40.000 --> 00:05:43.000]  第二章裏面我特別highlight四十二節
[00:05:43.000 --> 00:05:48.000]  當他們聚集的時候 他們是恆心遵守使徒的教訓
[00:05:48.000 --> 00:05:52.000]  因為這班是初信的弟兄姊妹
[00:05:52.000 --> 00:05:55.000]  雖然他們對舊約有一定的認識
[00:05:55.000 --> 00:06:00.000]  但是究竟耶穌基督的講論 舊約是講什麼
[00:06:00.000 --> 00:06:03.000]  使徒的教訓在當中他們學習
[00:06:03.000 --> 00:06:05.000]  並且彼此交接
[00:06:05.000 --> 00:06:08.000]  彼此交接的英文就是fellowship
[00:06:08.000 --> 00:06:10.000]  就是我們所說的團契
[00:06:10.000 --> 00:06:14.000]  原文希臘文就是colonial
[00:06:14.000 --> 00:06:16.000]  這就是我們所針對的
[00:06:16.000 --> 00:06:20.000]  原來當門徒走在一起的時候
[00:06:20.000 --> 00:06:23.000]  神的心意建立教會 教會的時代
[00:06:23.000 --> 00:06:25.000]  然後有教會
[00:06:25.000 --> 00:06:28.000]  然後在當中聚集的人被稱為神的兒女
[00:06:28.000 --> 00:06:30.000]  是弟兄姊妹
[00:06:30.000 --> 00:06:32.000]  然後我們看到
[00:06:32.000 --> 00:06:36.000]  雖然得救是一個個人的決定
[00:06:36.000 --> 00:06:38.000]  那三千人聽到之後擇心
[00:06:38.000 --> 00:06:40.000]  去問彼得應該怎麼做
[00:06:40.000 --> 00:06:45.000]  彼得說你們悔改 受洗 領受聖靈
[00:06:45.000 --> 00:06:48.000]  得救是個人的決定
[00:06:48.000 --> 00:06:51.000]  但是信了主之後你發覺神的安排是怎樣
[00:06:51.000 --> 00:06:55.000]  將這一班新造的人 神的兒女
