
[00:00:00.000 --> 00:00:05.200]  各位電視好友大家好
[00:00:05.200 --> 00:00:07.680]  歡迎大家參加我們三藩市報道會
[00:00:07.680 --> 00:00:09.680]  網上的亂狼崇拜
[00:00:09.680 --> 00:00:13.280]  今天我們繼續思想約翰福音的訊息
[00:00:13.280 --> 00:00:18.400]  我們來到約翰福音第六章六十節至七十一節
[00:00:18.400 --> 00:00:23.440]  題目是一樣道三樣人
[00:00:23.440 --> 00:00:28.640]  在思想這段聖經之前請心低頭和禱告
[00:00:28.640 --> 00:00:32.160]  慈悲人我們滿心感謝你
[00:00:32.160 --> 00:00:36.960]  你的話語是我們腳前的燈路上的光
[00:00:36.960 --> 00:00:42.240]  求你讓我們有個謙卑的心去聆聽你的話語
[00:00:42.240 --> 00:00:45.440]  將你的話語藏在我們的心裏
[00:00:45.440 --> 00:00:51.680]  不單止藏在心裏更加活出在我們的生活當中
[00:00:51.680 --> 00:00:53.680]  求你祝福保守我們
[00:00:53.680 --> 00:00:58.720]  與我們同在我們禱告
[00:00:58.720 --> 00:01:02.880]  美國道德會的牧師William Hume
[00:01:02.880 --> 00:01:08.560]  用了三個非常有趣的英文字來形容一個牧師和會眾的關係
[00:01:08.560 --> 00:01:12.080]  這三個字是哪三個字呢
[00:01:12.080 --> 00:01:14.560]  第一個是idolize
[00:01:14.560 --> 00:01:17.200]  即是當他偶像的擺法
[00:01:17.200 --> 00:01:20.240]  第二個字是tantalize
[00:01:20.240 --> 00:01:23.280]  第三個字是scandalize
[00:01:23.280 --> 00:01:25.280]  謠言重傷
[00:01:25.280 --> 00:01:27.920]  第一個階段叫idolize
[00:01:27.920 --> 00:01:31.440]  當一個牧師來到教會的時候
[00:01:31.440 --> 00:01:36.240]  很多很多弟兄姊妹當他是一個大聖人
[00:01:36.240 --> 00:01:39.520]  全無瑕疵不會做錯
[00:01:39.520 --> 00:01:41.520]  好像神明一樣
[00:01:41.520 --> 00:01:46.800]  尤其是前任的牧師和會眾有些摸不著
[00:01:46.800 --> 00:01:48.400]  所以就離開
[00:01:48.400 --> 00:01:52.240]  現在新上任的就像舊世主一樣
[00:01:52.240 --> 00:01:54.240]  可以搞定一切
[00:01:54.240 --> 00:01:56.240]  所以這是什麼時期呢
[00:01:56.240 --> 00:01:58.240]  叫做idolize的時期
[00:01:58.240 --> 00:02:01.840]  會眾對牧師的期望甚高
[00:02:01.840 --> 00:02:06.000]  去到第二個階段叫tantalize
[00:02:06.000 --> 00:02:10.480]  tantalize這個英文字是一個非常有趣的字
[00:02:10.480 --> 00:02:13.520]  原來是寓意一個希臘神話的故事
[00:02:13.520 --> 00:02:16.080]  這個神叫tantalus
[00:02:16.080 --> 00:02:18.080]  是一個小神
[00:02:18.080 --> 00:02:20.080]  天神責罰降在陰間
[00:02:20.080 --> 00:02:22.080]  又飢又渴
[00:02:22.080 --> 00:02:26.080]  忽然情願在他眼前美酒佳牛
[00:02:26.080 --> 00:02:28.960]  當他伸手去拿的時候
[00:02:28.960 --> 00:02:32.640]  忽然之間那些美酒消失了
[00:02:32.640 --> 00:02:35.040]  佳牛也沒有了
[00:02:35.040 --> 00:02:38.320]  於是英文tantalize這個字
[00:02:38.320 --> 00:02:41.440]  用一種手法去玩弄一個人
[00:02:41.440 --> 00:02:44.480]  明知他不行但也要去做
[00:02:44.480 --> 00:02:46.480]  結果做什麼都做不到
[00:02:46.480 --> 00:02:48.480]  一團空
