
[00:00:00.000 --> 00:00:05.000]  各位大兄姐妹晚安
[00:00:05.000 --> 00:00:08.000]  知道很多大兄姐妹在家中
[00:00:08.000 --> 00:00:10.000]  我希望不是在路上
[00:00:10.000 --> 00:00:13.000]  都是安靜的聆聽
[00:00:13.000 --> 00:00:19.000]  很高興能夠來到教會跟大家分享
[00:00:19.000 --> 00:00:21.000]  我記得去年授應約我的時候
[00:00:21.000 --> 00:00:27.000]  我們都想不到今天要在網上和大家見面
[00:00:27.000 --> 00:00:31.000]  知道教會是週年紀念
[00:00:31.000 --> 00:00:34.000]  也有一個題目
[00:00:34.000 --> 00:00:38.000]  如何大人歸主或作主的門徒
[00:00:38.000 --> 00:00:39.000]  在這個世代裡
[00:00:39.000 --> 00:00:42.000]  我們如何跟隨主耶穌基督呢
[00:00:42.000 --> 00:00:44.000]  跟隨主耶穌基督成為主耶穌基督的門徒
[00:00:44.000 --> 00:00:46.000]  已經成為教會裡
[00:00:46.000 --> 00:00:48.000]  大家都認為是必須要做的
[00:00:48.000 --> 00:00:51.000]  我們叫做一個大的使命
[00:00:51.000 --> 00:00:53.000]  我們都知道的
[00:00:53.000 --> 00:00:56.000]  但如何在我們日常生活裡將它實現出來呢
[00:00:56.000 --> 00:01:00.000]  如何跟隨主耶穌基督在這個世界裡
[00:01:00.000 --> 00:01:03.000]  為他做美好的見證呢
[00:01:03.000 --> 00:01:05.000]  所以我選用了馬達福音第28章
[00:01:05.000 --> 00:01:07.000]  是一個大家很熟悉的聖經
[00:01:07.000 --> 00:01:09.000]  非常熟悉
[00:01:09.000 --> 00:01:11.000]  但我們很多時候發覺
[00:01:11.000 --> 00:01:12.000]  我們越熟悉的經文
[00:01:12.000 --> 00:01:14.000]  或是我們越常聆聽的經文
[00:01:14.000 --> 00:01:15.000]  在我們的生活裡
[00:01:15.000 --> 00:01:22.000]  似乎對我們應該是產生的
[00:01:22.000 --> 00:01:24.000]  但很多時候
[00:01:24.000 --> 00:01:26.000]  我們不知為何在我們的生命
[00:01:26.000 --> 00:01:30.000]  去到那個關節的時候
[00:01:30.000 --> 00:01:32.000]  去到那一點
[00:01:32.000 --> 00:01:34.000]  真的要將基督做門徒
[00:01:34.000 --> 00:01:36.000]  做基督的門徒的特質
[00:01:36.000 --> 00:01:38.000]  要將它彰顯出來的時候
[00:01:38.000 --> 00:01:40.000]  我們就在那裡會滑倒
[00:01:40.000 --> 00:01:42.000]  我們在那裡會跌倒
[00:01:42.000 --> 00:01:44.000]  我相信大家在教會裡這麼多年
[00:01:44.000 --> 00:01:48.000]  在我們身邊有無數的目者
[00:01:48.000 --> 00:01:49.000]  有無數的傳道
[00:01:49.000 --> 00:01:50.000]  無數的執事
[00:01:50.000 --> 00:01:51.000]  無數的評述
[00:01:51.000 --> 00:01:52.000]  在我們身邊經過
[00:01:52.000 --> 00:01:54.000]  和我們一起成長
[00:01:54.000 --> 00:01:56.000]  你眼會看到
[00:01:56.000 --> 00:01:58.000]  你耳會聽到
[00:01:58.000 --> 00:02:00.000]  很多人去到那個關節的時候
[00:02:00.000 --> 00:02:03.000]  應該站得穩的
[00:02:03.000 --> 00:02:05.000]  但他竟然站不穩
[00:02:05.000 --> 00:02:07.000]  我們很多時候
[00:02:07.000 --> 00:02:10.000]  用這樣的見到聽到的東西
[00:02:10.000 --> 00:02:12.000]  自己心裡會很難過
[00:02:12.000 --> 00:02:14.000]  但我們苦心自問
[00:02:14.000 --> 00:02:16.000]  我們自己的生命又如何呢
[00:02:16.000 --> 00:02:18.000]  去到那個關節的時候
[00:02:18.000 --> 00:02:20.000]  我們能不能站立得穩呢
[00:02:20.000 --> 00:02:22.000]  我們又能不能為主
[00:02:22.000 --> 00:02:24.000]  做一個美好的見證呢
[00:02:24.000 --> 00:02:28.000]  所以今天和大家思想
[00:02:28.000 --> 00:02:31.000]  這段經文的時候
[00:02:31.000 --> 00:02:35.000]  除了要說怎樣做門徒之外
[00:02:35.000 --> 00:02:37.000]  上面有一句話
[00:02:37.000 --> 00:02:41.000]  是我們讀完之後
[00:02:41.000 --> 00:02:43.000]  不是很懷疑的
[00:02:43.000 --> 00:02:47.000]  在馬達福音第28章
[00:02:47.000 --> 00:02:49.000]  第16節那裡
[00:02:49.000 --> 00:02:51.000]  開始說
[00:02:51.000 --> 00:02:53.000]  十一個門徒往加利利去
[00:02:53.000 --> 00:02:55.000]  到了耶穌約定的山上
[00:02:55.000 --> 00:02:57.000]  馬達福音沒有說
[00:02:57.000 --> 00:02:59.000]  耶穌約定去了哪裏
[00:02:59.000 --> 00:03:01.000]  但這裏我們說
[00:03:01.000 --> 00:03:03.000]  有一群門徒
[00:03:03.000 --> 00:03:05.000]  馬達在這裏記載
[00:03:05.000 --> 00:03:07.000]  十一個門徒沒有猶大
[00:03:07.000 --> 00:03:09.000]  就十一個了
[00:03:09.000 --> 00:03:11.000]  往加利利去
[00:03:11.000 --> 00:03:13.000]  到了耶穌約定的山上
[00:03:13.000 --> 00:03:16.000]  他們見到耶穌就拜他
[00:03:16.000 --> 00:03:19.000]  這是按照馬達福音記載
[00:03:19.000 --> 00:03:21.000]  耶穌基督復活之後
[00:03:21.000 --> 00:03:24.000]  和門徒第一次相遇
[00:03:24.000 --> 00:03:27.000]  在一個特殊的環境
[00:03:27.000 --> 00:03:30.000]  在耶穌約定他們去的山上
[00:03:30.000 --> 00:03:32.000]  這裏給我們今天讀經的人
[00:03:32.000 --> 00:03:34.000]  有無限的遐想
[00:03:34.000 --> 00:03:36.000]  我們知道我們讀聖經的時候
[00:03:36.000 --> 00:03:38.000]  特別是讀到福音書裏
[00:03:38.000 --> 00:03:40.000]  所記載的故事的形式
[00:03:40.000 --> 00:03:42.000]  這是我們讀聖經的時候
[00:03:42.000 --> 00:03:45.000]  大家都知道的事實
[00:03:45.000 --> 00:03:48.000]  我們讀到保羅的書信的時候
[00:03:48.000 --> 00:03:51.000]  保羅用的字眼很精準
[00:03:51.000 --> 00:03:56.000]  他將救恩分成三個階段
[00:03:56.000 --> 00:03:58.000]  我相信主耶穌基督曾經救我
[00:03:58.000 --> 00:04:00.000]  現在要救我
[00:04:00.000 --> 00:04:02.000]  我相信他將來還要救我
[00:04:02.000 --> 00:04:04.000]  很清晰的沒有解錯
[00:04:04.000 --> 00:04:07.000]  在我們以前還了罪人的時候
[00:04:07.000 --> 00:04:09.000]  他曾經救了我們
[00:04:09.000 --> 00:04:11.000]  每天在我們的生命裏
[00:04:11.000 --> 00:04:15.000]  他仍然要救我們脫離罪惡的凶劍
[00:04:15.000 --> 00:04:18.000]  脫離被罪惡的纏繞
[00:04:18.000 --> 00:04:21.000]  脫離我們不失腳
[00:04:21.000 --> 00:04:25.000]  但我們盼望他將來仍然救贖我們
[00:04:25.000 --> 00:04:28.000]  到他主耶穌基督再回來的時候
