
[00:00:00.000 --> 00:00:08.640]  我想知道當中有多少人之前都有讀過耶利米書
[00:00:08.640 --> 00:00:13.440]  都有三分之一 差不多
[00:00:13.440 --> 00:00:21.360]  耶利米書算是一卷比較長的聖經
[00:00:21.360 --> 00:00:26.640]  所以長的聖經就比較不容易掌握
[00:00:26.640 --> 00:00:32.640]  當然最長的就是詩篇 但詩篇是散文
[00:00:32.640 --> 00:00:38.640]  所以沒所謂 第二長應該是數二錯二的書
[00:00:38.640 --> 00:00:44.640]  有66章 耶利米書也算不簡單
[00:00:44.640 --> 00:00:52.640]  所以它叫大先知書 現代教會把它這樣分化
[00:00:52.640 --> 00:00:55.640]  大先知不是因為它比其他先知偉大
[00:00:55.640 --> 00:01:01.640]  我們說它是大先知是因為它寫的經文比較多
[00:01:01.640 --> 00:01:05.640]  資料比較多 所以我們幾個大先知
[00:01:05.640 --> 00:01:09.640]  通常我們說是二錯二的書 耶利米書
[00:01:09.640 --> 00:01:13.640]  以西傑書 正經說是幾十章
[00:01:13.640 --> 00:01:19.640]  其他的我們叫小先知 最長的都是十二章
[00:01:19.640 --> 00:01:22.640]  所以我們會發覺到
[00:01:22.640 --> 00:01:26.640]  當我們讀耶利米書或者其他的大先知書的時候
[00:01:26.640 --> 00:01:30.640]  掌握相對來說不是那麼容易
[00:01:30.640 --> 00:01:34.640]  特別是耶利米書 耶利米書
[00:01:34.640 --> 00:01:38.640]  待會我們會說到它有它自己難讀的地方
[00:01:38.640 --> 00:01:42.640]  因為它裡面有很多散文 散文很難處理
[00:01:42.640 --> 00:01:44.640]  因為它全部都是信息
[00:01:44.640 --> 00:01:47.640]  差不多你會覺得耶利米書是一本
[00:01:47.640 --> 00:01:50.640]  耶利米的講道集
[00:01:50.640 --> 00:01:54.640]  講道集是很難整理的 最多是將它分類
[00:01:54.640 --> 00:01:57.640]  所以耶利米書我們讀起來的時候
[00:01:57.640 --> 00:02:01.640]  我們待會後半部會討論它的分段
[00:02:01.640 --> 00:02:06.640]  希望給大家有一個很概論的概念
[00:02:06.640 --> 00:02:09.640]  然後我們接下來的九堂
[00:02:09.640 --> 00:02:12.640]  我們就會用這個概念的分配
[00:02:12.640 --> 00:02:15.640]  來跟大家一起去看耶利米書
[00:02:15.640 --> 00:02:17.640]  正如過去那麼多堂一樣
[00:02:17.640 --> 00:02:19.640]  比如說馬太福音等等都一樣
[00:02:19.640 --> 00:02:25.640]  就是說我這樣分不一定是原作者的意思
[00:02:25.640 --> 00:02:29.640]  我在這一班裡面最主要的目的就是
[00:02:29.640 --> 00:02:31.640]  比如我的分段的方式
[00:02:31.640 --> 00:02:33.640]  最主要是希望能夠幫助大家
[00:02:33.640 --> 00:02:37.640]  能夠容易掌握到或者記憶到那本書的內容
[00:02:37.640 --> 00:02:40.640]  就算你現在可能早前我們說的
[00:02:40.640 --> 00:02:41.640]  初埃及記或者馬太福音
[00:02:41.640 --> 00:02:43.640]  大家可能已經不記得了
[00:02:43.640 --> 00:02:45.640]  你再重新上來左揭右揭
[00:02:45.640 --> 00:02:47.640]  你都會看到大綱
[00:02:47.640 --> 00:02:50.640]  其實如果大家不介意
[00:02:50.640 --> 00:02:52.640]  我有一點建議大家可以試試
[00:02:52.640 --> 00:02:54.640]  我們那時候讀神學院的時候
[00:02:54.640 --> 00:02:57.640]  我們有兩種方法幫我們
[00:02:57.640 --> 00:03:00.640]  去將我們學過的東西
[00:03:00.640 --> 00:03:02.640]  特別是那些大綱
[00:03:02.640 --> 00:03:03.640]  記得的
[00:03:03.640 --> 00:03:06.640]  就是找一些很幼的原始筆
[00:03:06.640 --> 00:03:10.640]  我們那時候就流行用那些0.1的針筆
[00:03:10.640 --> 00:03:12.640]  去將我們讀到的心得
[00:03:12.640 --> 00:03:15.640]  寫進去我們正在讀的聖經裡
[00:03:15.640 --> 00:03:17.640]  對大家來說0.1的針筆
