
[00:00:00.000 --> 00:00:02.000]  各位網友 多謝大家收看 再見
[00:00:03.000 --> 00:00:05.280]  弟兄姊妹 主內平安
[00:00:05.280 --> 00:00:06.280]  (平安)
[00:00:06.280 --> 00:00:08.540]  願主耶穌基督的恩惠
[00:00:08.540 --> 00:00:10.540]  常常與你們同在
[00:00:10.540 --> 00:00:12.860]  懂不懂怎樣回應?
[00:00:12.860 --> 00:00:14.000]  (懂)
[00:00:14.000 --> 00:00:15.520]  如果在聖公會
[00:00:15.520 --> 00:00:18.640]  弟兄姊妹就會說也與你同在
[00:00:18.640 --> 00:00:22.480]  每個教會有不同的規矩
[00:00:22.480 --> 00:00:24.480]  我都是第一次在香港
[00:00:24.480 --> 00:00:28.040]  參加Church of Christ
[00:00:28.040 --> 00:00:34.760]  在北美很多教會的宗派
[00:00:34.760 --> 00:00:36.360]  香港沒有宗派
[00:00:36.360 --> 00:00:37.960]  不過你們的故事
[00:00:37.960 --> 00:00:41.240]  剛才我聽傳道同工分享
[00:00:41.240 --> 00:00:43.640]  深受感動
[00:00:43.640 --> 00:00:45.640]  誠與你們同在
[00:00:45.640 --> 00:00:49.240]  將你們放在這個角落
[00:00:49.240 --> 00:00:53.960]  一定有它美好的旨意
[00:00:53.960 --> 00:00:56.280]  我放了一個烏龍
[00:00:56.280 --> 00:00:58.080]  其實兩個烏龍嚴格來說
[00:00:58.080 --> 00:01:00.080]  第一我沒有查清楚
[00:01:00.080 --> 00:01:02.080]  周牧師的信告訴我
[00:01:02.080 --> 00:01:04.080]  教會會讀以西傑書
[00:01:04.080 --> 00:01:07.880]  我就假設年尾應該讀完了
[00:01:07.880 --> 00:01:09.880]  原來還沒有開始
[00:01:09.880 --> 00:01:12.680]  還有兩天才開始
[00:01:12.680 --> 00:01:15.480]  所以我選擇的經文
[00:01:15.480 --> 00:01:18.280]  是有這個錯誤的假設
[00:01:18.280 --> 00:01:20.280]  如果我知道還沒有開始
[00:01:20.280 --> 00:01:23.680]  我可能會選擇耶利米書跟你讀
[00:01:23.680 --> 00:01:25.680]  就不是以西傑書第一章
[00:01:25.680 --> 00:01:27.680]  不要緊 錯有錯著
[00:01:27.680 --> 00:01:29.680]  不是 聖靈的感動
[00:01:29.680 --> 00:01:35.280]  一定有它美好的旨意和帶領
[00:01:35.280 --> 00:01:39.280]  第二 我知道大家原來用的是新譯本
[00:01:39.280 --> 00:01:41.280]  不過我很古老
[00:01:41.280 --> 00:01:43.280]  我還拿著和合本
[00:01:43.280 --> 00:01:45.880]  100年前的翻譯
[00:01:45.880 --> 00:01:48.880]  所以一會兒考一下PowerPoint的弟兄
[00:01:48.880 --> 00:01:50.880]  如果我讀一段經文
[00:01:50.880 --> 00:01:52.880]  看他找不找得到打出來
[00:01:52.880 --> 00:01:54.880]  有些教會做得到的
[00:01:54.880 --> 00:01:56.880]  很厲害的
[00:01:56.880 --> 00:01:58.880]  我這段講完他已經打出來了
[00:01:58.880 --> 00:02:00.880]  他說download而已 很快的
[00:02:00.880 --> 00:02:02.880]  不要緊
[00:02:02.880 --> 00:02:05.880]  如果你看不到經文
[00:02:05.880 --> 00:02:10.880]  2000年來教會的弟兄姊妹在崇拜裏
[00:02:10.880 --> 00:02:13.880]  是聽聖經的說話
[00:02:13.880 --> 00:02:15.880]  所以有教會的傳統
[00:02:15.880 --> 00:02:17.880]  每一次讀聖經他們會開始第一句
[00:02:17.880 --> 00:02:19.880]  你聽過沒有?
[00:02:19.880 --> 00:02:22.880]  請聽神的說話
[00:02:22.880 --> 00:02:27.880]  我們聽 凡有耳的就應當聽
[00:02:27.880 --> 00:02:31.880]  以西傑書
[00:02:31.880 --> 00:02:35.880]  是我們平時從來都不會打開的書卷
[00:02:35.880 --> 00:02:38.880]  我們聖誕節會讀以塞雅書
[00:02:38.880 --> 00:02:41.880]  壽苦節都會讀以塞雅書
[00:02:41.880 --> 00:02:43.880]  以西傑書是甚麼來的?
[00:02:43.880 --> 00:02:45.880]  如果你問我
[00:02:45.880 --> 00:02:49.880]  我會用一句說話去介紹這本書
[00:02:49.880 --> 00:02:54.880]  這本書是舊約聖經當中
[00:02:54.880 --> 00:02:59.880]  最黑暗的一本書
[00:02:59.880 --> 00:03:02.880]  但又是舊約聖經當中
[00:03:02.880 --> 00:03:04.880]  很奇怪
[00:03:04.880 --> 00:03:06.880]  在黑暗當中
[00:03:06.880 --> 00:03:10.880]  竟然有光
[00:03:10.880 --> 00:03:13.880]  最黑暗是甚麼意思呢?
[00:03:13.880 --> 00:03:16.880]  舊約聖經記載
[00:03:16.880 --> 00:03:21.880]  神的百姓以色列十二支派的歷史
