
[00:00:00.000 --> 00:00:02.000]  將今晚交託給主
[00:00:02.000 --> 00:00:04.640]  我們不願聽到人的聲音
[00:00:04.640 --> 00:00:06.640]  乃願聽到主的聲音
[00:00:06.640 --> 00:00:09.840]  並且不只是增加頭腦的知識
[00:00:09.840 --> 00:00:11.840]  乃是改變我們的生命
[00:00:11.840 --> 00:00:15.000]  主求祢預備我們柔軟的肚子
[00:00:15.000 --> 00:00:18.440]  謙卑的內心來聆聽主祢的道
[00:00:18.440 --> 00:00:22.000]  也讓祢的道在我們的生命發生改變
[00:00:22.000 --> 00:00:26.400]  以致我們能夠不只是聽了就算
[00:00:26.400 --> 00:00:30.600]  而是能夠結出三十倍、六十倍、九十倍的果子
[00:00:30.600 --> 00:00:34.200]  求主祢幫助孩子講解得清楚、明白
[00:00:34.200 --> 00:00:36.200]  我們同心謙卑地領受
[00:00:36.200 --> 00:00:38.200]  奉耶穌基督的名祈禱
[00:00:38.200 --> 00:00:40.200]  阿們
[00:00:40.200 --> 00:00:46.200]  記得昨天我們討論到關於《生命記》第十章那段經文
[00:00:46.200 --> 00:00:52.400]  那段經文主要教導我們關於敬畏神和愛神的教導
[00:00:52.400 --> 00:00:56.000]  我們記得昨天有三點
[00:00:56.000 --> 00:00:59.400]  第一點就是愛是要有行動的
[00:00:59.400 --> 00:01:03.400]  不是一個感受的言語
[00:01:03.400 --> 00:01:06.200]  而是一種意志的決定
[00:01:06.200 --> 00:01:10.400]  第二個就是敬愛是一種內愛的奉獻
[00:01:10.400 --> 00:01:15.400]  千萬不要用一個外表去掩飾你內心的污穢
[00:01:15.400 --> 00:01:17.800]  我們要除掉我們心中的污穢
[00:01:17.800 --> 00:01:20.200]  我們昨天也討論到這一點
[00:01:20.200 --> 00:01:23.600]  第三點我們要記得敬愛神
[00:01:23.600 --> 00:01:28.600]  也是一個要憐愛身邊關懷、有需要的人
[00:01:28.600 --> 00:01:31.200]  當你憐愛的時候其實你自己也得益
[00:01:31.200 --> 00:01:34.600]  因為我仍然覺得受苦、患病的人
[00:01:34.600 --> 00:01:36.800]  其實他本身是一個智者
[00:01:36.800 --> 00:01:40.400]  可以告訴你未來的光景是怎樣
[00:01:40.400 --> 00:01:42.400]  從而得出做人的智慧
[00:01:42.400 --> 00:01:48.200]  所以昨天的三點成為一個基礎去討論今天的情況
