
[00:00:00.000 --> 00:00:03.000]  今天崇拜的時候
[00:00:03.000 --> 00:00:06.000]  很想和大家一起看《創世記》
[00:00:06.000 --> 00:00:08.000]  所以如果你有聖經的話
[00:00:08.000 --> 00:00:10.000]  請你打開《創世記》
[00:00:10.000 --> 00:00:15.000]  我們看《創世記》裡面一個個案
[00:00:15.000 --> 00:00:20.000]  《創世記》的十三章、十四章、十九章
[00:00:20.000 --> 00:00:27.000]  記載了阿伯拉罕和羅德兩個人的個案
[00:00:27.000 --> 00:00:29.000]  究竟是什麼個案呢?
[00:00:29.000 --> 00:00:35.000]  今天我和大家講的道在大家手上的大綱上
[00:00:35.000 --> 00:00:38.000]  因為大綱都很長
[00:00:38.000 --> 00:00:40.000]  很多經文的列在這裡
[00:00:40.000 --> 00:00:41.000]  沒辦法讀完
[00:00:41.000 --> 00:00:43.000]  因為是這麼多的經文
[00:00:43.000 --> 00:00:47.000]  但是回去有機會再看
[00:00:47.000 --> 00:00:51.000]  但是我們先打開《創世記》的十三章
[00:00:51.000 --> 00:00:54.000]  《創世記》第十三章
[00:00:57.000 --> 00:01:02.000]  究竟今天想和大家思想一個什麼樣的個案呢?
[00:01:02.000 --> 00:01:09.000]  大家都知道阿伯拉罕和他的侄子羅德兩個人和他的家庭
[00:01:09.000 --> 00:01:13.000]  都是在巴勒斯坦,即當時的迦南
[00:01:13.000 --> 00:01:15.000]  慢慢地定居下來
[00:01:15.000 --> 00:01:20.000]  最初阿伯拉罕當然是從吾爾,即是今天的伊拉克的地方
[00:01:20.000 --> 00:01:24.000]  神呼召他要去到巴勒斯坦的地方
[00:01:24.000 --> 00:01:26.000]  聖經說他們就去
[00:01:26.000 --> 00:01:30.000]  去了之後就開始定居在迦南地
[00:01:30.000 --> 00:01:33.000]  迦南的地方大家都知道
[00:01:33.000 --> 00:01:38.000]  其實是一個不相信真神的異邦異教的地方
[00:01:38.000 --> 00:01:43.000]  今天我們所看到的歷史考古學
[00:01:43.000 --> 00:01:46.000]  迦南的文化都相當淫邪
[00:01:46.000 --> 00:01:49.000]  相當血腥
[00:01:49.000 --> 00:01:51.000]  他們用人製
[00:01:51.000 --> 00:01:54.000]  虐待俘虜
[00:01:54.000 --> 00:01:56.000]  然後他們是
