
[00:00:00.000 --> 00:00:06.440]  各位午安 我想看清楚你的樣子
[00:00:06.440 --> 00:00:10.040]  今年最後一次午安
[00:00:10.040 --> 00:00:13.840]  明年可能我們大家就老了一點
[00:00:13.840 --> 00:00:16.720]  但今天講一個永遠都不老的題目
[00:00:16.720 --> 00:00:20.360]  就是你一定要知道一個人
[00:00:20.360 --> 00:00:24.640]  這個就是耶穌基督 叫做真知道他
[00:00:24.640 --> 00:00:27.240]  這個題目我已經是第四次講了
[00:00:27.240 --> 00:00:29.720]  昨晚講到現在 但都沒有什麼沉
[00:00:29.720 --> 00:00:32.680]  很多人都問我是不是字都可以不同
[00:00:32.680 --> 00:00:34.680]  我都希望字有一點不同
[00:00:34.680 --> 00:00:36.680]  但經文一定是一樣的
[00:00:36.680 --> 00:00:40.720]  這次我講十幾年第一次用powerpoint
[00:00:40.720 --> 00:00:42.720]  很難得 這是我第一次的代表作
[00:00:42.720 --> 00:00:45.520]  原因就是要讀經文
[00:00:45.520 --> 00:00:47.520]  我怕你聽錯了同音字
[00:00:47.520 --> 00:00:49.000]  就是誤會了第二個字
[00:00:49.000 --> 00:00:51.000]  所以你看清楚聖經好一點
[00:00:51.000 --> 00:00:53.000]  但如果你是基督徒
[00:00:53.000 --> 00:00:55.000]  我想你非常熟
[00:00:55.000 --> 00:00:59.400]  但你要把這七段的聖經看清楚
[00:00:59.400 --> 00:01:02.520]  真是知道耶穌怎樣
[00:01:02.520 --> 00:01:06.120]  因為當你越知道 你越相信是真的
[00:01:06.120 --> 00:01:08.120]  你就越有能力去做一些
[00:01:08.120 --> 00:01:11.400]  你人生很困難的事都可以解決
[00:01:11.400 --> 00:01:15.560]  第一段經文是在《耳法所書》一章17節
[00:01:15.560 --> 00:01:17.560]  很多時候我讀完之後都會問你
[00:01:17.560 --> 00:01:23.400]  哪一個字突然間令你今早或者現在
[00:01:23.400 --> 00:01:25.400]  突然覺得很有醒覺
[00:01:25.400 --> 00:01:26.680]  經文講的是
[00:01:26.680 --> 00:01:29.880]  我們主耶穌基督的神榮耀的父
[00:01:29.880 --> 00:01:35.640]  將那賜人智慧和啟示的靈賞給你們
[00:01:35.640 --> 00:01:38.280]  使你們真知道他
[00:01:38.280 --> 00:01:40.280]  哪個字呢
[00:01:40.280 --> 00:01:45.000]  我們做講壇最擔心的就是
[00:01:45.000 --> 00:01:47.000]  你聽不明白
[00:01:47.000 --> 00:01:49.000]  如果讀大學
[00:01:49.000 --> 00:01:53.720]  學生最喜歡找聽不明白的課來上
[00:01:53.720 --> 00:01:56.200]  因為證明老師有實力
[00:01:56.200 --> 00:01:58.200]  如果聽得明白
[00:01:58.200 --> 00:02:00.200]  那些東西太淺了
[00:02:00.200 --> 00:02:02.200]  聽講到
[00:02:02.200 --> 00:02:04.200]  聽到不明白
[00:02:04.200 --> 00:02:06.200]  還可以救
[00:02:06.200 --> 00:02:08.200]  原因不是那個人幫你補習
[00:02:08.200 --> 00:02:10.200]  而是你有能力
[00:02:10.200 --> 00:02:12.200]  不明白那個講完
[00:02:12.200 --> 00:02:14.200]  講得不明白的東西
[00:02:14.200 --> 00:02:16.200]  因為有啟示的靈
[00:02:16.200 --> 00:02:18.200]  你坐在那裏
[00:02:18.200 --> 00:02:20.200]  你突然間覺得好像不明白
[00:02:20.200 --> 00:02:22.200]  但後來不知道何時坐在那裏
[00:02:22.200 --> 00:02:24.200]  覺得想通了
[00:02:24.200 --> 00:02:26.200]  不是因為你聰明了
[00:02:26.200 --> 00:02:28.200]  而是啟示的靈
[00:02:28.200 --> 00:02:32.200]  賜人智慧和啟示的靈賞給你
[00:02:32.200 --> 00:02:34.200]  這就是上帝給我們的東西
[00:02:34.200 --> 00:02:38.200]  我用一個簡單的舉例
[00:02:38.200 --> 00:02:40.200]  我有一個乾孫女
[00:02:40.200 --> 00:02:42.200]  如果你有時看我日記
