
[00:00:00.000 --> 00:00:04.500]  各位電視節目的平安
[00:00:04.500 --> 00:00:07.740]  開始時我想和大家分享一點
[00:00:07.740 --> 00:00:09.240]  在上星期日
[00:00:09.240 --> 00:00:12.740]  我自己在印尼的棉蘭
[00:00:12.740 --> 00:00:17.740]  在這個地方參與世界華人宣導會的團體
[00:00:17.740 --> 00:00:21.740]  全世界不同地方的華人宣導會一起聚集
[00:00:21.740 --> 00:00:25.240]  三連一次一個大的聚會
[00:00:25.240 --> 00:00:27.240]  當中所傾談的事情
[00:00:27.240 --> 00:00:30.740]  絕大多數都有關於宣教的需要
[00:00:30.740 --> 00:00:33.740]  講述到各個地方的宣教狀況
[00:00:33.740 --> 00:00:36.240]  一些宣教士分享他們的見證
[00:00:36.240 --> 00:00:39.240]  亦都講到如何透過華人宣導會
[00:00:39.240 --> 00:00:42.740]  在世界不同地方有的服事的狀況
[00:00:42.740 --> 00:00:45.740]  在過程當中也聽到有些不同國家的情形
[00:00:45.740 --> 00:00:48.740]  特別我留意到在越南的情況
[00:00:48.740 --> 00:00:52.740]  我第一次知道越南有九千萬的人口
[00:00:52.740 --> 00:00:54.740]  但是華人也不少
[00:00:54.740 --> 00:00:57.740]  有差不多接近一百萬的華人
[00:00:57.740 --> 00:01:02.240]  但我問一問當中有多少華人的基督徒呢?
[00:01:02.240 --> 00:01:06.740]  他們告訴我們定期參與崇拜的是三千人
[00:01:06.740 --> 00:01:10.240]  即是說0.3%的華人
[00:01:10.240 --> 00:01:13.740]  有定期參與教會崇拜的基督徒
[00:01:13.740 --> 00:01:18.740]  但在南邊的地方也有很多華人教會
[00:01:18.740 --> 00:01:20.740]  差不多有十間宣導會
[00:01:20.740 --> 00:01:24.240]  在當中有崇拜有呼庸的工作
[00:01:24.240 --> 00:01:28.240]  但在北邊是一間教會也沒有
[00:01:28.240 --> 00:01:31.740]  但今次聽到在2011年開始
[00:01:31.740 --> 00:01:36.740]  在越南北邊開始了第一間華人宣導會
[00:01:36.740 --> 00:01:39.740]  亦都見到他們在大約五個地方
[00:01:39.740 --> 00:01:43.240]  有他們的福音聚會點
[00:01:43.240 --> 00:01:47.740]  亦都嘗試努力地開展在北邊的福音工作
[00:01:47.740 --> 00:01:51.240]  當我回到香港我們有很多機會去敬拜神
[00:01:51.240 --> 00:01:53.240]  有機會我帶人信主
[00:01:53.240 --> 00:01:56.240]  但在很多不同的國家仍然是很需要
[00:01:56.240 --> 00:02:01.240]  在當中來努力讓福音可以傳開
[00:02:01.240 --> 00:02:03.740]  亦都很感謝神讓宣導會在世界不同的地方
[00:02:03.740 --> 00:02:06.740]  來參與福音和猜拳的服事
[00:02:06.740 --> 00:02:09.740]  我都盼望香港我們的教會
[00:02:09.740 --> 00:02:12.240]  我們都不單關心自己的事情
[00:02:12.240 --> 00:02:15.240]  都真的留心到很多不同的地方
[00:02:15.240 --> 00:02:17.740]  無論是華人或當地不同的人群
[00:02:17.740 --> 00:02:19.740]  是需要著的福音
[00:02:19.740 --> 00:02:21.740]  而我們都參與在裏面
[00:02:21.740 --> 00:02:24.740]  我自己都特別有機會去到綿蘭宣導會參與
[00:02:24.740 --> 00:02:27.740]  去到的時候突然間察覺到
[00:02:27.740 --> 00:02:29.740]  想起在我年少的時候
[00:02:29.740 --> 00:02:33.740]  在北宣上聽藤牧師講到綿蘭宣導會
[00:02:33.740 --> 00:02:36.740]  第一次去到的時候很感動
[00:02:36.740 --> 00:02:38.740]  因為他們很多話給我知
[00:02:38.740 --> 00:02:41.740]  多謝你們教會早年支持我們
[00:02:41.740 --> 00:02:44.740]  我就見到他們在17年之前建堂
[00:02:44.740 --> 00:02:48.740]  現在已經坐地的禮拜堂成熟的教會
[00:02:48.740 --> 00:02:54.740]  當時建堂的時候是藤牧師幫他們有一個電機禮
[00:02:54.740 --> 00:02:58.740]  一個牌匾寫了藤牧師的名字
[00:02:58.740 --> 00:03:01.740]  亦都在早年的時候北宣導會已經支持
[00:03:01.740 --> 00:03:05.740]  關心到在當地綿蘭的福音的需要
[00:03:05.740 --> 00:03:09.740]  而我們今天亦都感謝神見到那個成果
[00:03:09.740 --> 00:03:14.740]  但願我們都常常感激到關心在各地宣教的需要
[00:03:14.740 --> 00:03:15.740]  我們再一起祈禱
[00:03:15.740 --> 00:03:18.740]  我們感謝神給我們今天再次思想聖經的說話
[00:03:18.740 --> 00:03:24.740]  因主我們多謝祢賜我們福音
[00:03:24.740 --> 00:03:29.740]  主我們何等蒙福能夠成為祢的兒女
[00:03:29.740 --> 00:03:31.740]  主我們都真是渴望
[00:03:31.740 --> 00:03:35.740]  主祢的聖靈在我們心中感動我們的心
[00:03:35.740 --> 00:03:39.740]  讓恩典都不會停留在我們裏面
[00:03:39.740 --> 00:03:41.740]  給我們有一個份的力量
[00:03:41.740 --> 00:03:43.740]  有一個份對生命的愛
[00:03:43.740 --> 00:03:46.740]  我們懂得將祢的福音傳開去
[00:03:46.740 --> 00:03:49.740]  主今天我們一齊到祢的面前
[00:03:49.740 --> 00:03:53.740]  我們為祢給我們有敬拜的機會感謝祢
[00:03:53.740 --> 00:03:56.740]  主每一次每一次都不是必然的
[00:03:56.740 --> 00:03:58.740]  主我們感謝祢
[00:03:58.740 --> 00:04:01.740]  我們今天可以坦然到祢面前敬拜祢
[00:04:01.740 --> 00:04:04.740]  主因為祢自己的救恩已經臨到我們
[00:04:04.740 --> 00:04:07.740]  我們祈求主當我們敬拜祢的時候
[00:04:07.740 --> 00:04:10.740]  主讓我們賜下自己的恩賢
[00:04:10.740 --> 00:04:12.740]  賜下你天上的瑪那
[00:04:12.740 --> 00:04:14.740]  讓我們因為你自己的道
[00:04:14.740 --> 00:04:17.740]  我們的生命可以真正的富足
[00:04:17.740 --> 00:04:19.740]  求你施恩帶領我們這段時間
[00:04:19.740 --> 00:04:21.740]  引領我們各人的心思
[00:04:21.740 --> 00:04:23.740]  我們仰望禱告
[00:04:23.740 --> 00:04:25.740]  奉耶穌基督 聖名求
[00:04:25.740 --> 00:04:30.740]  我們再看回聖經詩篇第40篇
[00:04:30.740 --> 00:04:36.740]  我們想到感恩求恩
[00:04:36.740 --> 00:04:39.740]  亦都是我們過去常常提及的四個字
[00:04:39.740 --> 00:04:41.740]  當我們說感恩的時候
[00:04:41.740 --> 00:04:44.740]  大家一定會想起詩篇103篇
[00:04:44.740 --> 00:04:47.740]  我們常常都會背誦的一節詩篇提到
[00:04:47.740 --> 00:04:51.740]  我的心你要稱頌耶和華
[00:04:51.740 --> 00:04:57.740]  凡在我裡面的都要稱頌他的成名
[00:04:57.740 --> 00:04:59.740]  我要稱頌耶和華
[00:04:59.740 --> 00:05:00.740]  然後聖經再說
[00:05:00.740 --> 00:05:04.740]  不可忘記他的一切恩惠
[00:05:04.740 --> 00:05:08.740]  使人好明白人容易會善忘
[00:05:08.740 --> 00:05:11.740]  忘記神在我們身上的恩惠
[00:05:11.740 --> 00:05:14.740]  要漸勉勵我們呼籲自己的心
[00:05:14.740 --> 00:05:17.740]  不要忘記神的恩惠
[00:05:17.740 --> 00:05:20.740]  要常常去感謝他 稱頌他
[00:05:20.740 --> 00:05:22.740]  去到聖經新約的時候
[00:05:22.740 --> 00:05:26.740]  有多處地方不斷提及到感恩的事情
[00:05:26.740 --> 00:05:28.740]  特別如果大家想起
[00:05:28.740 --> 00:05:30.740]  哥羅西書第三章提到
[00:05:30.740 --> 00:05:33.740]  你們要行切禱告
[00:05:33.740 --> 00:05:35.740]  第四章第二節
[00:05:35.740 --> 00:05:37.740]  你們要行切禱告
[00:05:37.740 --> 00:05:41.740]  在此警醒感恩
[00:05:41.740 --> 00:05:46.740]  特別聖經將警醒和感恩連在一起
[00:05:46.740 --> 00:05:49.740]  當然警醒的時候也意味著
[00:05:49.740 --> 00:05:51.740]  我們有一種清醒的心
[00:05:51.740 --> 00:05:54.740]  留意到自己所面對的危險
[00:05:54.740 --> 00:05:55.740]  有的試探
[00:05:55.740 --> 00:05:57.740]  因此警覺著去祈禱
[00:05:57.740 --> 00:06:01.740]  亦留意環境上有很多不同的危機
[00:06:01.740 --> 00:06:02.740]  陷阱
[00:06:02.740 --> 00:06:04.740]  以致我們警覺去祈禱
[00:06:04.740 --> 00:06:05.740]  以靠神
[00:06:05.740 --> 00:06:07.740]  但聖經裏面提及
[00:06:07.740 --> 00:06:11.740]  你們要在感恩當中警醒
[00:06:11.740 --> 00:06:14.740]  或警醒地感恩禱告
[00:06:14.740 --> 00:06:18.740]  因為警醒有時會害怕
[00:06:18.740 --> 00:06:20.740]  見到自己那麼軟弱
[00:06:20.740 --> 00:06:22.740]  見到環境那麼凶險
[00:06:22.740 --> 00:06:25.740]  有時不敢再祈禱
[00:06:25.740 --> 00:06:28.740]  但在感恩裏面禱告
[00:06:28.740 --> 00:06:30.740]  在感恩裏面警醒
[00:06:30.740 --> 00:06:32.740]  就帶著一份新鮮的信心
[00:06:32.740 --> 00:06:34.740]  放膽去求神賜恩
[00:06:34.740 --> 00:06:37.740]  以經歷神的保守
[00:06:37.740 --> 00:06:39.740]  你知道我們很多時候
[00:06:39.740 --> 00:06:42.740]  或會面對著不同的處境
[00:06:42.740 --> 00:06:43.740]  不同的困難
[00:06:43.740 --> 00:06:45.740]  但你記得
[00:06:45.740 --> 00:06:47.740]  在當中
[00:06:47.740 --> 00:06:50.740]  串著感恩的心去警醒
[00:06:50.740 --> 00:06:55.740]  串著感恩的心去再求恩惠
[00:06:55.740 --> 00:06:56.740]  而對面
[00:06:56.740 --> 00:06:59.740]  神要將他的恩典
[00:06:59.740 --> 00:07:02.740]  透過人的禱告賜給我們
[00:07:02.740 --> 00:07:05.740]  當你讀詩篇40篇的時候
[00:07:05.740 --> 00:07:06.740]  你會看到詩人在說
[00:07:06.740 --> 00:07:08.740]  祂在困苦的裏面
[00:07:08.740 --> 00:07:11.740]  而祂亦給我們看到一個榜樣
