
[00:00:00.000 --> 00:00:05.920]  大家也知道在北村家裡有很多弟兄姊妹
[00:00:05.920 --> 00:00:10.080]  是參與在家庭服務中心裡的義工的服事
[00:00:10.080 --> 00:00:14.000]  不單是義工也有一些是個別的
[00:00:14.000 --> 00:00:17.200]  關心在社區裡不同的人士
[00:00:17.200 --> 00:00:21.040]  但願我們都一同來向神尋求
[00:00:21.040 --> 00:00:23.440]  求神給我們有柔軟的心
[00:00:23.440 --> 00:00:26.640]  去感受到不同的生命的需要
[00:00:26.640 --> 00:00:30.160]  按照神給我們的力量和感動
[00:00:30.160 --> 00:00:33.680]  來關心我們身邊很多不同的人士
[00:00:33.680 --> 00:00:35.200]  今天是社會關注日
[00:00:35.200 --> 00:00:37.920]  我們都願意聖靈告訴我們
[00:00:37.920 --> 00:00:40.080]  神的心意是怎樣
[00:00:40.080 --> 00:00:45.200]  怎樣能夠活出一個教徒在世上的見證
[00:00:45.200 --> 00:00:49.120]  也讓我們的生命能夠在神的面前被神用
[00:00:49.120 --> 00:00:53.520]  可以將恩惠帶給我們身邊很多不同的人群
[00:00:53.520 --> 00:00:55.760]  所以今天我們帶著一個仰望的心
[00:00:55.760 --> 00:00:57.760]  求主帶領著我們思想聖經
[00:00:57.760 --> 00:01:02.320]  也求聖靈引導我們在將來的行動
[00:01:02.320 --> 00:01:04.720]  我們在一起同心祈禱
[00:01:04.720 --> 00:01:07.440]  親愛的主我們感謝祢
[00:01:07.440 --> 00:01:09.840]  若不是祢道成肉身
[00:01:09.840 --> 00:01:14.800]  祢到世界上接觸生命、接觸我們
[00:01:14.800 --> 00:01:19.600]  我們今天不會有機會領受救恩
[00:01:19.600 --> 00:01:23.280]  當我們想到怎樣去服侍鄰舍的時候
[00:01:23.280 --> 00:01:28.080]  主我們都體會到自己的生命有很多限制
[00:01:28.080 --> 00:01:33.360]  生活工作上有很多困難
[00:01:33.360 --> 00:01:36.560]  好像未能夠付出自己
[00:01:36.560 --> 00:01:40.560]  但主我們深知祢明白我們的處境
[00:01:40.560 --> 00:01:43.120]  祢也恩待我們
[00:01:43.120 --> 00:01:45.360]  當我們向祢尋求的時候
[00:01:45.360 --> 00:01:47.360]  祢就加給我們力量
[00:01:47.360 --> 00:01:51.680]  去做我們自己都想不到可以做的工作
[00:01:51.680 --> 00:01:54.240]  主所以我們在祢面前禱告尋求
[00:01:54.240 --> 00:01:57.440]  求祢指教我們怎樣向祢禱告
[00:01:57.440 --> 00:02:00.640]  領受祢給我們的力量去服侍祢
[00:02:00.640 --> 00:02:03.040]  又服侍我們的鄰舍
[00:02:03.040 --> 00:02:04.960]  今天我們一起思想聖經的說話
[00:02:04.960 --> 00:02:09.040]  我們懇求親愛的聖靈在當中指教我們
[00:02:09.040 --> 00:02:11.040]  讓我們明白祢的心意
[00:02:11.040 --> 00:02:14.160]  又按祢給我們的引導行事
