
[00:00:00.000 --> 00:00:05.000]  各位網友 各位網友 大家好
[00:00:05.000 --> 00:00:10.000]  我是趙文敏 今天是第二節講傳道書
[00:00:10.000 --> 00:00:15.000]  今天講兩個主題 一個是盧碌
[00:00:15.000 --> 00:00:20.000]  在傳道書是經常出現的 一個是有份
[00:00:20.000 --> 00:00:24.000]  這個傳道書是很獨特的 也很常出現
[00:00:24.000 --> 00:00:30.000]  關係我就講快一點 盧碌這個字
[00:00:30.000 --> 00:00:34.000]  那個字根總共出現了35次 就是暗淡的意思
[00:00:34.000 --> 00:00:39.000]  暗淡就是沒有什麼盼望 很疲倦 很疲乏的意思
[00:00:39.000 --> 00:00:45.000]  很費力去做 很辛苦得了財富
[00:00:45.000 --> 00:00:49.000]  我們用廣東話就是血汗錢 捱世界
[00:00:49.000 --> 00:00:55.000]  很辛苦才可以賺錢 盧碌有幾段經文
[00:00:55.000 --> 00:00:59.000]  在傳道書裏面值得看 人一切的盧碌
[00:00:59.000 --> 00:01:04.000]  就是他在日光之下的盧碌 有什麼益處呢?
[00:01:04.000 --> 00:01:09.000]  留意 益處這個字在傳道書裏經常講的
[00:01:09.000 --> 00:01:13.000]  他說人一切的盧碌就是他在日光之下
[00:01:13.000 --> 00:01:19.000]  就是我們的工作 益處不是說沒有用
[00:01:19.000 --> 00:01:26.000]  原來傳道書所講的益處是指能夠產生一個永恆的價值
[00:01:26.000 --> 00:01:31.000]  就不是說沒有益 如果沒有益的話
[00:01:31.000 --> 00:01:34.000]  他就不會叫我們去做事的 我們去做
[00:01:34.000 --> 00:01:42.000]  不過是不能夠產生一個長久長遠永恆的價值
[00:01:42.000 --> 00:01:47.000]  五章十四節 因遭遇禍患 這些資財就消滅
[00:01:47.000 --> 00:01:50.000]  因為世上的錢財很快過去
[00:01:50.000 --> 00:01:55.000]  你是沒有辦法將它保守住
[00:01:55.000 --> 00:01:59.000]  那人若生了兒子 手裏一無所有
[00:01:59.000 --> 00:02:04.000]  剛才我都讀過 他若從無福赤身而來 也必照赤身而去
[00:02:04.000 --> 00:02:09.000]  他所勞碌得來的 手中分毫不能帶去
[00:02:09.000 --> 00:02:17.000]  傳道書所講的財富 我們要去做 而且很辛苦去賺
[00:02:17.000 --> 00:02:22.000]  但是我們不值得賠償我們的生命
[00:02:22.000 --> 00:02:26.000]  所以它不是零和一的對比
[00:02:26.000 --> 00:02:30.000]  我們要上班 你不要聽完那一套之後再辭工不做
[00:02:30.000 --> 00:02:35.000]  你要去做事 你還要照顧孩子 很辛苦的
[00:02:35.000 --> 00:02:38.000]  要洗尿片 買奶粉 要排隊買菜
[00:02:38.000 --> 00:02:40.000]  是很辛苦的
[00:02:40.000 --> 00:02:45.000]  他說這些東西賺到的 無論是財富也好
[00:02:45.000 --> 00:02:48.000]  無論你做到有什麼成就也好
[00:02:48.000 --> 00:02:51.000]  因為它都沒有永恆的價值
[00:02:51.000 --> 00:02:53.000]  它不會產生永恆的價值
[00:02:53.000 --> 00:02:58.000]  不是不做 但是我們知道去到哪裡
[00:02:58.000 --> 00:03:03.000]  他就說資財是會消滅的
[00:03:03.000 --> 00:03:07.000]  生了兒子 手裏一無所有
[00:03:07.000 --> 00:03:12.000]  生了兒子 就算你沒有錢財 什麼都沒有
[00:03:12.000 --> 00:03:18.000]  我們從母胎而來 也要赤身而去
[00:03:18.000 --> 00:03:22.000]  因為世上的錢財不能夠留到永遠 也不能夠帶去
[00:03:22.000 --> 00:03:27.000]  所以我們要正確面對勞碌的成果
[00:03:27.000 --> 00:03:35.000]  不要成為工作狂 也不要成為金錢的奴隸
[00:03:35.000 --> 00:03:39.000]  我們需要金錢 但不是要做金錢的奴隸
[00:03:39.000 --> 00:03:42.000]  我們要做事 但不是成為工作狂
[00:03:42.000 --> 00:03:47.000]  就是拼命不做不舒服 不是這樣
[00:03:47.000 --> 00:03:50.000]  要拿中間的 你看下去
[00:03:50.000 --> 00:03:58.000]  因為勞碌一生 其實我們沒有東西可以帶給後人
[00:03:58.000 --> 00:04:02.000]  沒有什麼可以帶 有一份遺囑呢
[00:04:02.000 --> 00:04:05.000]  不知道有沒有看過 有個寡婦就說
[00:04:05.000 --> 00:04:10.000]  她老公死了什麼都沒有給 只給了兩億三千萬
[00:04:10.000 --> 00:04:14.000]  兩億三千萬還不夠?
[00:04:14.000 --> 00:04:18.000]  兩億三千萬 日元都夠了
[00:04:18.000 --> 00:04:21.000]  她說不是的 搞錯了
[00:04:21.000 --> 00:04:24.000]  她老公說好的東西要回憶
[00:04:24.000 --> 00:04:28.000]  不好的東西要失憶 就叫兩億
[00:04:28.000 --> 00:04:32.000]  三千萬就是千萬要照顧兒子
[00:04:32.000 --> 00:04:37.000]  千萬要孝順老爺奶奶 千萬不要改嫁
[00:04:37.000 --> 00:04:40.000]  這就是兩億三千萬
[00:04:40.000 --> 00:04:46.000]  我們承擔了家庭很多的東西 很辛苦
[00:04:46.000 --> 00:04:55.000]  在我們的生命當中 傳道書是說得很有智慧
[00:04:55.000 --> 00:05:00.000]  因為人心不足 拼命工作 工作就成為考計
