
[00:00:00.000 --> 00:00:04.000]  耶穌在生的時候
[00:00:04.000 --> 00:00:08.000]  祂的傳福音、祂的工作
[00:00:08.000 --> 00:00:14.000]  常常受到一班人攻擊、批評
[00:00:14.000 --> 00:00:20.000]  在祂的講道裡
[00:00:20.000 --> 00:00:22.000]  有一種比喻
[00:00:22.000 --> 00:00:26.000]  特別是針對這個情況
[00:00:26.000 --> 00:00:30.000]  來用來講的
[00:00:30.000 --> 00:00:34.000]  這種為著向批評者來解釋的
[00:00:34.000 --> 00:00:38.000]  這種的比喻是有三類
[00:00:38.000 --> 00:00:40.000]  第一類就是解釋
[00:00:40.000 --> 00:00:44.000]  為什麼福音要傳給那些
[00:00:44.000 --> 00:00:48.000]  社會鄙視的人
[00:00:48.000 --> 00:00:54.000]  好像罪人、妓女和稅吏
[00:00:54.000 --> 00:00:57.000]  這一類的比喻
[00:00:57.000 --> 00:01:00.000]  其中一個就好像說
[00:01:00.000 --> 00:01:04.000]  只有病人需要福音、需要醫生
[00:01:04.000 --> 00:01:06.000]  好人是不需要的
[00:01:06.000 --> 00:01:10.000]  第二類就是指出
[00:01:10.000 --> 00:01:12.000]  連那些批評者
[00:01:12.000 --> 00:01:14.000]  他們都需要福音
[00:01:14.000 --> 00:01:17.000]  這一類的比喻就好像說
[00:01:17.000 --> 00:01:20.000]  那些拒絕去赴婚宴的
[00:01:20.000 --> 00:01:23.000]  這種的比喻就屬於這一類的
[00:01:23.000 --> 00:01:27.000]  第三類是最強烈的
[00:01:27.000 --> 00:01:34.000]  是按著神的恩慈和大愛的本性
[00:01:34.000 --> 00:01:37.000]  向人解釋
[00:01:37.000 --> 00:01:40.000]  福音是為所有人
[00:01:40.000 --> 00:01:46.000]  不只是那些被社會藐視的人
[00:01:46.000 --> 00:01:48.000]  屬於這一類的比喻
[00:01:48.000 --> 00:01:52.000]  最出名的就是浪子比喻
[00:01:52.000 --> 00:01:56.000]  但是浪子比喻
[00:01:56.000 --> 00:02:04.000]  那個浪子不只是家裏的小兒子
[00:02:04.000 --> 00:02:06.000]  後來離開了家
[00:02:06.000 --> 00:02:09.000]  事實上這個浪子比喻
[00:02:09.000 --> 00:02:13.000]  也都是說到那個哥哥
[00:02:13.000 --> 00:02:20.000]  在空間上他一直和爸爸很相近
[00:02:20.000 --> 00:02:26.000]  但是在心靈上他和爸爸隔得更加遠
[00:02:26.000 --> 00:02:30.000]  一種更加危險的浪子
[00:02:30.000 --> 00:02:35.000]  一個很可能覺得不需要歸家的浪子
[00:02:35.000 --> 00:02:37.000]  所以我們今天要看的
[00:02:37.000 --> 00:02:40.000]  是盧家福音第十五章
[00:02:40.000 --> 00:02:43.000]  我稱它為浪子一族
[00:02:43.000 --> 00:02:46.000]  不是一個浪子
[00:02:46.000 --> 00:02:49.000]  是兩個浪子
[00:02:49.000 --> 00:02:53.000]  盧家福音第十五章第十一到第二十四節
[00:02:53.000 --> 00:03:02.000]  我們這次大概只有時間來說那個小的浪子
[00:03:02.000 --> 00:03:08.000]  下一次我會說那個大的浪子
[00:03:08.000 --> 00:03:13.000]  我們由第十一節讀到第二十四節
[00:03:13.000 --> 00:03:18.000]  找到的請聽我讀
[00:03:18.000 --> 00:03:21.000]  盧家福音第十五章第十一節
[00:03:21.000 --> 00:03:27.000]  耶穌說:有一個人有兩個兒子
[00:03:27.000 --> 00:03:30.000]  小兒子對父親說:
[00:03:30.000 --> 00:03:36.000]  父親請你把我應得的家業分給我
[00:03:36.000 --> 00:03:39.000]  他父親就把產業分給他們
[00:03:39.000 --> 00:03:41.000]  過了不多幾日
[00:03:41.000 --> 00:03:47.000]  小兒子就把他一切所有的都收拾起來
[00:03:47.000 --> 00:03:49.000]  往遠方去了
[00:03:49.000 --> 00:03:53.000]  在那裡任意放蕩浪費資財
