
[00:00:00.000 --> 00:00:07.080]  今日的題目是提摩泰侯書
[00:00:07.080 --> 00:00:08.720]  剛才已經讀完
[00:00:08.720 --> 00:00:10.720]  受苦必然 唯靠聖賢
[00:00:10.720 --> 00:00:17.640]  陳會寶牧師已經寫了一篇很好的
[00:00:17.640 --> 00:00:19.640]  提到聖賢的方面
[00:00:19.640 --> 00:00:23.120]  我多說說受苦
[00:00:23.120 --> 00:00:26.320]  剛才已經讀過 不再讀了
[00:00:26.320 --> 00:00:32.480]  保羅這個受苦提摩泰侯很清楚
[00:00:32.480 --> 00:00:34.880]  因為保羅第一次出來傳道的時候
[00:00:34.880 --> 00:00:36.880]  提摩泰侯是跟著他
[00:00:36.880 --> 00:00:38.880]  開始第一次傳道的時候
[00:00:38.880 --> 00:00:42.160]  安提阿帶了很多愛邦人信主
[00:00:42.160 --> 00:00:44.160]  但是猶太人不喜歡他
[00:00:44.160 --> 00:00:47.040]  找了一個官長趕他走
[00:00:47.040 --> 00:00:49.040]  以哥廉也是
[00:00:49.040 --> 00:00:51.920]  被人凌辱 越來越嚴重
[00:00:51.920 --> 00:00:53.920]  最慘就是路斯德
[00:00:53.920 --> 00:00:55.920]  路斯德被人打 用石頭打
[00:00:55.920 --> 00:00:57.920]  打到以為死了
[00:00:57.920 --> 00:01:01.360]  可想而知是很嚴重的
[00:01:01.360 --> 00:01:04.960]  打到不懂得動 躺在那裡
[00:01:04.960 --> 00:01:06.960]  很兇狠
[00:01:06.960 --> 00:01:08.960]  但是上帝保守他的性命
[00:01:08.960 --> 00:01:10.960]  叫他再次起來
[00:01:10.960 --> 00:01:12.960]  提摩泰侯知道
[00:01:12.960 --> 00:01:14.960]  保羅因為要傳道
[00:01:14.960 --> 00:01:18.320]  宣講神的話語而受迫害
[00:01:18.320 --> 00:01:23.360]  當我們問受苦必然是
[00:01:23.360 --> 00:01:26.320]  在什麼情況下受苦
[00:01:26.320 --> 00:01:30.320]  保羅說得很清楚
[00:01:30.320 --> 00:01:35.840]  凡立志在基督耶穌裡
[00:01:35.840 --> 00:01:40.320]  敬虔道日的也都將受迫害
[00:01:40.320 --> 00:01:43.200]  是在基督裡面受苦
[00:01:43.200 --> 00:01:47.200]  有人說我不交功課
[00:01:47.200 --> 00:01:49.200]  被老師留堂算不算為主受苦呢
[00:01:49.200 --> 00:01:51.200]  當然不算
[00:01:51.200 --> 00:01:55.200]  或者我做好事被人誤會受苦算不算呢
[00:01:55.200 --> 00:01:57.200]  也不算
[00:01:57.200 --> 00:01:59.200]  是因基督的緣故
[00:01:59.200 --> 00:02:01.200]  很清楚耶穌的教導
[00:02:01.200 --> 00:02:03.200]  在登山補訓裡說
[00:02:03.200 --> 00:02:05.200]  為義受迫害
[00:02:05.200 --> 00:02:07.200]  你留意到義就是基督
[00:02:07.200 --> 00:02:15.200]  不是因為你做好事在外面有什麼貢獻而被人
[00:02:15.200 --> 00:02:19.200]  因為耶穌是跟門徒說的
[00:02:19.200 --> 00:02:21.200]  不是跟外人說
[00:02:21.200 --> 00:02:27.200]  所謂為義受迫害不是對外面的人
[00:02:27.200 --> 00:02:29.200]  耶穌從來沒有說
[00:02:29.200 --> 00:02:31.200]  做好事有好報
[00:02:31.200 --> 00:02:33.200]  為義受迫害是因為你做好事
[00:02:33.200 --> 00:02:35.200]  不是
[00:02:35.200 --> 00:02:37.200]  如果是這樣
[00:02:37.200 --> 00:02:41.200]  天國就是一切在世上為人類付了代價
[00:02:41.200 --> 00:02:43.200]  天國就是金地
[00:02:43.200 --> 00:02:45.200]  就是達賴喀嘛等等
[00:02:45.200 --> 00:02:47.200]  不是
[00:02:47.200 --> 00:02:49.200]  很清楚在教會裡說
[00:02:49.200 --> 00:02:53.200]  受苦是為基督
[00:02:53.200 --> 00:02:57.200]  為我命的緣故
[00:02:57.200 --> 00:03:01.200]  義不是善
[00:03:01.200 --> 00:03:03.200]  你留意義不是善
[00:03:03.200 --> 00:03:05.200]  因為一個人得救
[00:03:05.200 --> 00:03:07.200]  是因為他接受耶穌的救贖
[00:03:07.200 --> 00:03:09.200]  相信耶穌得救
[00:03:09.200 --> 00:03:11.200]  聖經沒有說不做好事
[00:03:11.200 --> 00:03:13.200]  我們是要做好事的
[00:03:13.200 --> 00:03:15.200]  而且要做更多的好事
[00:03:15.200 --> 00:03:19.200]  但是善和義是有分別的
[00:03:19.200 --> 00:03:21.200]  很簡單
[00:03:21.200 --> 00:03:23.200]  一個人臨終的時候
[00:03:23.200 --> 00:03:25.200]  他要相信耶穌
[00:03:25.200 --> 00:03:27.200]  他跟牧師說
[00:03:27.200 --> 00:03:29.200]  我這輩子沒有回教會
[00:03:29.200 --> 00:03:31.200]  我又不懂祈禱
[00:03:31.200 --> 00:03:35.200]  甚至聖經我剛剛聽到
[00:03:35.200 --> 00:03:39.200]  因為可能他的子女信了
[00:03:39.200 --> 00:03:41.200]  他現在很想信主
[00:03:41.200 --> 00:03:43.200]  於是牧師跟他說
[00:03:43.200 --> 00:03:45.200]  耶穌基督赦免我們的罪
[00:03:45.200 --> 00:03:51.200]  我們要心地光明迎見上帝
[00:03:51.200 --> 00:03:55.200]  他突然覺得他需要耶穌結證他
[00:03:55.200 --> 00:03:57.200]  於是他信主
[00:03:57.200 --> 00:04:03.200]  他在這世上沒有做過什麼事情
[00:04:03.200 --> 00:04:05.200]  但是因為真心信主
[00:04:05.200 --> 00:04:09.200]  悔改信而受洗
[00:04:09.200 --> 00:04:11.200]  於是我就問
[00:04:11.200 --> 00:04:13.200]  他能不能得救?
[00:04:13.200 --> 00:04:15.200]  肯定一點
[00:04:15.200 --> 00:04:17.200]  他能不能得救?
[00:04:17.200 --> 00:04:19.200]  得救!
[00:04:19.200 --> 00:04:21.200]  牧師說我沒有回教會
[00:04:21.200 --> 00:04:23.200]  我沒有奉獻過
[00:04:23.200 --> 00:04:25.200]  我沒有去過團體
[00:04:25.200 --> 00:04:27.200]  我這樣都能得救?
[00:04:27.200 --> 00:04:29.200]  你說能不能得救?
[00:04:29.200 --> 00:04:31.200]  得救!因為他得救不是因為他做了很多善事
[00:04:31.200 --> 00:04:33.200]  做了很多好事
[00:04:33.200 --> 00:04:35.200]  是因為他相信基督
[00:04:35.200 --> 00:04:37.200]  那個義是基督為他成就
[00:04:37.200 --> 00:04:41.200]  所以他得到的義是基督為他成就
[00:04:41.200 --> 00:04:43.200]  不是他自己成就
[00:04:43.200 --> 00:04:45.200]  所以他得救
[00:04:45.200 --> 00:04:47.200]  這就是義
[00:04:47.200 --> 00:04:51.200]  我們要分清楚義和善是不同的
[00:04:51.200 --> 00:04:53.200]  不是因為他做了很多好事
[00:04:53.200 --> 00:04:55.200]  很多人說我們回教會做好事
[00:04:55.200 --> 00:04:57.200]  教會是好人
[00:04:57.200 --> 00:04:59.200]  所以你做好事你去教會
