
[00:00:00.000 --> 00:00:09.840]  早幾年前教會和法國那邊的巴黎教會
[00:00:09.840 --> 00:00:15.560]  大家有個商議有個機會讓我去到法國裏面
[00:00:15.560 --> 00:00:19.760]  和一些弟兄姊妹有一段時間去牧養
[00:00:19.760 --> 00:00:24.320]  所以每一次去到法國的時候
[00:00:24.320 --> 00:00:27.880]  我記得其實每一天的行程都很緊湊
[00:00:27.880 --> 00:00:31.760]  因為每一次的行程只規限在90天之內
[00:00:31.760 --> 00:00:37.280]  因為我們知道在歐洲裏面容許一個海外人士
[00:00:37.280 --> 00:00:41.400]  留在歐洲的境界裏面不超過90天
[00:00:41.400 --> 00:00:43.720]  不然就會罰款
[00:00:43.720 --> 00:00:47.560]  所以因為行程是這麼緊密的緣故
[00:00:47.560 --> 00:00:53.880]  於是很多弟兄姊妹就把握機會經常和我約見
[00:00:53.880 --> 00:00:54.840]  為什麼要約見呢
[00:00:54.840 --> 00:00:57.920]  因為其實他們在教會裏面
[00:00:57.920 --> 00:01:02.720]  首先在法國的教會到現在還沒有牧者
[00:01:02.720 --> 00:01:05.880]  可以長期在他們當中牧養
[00:01:05.880 --> 00:01:09.040]  所以在他們的靈性裏面有很多的掙扎
[00:01:09.040 --> 00:01:11.840]  其實我自己這樣說
[00:01:11.840 --> 00:01:18.840]  能夠在教會裏面有一個牧者能夠長期去帶領
[00:01:18.840 --> 00:01:20.560]  其實是一件很難得的事
[00:01:20.560 --> 00:01:24.800]  我還記得第一天我去到法國的時候
[00:01:24.800 --> 00:01:27.320]  有一個姐妹立即打電話來
[00:01:27.320 --> 00:01:29.920]  我不知道是否因為教會給我電話號碼
[00:01:29.920 --> 00:01:31.880]  她立即打電話來
[00:01:31.880 --> 00:01:34.360]  牧師我要立即約你今天下午見面
[00:01:34.360 --> 00:01:36.520]  我剛剛下飛機
[00:01:36.520 --> 00:01:38.040]  她說沒辦法了
[00:01:38.040 --> 00:01:40.880]  因為你三個月時間很快就過了
[00:01:40.880 --> 00:01:42.840]  我要盡快見你
