
[00:00:00.000 --> 00:00:07.000]  十誡當中的第三句說話
[00:00:07.000 --> 00:00:13.000]  不可網稱也或說「你神」的名字
[00:00:13.000 --> 00:00:21.000]  可能是十誡當中最難解釋的一句說話
[00:00:21.000 --> 00:00:27.000]  難的原因是第一句很簡單
[00:00:27.000 --> 00:00:33.000]  然後「網稱」這個動詞
[00:00:33.000 --> 00:00:40.000]  就是全本聖經只在這裏我們找到
[00:00:40.000 --> 00:00:43.000]  再沒有出現過
[00:00:43.000 --> 00:00:48.000]  所以翻譯起來甚麼是網稱呢?
[00:00:48.000 --> 00:00:51.000]  到底意思是甚麼呢?
[00:00:51.000 --> 00:00:58.000]  我們沒有其他的經文可以給我們作參考
[00:00:58.000 --> 00:01:03.000]  可以幫助我們去準確了解
[00:01:03.000 --> 00:01:07.000]  究竟這書叫我們好甚麼話
[00:01:07.000 --> 00:01:09.000]  怎樣對神的名話
[00:01:09.000 --> 00:01:12.000]  那個動詞最重要的
[00:01:12.000 --> 00:01:17.000]  我們沒有參考的資料
[00:01:17.000 --> 00:01:22.000]  所以猶太人要小心
[00:01:22.000 --> 00:01:25.000]  其實我們中國人也有同樣的習慣
[00:01:25.000 --> 00:01:27.000]  避諱
[00:01:27.000 --> 00:01:30.000]  皇帝的名字千萬不要改
[00:01:30.000 --> 00:01:34.000]  出於尊敬怕被人殺
[00:01:34.000 --> 00:01:38.000]  對上帝的名字不要網稱
[00:01:38.000 --> 00:01:41.000]  不肯定他的意思
[00:01:41.000 --> 00:01:47.000]  穩妥一點保證不會搞錯
[00:01:47.000 --> 00:01:56.000]  所以猶太人第一他們不敢隨便讀出上帝的名字
[00:01:56.000 --> 00:01:58.000]  上帝有名字的
[00:01:58.000 --> 00:02:03.000]  在舊約聖經裏面我們中文聖經譯了為耶和華
[00:02:03.000 --> 00:02:05.000]  這是他的名字
[00:02:05.000 --> 00:02:09.000]  他和摩西說我的名字就是耶和華
[00:02:09.000 --> 00:02:11.000]  就讀了出來
[00:02:11.000 --> 00:02:14.000]  其實猶太人不讀的
[00:02:14.000 --> 00:02:17.000]  他們讀到聖經讀到這個字的時候
[00:02:17.000 --> 00:02:19.000]  他們怎樣算呢
[00:02:19.000 --> 00:02:24.000]  他們用另外一個字去代替了上帝的名字
[00:02:24.000 --> 00:02:26.000]  用哪個字呢
[00:02:26.000 --> 00:02:29.000]  他們用主字
[00:02:29.000 --> 00:02:31.000]  但中文聖經為何不跟呢
[00:02:31.000 --> 00:02:34.000]  中文聖經就跟了英文聖經的做法
[00:02:34.000 --> 00:02:39.000]  英文聖經King James就譯了為耶和華
