
[00:00:00.000 --> 00:00:07.000]  哈巴谷書是十二仙之書裏的第八卷
[00:00:07.000 --> 00:00:11.000]  一共是三張書 56字的經文
[00:00:11.000 --> 00:00:16.000]  哈巴谷書的作者當然是哈巴谷仙芝
[00:00:16.000 --> 00:00:21.000]  在十二仙之書裏有被神稱為仙芝的作者
[00:00:21.000 --> 00:00:25.000]  除了哈巴谷還有哈蓋和撒加利亞
[00:00:25.000 --> 00:00:30.000]  學者很多認為哈巴谷是利未人
[00:00:30.000 --> 00:00:34.000]  甚至在聖殿裏唱詩
[00:00:34.000 --> 00:00:38.000]  因為我們知道哈巴谷書的第三章是詩歌
[00:00:38.000 --> 00:00:41.000]  三章一節說是用琉璃歌調
[00:00:41.000 --> 00:00:48.000]  三章十九節說是要交給靈長用詩源來奏樂
[00:00:48.000 --> 00:00:55.000]  哈巴谷的意思是擁抱神或被神擁抱
[00:00:55.000 --> 00:01:02.000]  馬丁路德說哈巴谷的意思是擁抱以色列的人民
[00:01:02.000 --> 00:01:07.000]  而耶佑米·傑隆這一位猶太人歷史學家
[00:01:07.000 --> 00:01:11.000]  認為是哈巴谷擁抱神的公義
[00:01:11.000 --> 00:01:16.000]  究竟是人擁抱神還是神擁抱人
[00:01:16.000 --> 00:01:18.000]  還是擁抱甚麼呢?
[00:01:18.000 --> 00:01:23.000]  在這結束的時候我們會有一個很清楚的交代
[00:01:23.000 --> 00:01:29.000]  哈巴谷的成書日期相信很少人會得真偶
[00:01:29.000 --> 00:01:34.000]  因為一般學者都認為這個時代的背景
[00:01:34.000 --> 00:01:39.000]  就是在巴比倫尼泊格尼薩和他父親的統治下
[00:01:39.000 --> 00:01:41.000]  是崛起的時候
[00:01:41.000 --> 00:01:47.000]  亞述國已經被巴比倫、馬黛波斯和西古提
[00:01:47.000 --> 00:01:50.000]  三國聯軍打敗
[00:01:50.000 --> 00:01:52.000]  退守到哈蘭
[00:01:52.000 --> 00:01:59.000]  而成書日期極可能就在亞述國被西古提滅亡的時候
[00:01:59.000 --> 00:02:02.000]  亦都是公元前的609年
[00:02:02.000 --> 00:02:08.000]  應該這一段時間就是約瓦敬當政的時候
[00:02:08.000 --> 00:02:13.000]  相信哈巴谷亦都親眼見過約瓦敬的父親
