
[00:00:00.000 --> 00:00:05.760]  大家有沒有試過在外國住呢?
[00:00:05.760 --> 00:00:10.760]  不計那些三日四夜的假期
[00:00:10.760 --> 00:00:13.760]  一下回來都不知道那裡是怎樣的
[00:00:13.760 --> 00:00:16.760]  住一年半載那些
[00:00:16.760 --> 00:00:19.760]  我實在是去美國留學
[00:00:19.760 --> 00:00:21.760]  去美國留學那一刻
[00:00:21.760 --> 00:00:24.760]  我之前已經在新加坡住了四年
[00:00:24.760 --> 00:00:26.760]  所以我不是第一次出門
[00:00:26.760 --> 00:00:28.760]  不過雖然是這樣
[00:00:28.760 --> 00:00:31.760]  但在美國住的那裡原來也有些適應的
[00:00:31.760 --> 00:00:35.760]  例如那些人挺熱情的
[00:00:35.760 --> 00:00:38.760]  我記得第一次上學的時候在美國
[00:00:38.760 --> 00:00:40.760]  我多數很早就去那裡
[00:00:40.760 --> 00:00:41.760]  坐在那裡
[00:00:41.760 --> 00:00:43.760]  有一個女同學走進來
[00:00:43.760 --> 00:00:45.760]  然後又有另外一個女同學走進來
[00:00:45.760 --> 00:00:47.760]  一見面就說Shantan
[00:00:47.760 --> 00:00:49.760]  走過來抱著
[00:00:49.760 --> 00:00:53.760]  哇 這些女士真是這麼刺激
[00:00:53.760 --> 00:00:55.760]  然後我又驚訝
[00:00:55.760 --> 00:00:58.760]  以後她們再熟悉我會不會也是這樣呢?
[00:00:58.760 --> 00:01:00.760]  原來不會的
[00:01:00.760 --> 00:01:01.760]  為什麼呢?
[00:01:01.760 --> 00:01:04.760]  因為她們知道我這些華人
[00:01:04.760 --> 00:01:07.760]  比較修煉一點
[00:01:07.760 --> 00:01:09.760]  所以她們也不會這麼做
[00:01:09.760 --> 00:01:11.760]  除了教會
[00:01:11.760 --> 00:01:12.760]  教會那群就不是了
[00:01:12.760 --> 00:01:14.760]  一下子就過來了
[00:01:14.760 --> 00:01:16.760]  骨頭都斷了
[00:01:16.760 --> 00:01:21.760]  你想想那時候我去美國是開心的
[00:01:21.760 --> 00:01:23.760]  開心去留學
[00:01:23.760 --> 00:01:25.760]  也有適應
[00:01:25.760 --> 00:01:27.760]  今天我們讀的故事
[00:01:27.760 --> 00:01:30.760]  路德的旅程不是開心的
[00:01:30.760 --> 00:01:32.760]  是一個很不開心的旅程
[00:01:32.760 --> 00:01:34.760]  實際上要做這件事
[00:01:34.760 --> 00:01:37.760]  因為基本上他的家人死了
[00:01:37.760 --> 00:01:38.760]  只剩下他們幾個人
[00:01:38.760 --> 00:01:39.760]  所以要這麼做
[00:01:39.760 --> 00:01:41.760]  為什麼要這麼做呢?
[00:01:41.760 --> 00:01:43.760]  首先我們要說一件事
[00:01:43.760 --> 00:01:47.760]  為什麼要拿牌米給他們這麼做呢?
[00:01:47.760 --> 00:01:49.760]  就因為這裡
[00:01:49.760 --> 00:01:50.760]  一章第十七節
[00:01:50.760 --> 00:01:52.760]  我們知道一開始的時候
[00:01:52.760 --> 00:01:54.760]  叫他們回家
[00:01:54.760 --> 00:01:57.760]  趁著年輕回去改嫁
[00:01:57.760 --> 00:01:59.760]  還有得商量
[00:01:59.760 --> 00:02:01.760]  跟著我死路一條
[00:02:01.760 --> 00:02:04.760]  最後為什麼呢?
[00:02:04.760 --> 00:02:06.760]  拿牌米就停了口不再叫
[00:02:06.760 --> 00:02:08.760]  就因為他做了一件事
[00:02:08.760 --> 00:02:09.760]  他起了個勢
[00:02:09.760 --> 00:02:13.760]  他說除非死能使你我離開
