
[00:00:00.000 --> 00:00:08.000]  世歷年初一,都要用中國人的禮,恭喜大家新年快樂,萬事勝意。
[00:00:08.000 --> 00:00:16.000]  我時時說,尤其是基督徒,萬事勝意,不要說萬事如意。
[00:00:16.000 --> 00:00:24.000]  事實上就算不是,都想想,萬事如意,實際上沒有可能,等於心想事成。
[00:00:24.000 --> 00:00:34.000]  因為一個說話,世事豈能盡如人意,萬事無可能如意,萬事勝意,一會兒再說。
[00:00:34.000 --> 00:00:41.000]  世事豈能盡如人意,自然下一句就是,但求無愧我心。
[00:00:41.000 --> 00:00:48.000]  如果我們說基督教信仰和中國傳統信仰,近來都是這樣說,其實這句都是一種。
[00:00:48.000 --> 00:00:57.000]  中國幾千年來,主要是用心做根本,以人自己為根本,所以無愧我心。
[00:00:57.000 --> 00:01:05.000]  但無愧我心,有個,我們看,幾年前,香港有個著名的大貪官,他說,沒有,我問心無愧。
[00:01:05.000 --> 00:01:14.000]  周時你看很多新聞,很多時,甚至我們自己都是,公說公有理,婆說婆有理,到最後當然說,總之我自己問心無愧。
[00:01:14.000 --> 00:01:23.000]  在中國文化中長大,少不免都是用這句做一種,自己自慰的說話,總之覺得我的心安樂,自然什麼都妥當。
[00:01:23.000 --> 00:01:31.000]  但問題就是,所謂人心不同,各如其面,即是,每個人的心是不同。
[00:01:31.000 --> 00:01:37.000]  你說,但求無愧我心,但人家的心又如何呢?
[00:01:37.000 --> 00:01:48.000]  所以,我今日講的東西,和平時有少少不同,很多引述,近來做了一輪功夫,讀了《針研》。
[00:01:48.000 --> 00:01:53.000]  前兩日有人通知我,說我的書剛剛出版,但我自己都未見過。
[00:01:53.000 --> 00:01:58.000]  他拾足一個媽媽,告訴他,這個嬰兒出世了,自己都未見過。
[00:01:58.000 --> 00:02:02.000]  唯有等幾日後,或者約一日後,他們寄到來。
[00:02:02.000 --> 00:02:10.000]  剛才牧師提及,有時回香港,我都想的,我認識他們,我又不是航空公司的董事。
[00:02:10.000 --> 00:02:14.000]  若不然,有些特別廉價一折的機票,每日都回香港。
[00:02:14.000 --> 00:02:16.000]  說到底,移民都要付出代價。
[00:02:16.000 --> 00:02:18.000]  好,講回這裏。
[00:02:18.000 --> 00:02:23.000]  《針研》詩有句,不過我們現代多數不帶《聖經》,但無所謂,一會兒都會講講。
[00:02:23.000 --> 00:02:29.000]  因為《聖經》的文字,譯了很多次,所以好淺白,就這樣讀出來都明白。
[00:02:29.000 --> 00:02:34.000]  我又不懂得這個PowerPoint,我都好落後,現在都不是落後,我變成了古人。
[00:02:34.000 --> 00:02:42.000]  現在人人都拿著iPad,活活活活,我都還是最高的科技就是Flex,高的科技就超過我的境界。
[00:02:42.000 --> 00:02:47.000]  本來如果預先弄了,交給弟兄幫我弄了PowerPoint,在後面打出來。
[00:02:47.000 --> 00:02:52.000]  但其實又是過眼雲煙,最好都是恢復一些習慣,就是自己打。
[00:02:52.000 --> 00:02:57.000]  不過尤其現在,那些iPad,甚麼東西在裏面都可以輸入《聖經》。
[00:02:57.000 --> 00:03:04.000]  希望將來,有時正道也好,廣道也好,可以每人拿著iPad來,按按按,按《聖經》就可以了。
[00:03:04.000 --> 00:03:08.000]  我們不要緊,最重要是聽,最重要是思想。
[00:03:08.000 --> 00:03:14.000]  《針元書》十六章二節,如果大家真的有興趣,你們可以只拿著章節回來自己看。
[00:03:14.000 --> 00:03:23.000]  《針元書》十六章二節,人心所行的,在自己眼中,就捍衛清潔。
[00:03:23.000 --> 00:03:27.000]  惟有耶和華衡量人心。
[00:03:27.000 --> 00:03:32.000]  真是好,等於我們讀得慢慢地,《益陽遁草》清楚一樣,聽得明嗎?
[00:03:32.000 --> 00:03:42.000]  人一切所行的,即你和我,古今中外的人所做的,在自己眼中,就捍衛清潔。
[00:03:42.000 --> 00:03:46.000]  原來《聖經》早已講過,個個人都說自己民心無愧的。
[00:03:46.000 --> 00:03:50.000]  連大賊都說自己民心無愧,為甚麼呢?
[00:03:50.000 --> 00:03:53.000]  為甚麼社會對我虧待,令我做大賊?
[00:03:53.000 --> 00:03:56.000]  我老爸做普通賊,到我,我就做大賊。
[00:03:56.000 --> 00:03:59.000]  所以其實是社會虧欠我,個個都懂得這兩種邏輯。
[00:03:59.000 --> 00:04:03.000]  人一切所行的,在自己眼中,就捍衛清潔。
[00:04:03.000 --> 00:04:07.000]  惟有耶和華衡量人心。
[00:04:07.000 --> 00:04:10.000]  只有神,祂是最公道的。
[00:04:10.000 --> 00:04:15.000]  我們剛才,又好像《針元書》二十一章二節,
[00:04:15.000 --> 00:04:20.000]  人一切所行的,在自己眼中,就捍衛清潔。
[00:04:20.000 --> 00:04:23.000]  惟有耶和華衡量人心。
[00:04:23.000 --> 00:04:26.000]  《針元》其實很多東西,又不是重複,是大同小異。
[00:04:26.000 --> 00:04:31.000]  它是出自很多時代,很多人,並不是一個人的作品。
[00:04:31.000 --> 00:04:35.000]  如果一個人的作品,當然是頭尾會統一,有些地方就不會重複,
[00:04:35.000 --> 00:04:37.000]  相同的東西又會走在一起,不是的。
[00:04:37.000 --> 00:04:41.000]  《針元》是很散很散,但它的價值並不因此貶損,
[00:04:41.000 --> 00:04:44.000]  因為它本來就是一個collection,
[00:04:44.000 --> 00:04:48.000]  不同的時代,不同的地點,不單以色列為一個地方,
[00:04:48.000 --> 00:04:50.000]  一個集體的智慧,
[00:04:50.000 --> 00:04:54.000]  都不知是多少人的智慧,所以很值得。
[00:04:54.000 --> 00:04:57.000]  尤其是我們中國人一看,會特別有親切感,
[00:04:57.000 --> 00:05:01.000]  因為它的性質比較特殊,多數重視人生的倫理,
[00:05:01.000 --> 00:05:03.000]  但你要有些耐心才行,
[00:05:03.000 --> 00:05:06.000]  它有九百多句,六百多則《針元》,
[00:05:06.000 --> 00:05:10.000]  我花了兩年的功夫,將它歸納好,
[00:05:10.000 --> 00:05:15.000]  據說我的孩子懷胎二十多個月,
[00:05:15.000 --> 00:05:20.000]  出生了,不過我剛才沒有說過,只是我自己沒見過而已。
[00:05:20.000 --> 00:05:22.000]  好了,說回這裏,
[00:05:22.000 --> 00:05:24.000]  《針元》書有一章二節,
[00:05:24.000 --> 00:05:26.000]  「人所行的在自己眼中都看為正,」
[00:05:26.000 --> 00:05:28.000]  個個都覺得自己對的,
[00:05:28.000 --> 00:05:30.000]  個個都覺得自己管著良心做事,
[00:05:30.000 --> 00:05:32.000]  公說公有理,婆說婆有理,
[00:05:32.000 --> 00:05:35.000]  你想實際就知道,不過澳洲很少見到這種機會,
[00:05:35.000 --> 00:05:37.000]  以前香港,現在香港也沒有了,
[00:05:37.000 --> 00:05:38.000]  我們小時候就有了,
[00:05:38.000 --> 00:05:40.000]  我們幾十歲的人,七十歲的人,
[00:05:40.000 --> 00:05:43.000]  在香港小時候,見到街市那些賣菜的人吵架,
[00:05:43.000 --> 00:05:46.000]  就真的可以見到公說公有理,婆說婆有理,
[00:05:46.000 --> 00:05:49.000]  個個都覺得自己很有理,兄弟格惡的,
[00:05:49.000 --> 00:05:51.000]  他唯有耶和華衡量人心,
[00:05:51.000 --> 00:05:55.000]  《針元》書有一章二節,剛才是十六章二節,
[00:05:55.000 --> 00:05:58.000]  說回一個半題外的話,
[00:05:58.000 --> 00:06:06.000]  有很多人覺得佛經文字很抽象,
[00:06:06.000 --> 00:06:09.000]  很奧妙,特別不同的文體,
