
[00:00:00.000 --> 00:00:02.000]  (字幕: 王毅)
[00:00:02.000 --> 00:00:07.680]  《約書亞記》已經是我們最後的一個信息
[00:00:07.680 --> 00:00:11.760]  今天我要講的是《約書亞的遺言》
[00:00:11.760 --> 00:00:13.480]  《約書亞話》
[00:00:13.480 --> 00:00:17.480]  「我和我的家必定侍奉耶和華」
[00:00:17.480 --> 00:00:22.720]  這一句話在《約書亞記》的24章15節
[00:00:22.720 --> 00:00:27.640]  可以說是《約書亞記》裏面最出名的一句名言
[00:00:29.800 --> 00:00:35.560]  其實《約書亞記》裏面一開始一結束都是一個喪禮
[00:00:35.560 --> 00:00:38.880]  開始的時候是摩西的喪禮
[00:00:38.880 --> 00:00:43.040]  現在結束的時候是約書亞的喪禮
[00:00:43.040 --> 00:00:45.800]  就在這兩個喪禮之間
[00:00:45.800 --> 00:00:50.240]  以色列人是靠著神的力量能夠戰勝敵人
[00:00:50.240 --> 00:00:51.760]  征服迦南
[00:00:51.760 --> 00:00:54.160]  已經分了地
[00:00:54.880 --> 00:01:01.160]  毫無疑問《約書亞記》最後一章24章是講侍奉
[00:01:01.160 --> 00:01:04.520]  所以我們今天很感謝Winnie和Peter
[00:01:04.520 --> 00:01:06.520]  為我們揀選這麼好的聖詩
[00:01:06.520 --> 00:01:11.000]  很多都是關於侍奉和將最好的獻給神
[00:01:11.000 --> 00:01:17.200]  我們怎知道這張書最重要的信息是侍奉
[00:01:17.200 --> 00:01:22.080]  因為侍奉這個字在經文裏面出現了16次
[00:01:22.520 --> 00:01:26.160]  所以我們知道侍奉是24章的主題
[00:01:26.160 --> 00:01:31.360]  另外有一個字有一個名字出現21次
[00:01:31.360 --> 00:01:33.160]  是耶和華
[00:01:33.160 --> 00:01:37.360]  所以我們知道侍奉的目標
[00:01:37.360 --> 00:01:39.680]  我們侍奉的對象是神
[00:01:39.680 --> 00:01:41.400]  是耶和華自己
[00:01:41.400 --> 00:01:43.800]  你說不是啊牧師
[00:01:43.800 --> 00:01:47.960]  我在和合本找到23個耶和華
[00:01:47.960 --> 00:01:51.760]  有兩次是和合本自己加了上去
[00:01:51.880 --> 00:01:54.000]  一共應該是21次
[00:01:54.000 --> 00:01:56.680]  很多時候我們的生命當中
[00:01:56.680 --> 00:01:58.680]  我們的生活出現了問題
[00:01:58.680 --> 00:02:02.000]  就是我們侍奉的對象出現了問題
[00:02:02.000 --> 00:02:04.760]  我們去侍奉我們的配偶
[00:02:04.760 --> 00:02:06.960]  我們去侍奉我們的子女
[00:02:06.960 --> 00:02:09.320]  我們的孫子我們的孫女
[00:02:09.320 --> 00:02:11.840]  問題就出現了
[00:02:11.840 --> 00:02:15.560]  聖經裏面時時說我們和神的關係
[00:02:15.560 --> 00:02:17.560]  是用什麼來做比喻
[00:02:17.560 --> 00:02:18.960]  是夫妻
[00:02:19.960 --> 00:02:21.960]  你試一下和你的太太說
[00:02:21.960 --> 00:02:24.880]  Honey 我將你放首位
[00:02:24.880 --> 00:02:29.840]  但你之後還有二奶三奶四奶五奶六奶七奶
[00:02:29.840 --> 00:02:32.360]  你試一下和你的太太這樣說
[00:02:32.360 --> 00:02:34.360]  你看看你太太放不放過你
[00:02:34.360 --> 00:02:36.720]  我想想她和你死過
[00:02:36.720 --> 00:02:39.600]  我們都是一樣
[00:02:39.600 --> 00:02:41.920]  我們侍奉神我們是要專一
[00:02:41.920 --> 00:02:44.920]  我們是要向神專心侍奉
[00:02:44.920 --> 00:02:49.560]  很多時候我們去侍奉其他的人
[00:02:49.720 --> 00:02:52.400]  就是希望和對方搞好關係
[00:02:52.400 --> 00:02:54.920]  但我可以告訴你
[00:02:54.920 --> 00:02:58.480]  試盡你的能力你都不能改善關係
[00:02:58.480 --> 00:03:01.960]  除非你和神有一個良好的關係
[00:03:01.960 --> 00:03:04.960]  當你和神有一個良好的關係
[00:03:04.960 --> 00:03:07.800]  你自然就和人有一個好關係
[00:03:07.800 --> 00:03:15.160]  今天我們所要說的場地是事劍這個地方
[00:03:15.160 --> 00:03:18.120]  事劍是在以色列的中部
[00:03:18.400 --> 00:03:21.120]  在迦南地最中心的地方
[00:03:21.120 --> 00:03:23.760]  我以前都和大家說過
[00:03:23.760 --> 00:03:26.640]  事劍是在兩座山的中間
[00:03:26.640 --> 00:03:30.480]  就是基利森山和以巴魯山
[00:03:30.480 --> 00:03:33.640]  其實事劍是一個山谷
[00:03:33.640 --> 00:03:36.920]  但事劍就好像一個天然的舞台
[00:03:36.920 --> 00:03:39.240]  一個天然的劇場一樣
[00:03:39.240 --> 00:03:41.680]  你在事劍這個山谷
[00:03:41.680 --> 00:03:44.640]  用你平時的聲線說一句話
[00:03:44.640 --> 00:03:46.640]  在兩個山坡的上方
[00:03:46.640 --> 00:03:49.240]  人們都能夠聽得清清楚楚
[00:03:49.240 --> 00:03:53.640]  今天約書亞聚集了以色列人在事劍
[00:03:53.640 --> 00:03:56.120]  要和他們說最後的一番話
[00:03:56.120 --> 00:03:59.320]  事劍亦是亞伯拉罕
