
[00:00:00.000 --> 00:00:07.000]  我們讀尼希米記,讀了一半了。
[00:00:07.000 --> 00:00:17.000]  尼希米建城牆的經過,雖然時間很短,52天,兩個月都不夠。
[00:00:17.000 --> 00:00:26.000]  但是上一堂,兩個禮拜前,我們看過,他經歷了很多的難阻。
[00:00:26.000 --> 00:00:30.000]  我們沒有時間,上一次,不知道你回去有沒有自己讀呢?
[00:00:30.000 --> 00:00:37.000]  我們提到外面來的難阻,內在的難阻。
[00:00:37.000 --> 00:00:47.000]  最後,在第六章,尼希米記第六章提到針對尼希米作為領袖,
[00:00:47.000 --> 00:00:50.000]  他遭遇了很大的困難。
[00:00:50.000 --> 00:01:02.000]  在六章第二節提到,作為領袖,他的敵人攻擊他,要害他。
[00:01:02.000 --> 00:01:11.000]  作為領袖,他的敵人造謠,生安白造的罪名加在他身上,
[00:01:11.000 --> 00:01:21.000]  要令到波斯的政府,針對尼希米,說他造反。
[00:01:21.000 --> 00:01:25.000]  這是在六章第五節到第八節。
[00:01:25.000 --> 00:01:36.000]  然後,你可以說最毒辣的,作為領袖,尼希米倚靠上帝,
[00:01:36.000 --> 00:01:48.000]  他們的敵人竟然借用了一些先知,來向尼希米施加壓力。
[00:01:48.000 --> 00:01:54.000]  在六章第十節到第十四節。
[00:01:54.000 --> 00:02:04.000]  尼希米面對這些困難,我們簡單交代,補上一次,未曾有時間討論的重點。
[00:02:04.000 --> 00:02:11.000]  尼希米只是做兩件事,或者不是做什麼。
[00:02:11.000 --> 00:02:20.000]  第一,當他面對這些攻擊的時候,他不是沉默,忍辱負重,不出聲。
[00:02:20.000 --> 00:02:27.000]  這樣有時候會更加帶來誤會,更多的誤會。
[00:02:27.000 --> 00:02:32.000]  他澄清的,他解釋的,他交代的。
[00:02:32.000 --> 00:02:41.000]  不過,這些澄清都是很實事求是,我沒有這樣做過。
[00:02:41.000 --> 00:02:45.000]  這些是你們說的,事實不是這樣。
[00:02:45.000 --> 00:02:58.000]  尼希米並沒有和他的仇敵,在這些事情上爭吵,或者甚至彼此作人身的攻擊。
[00:02:58.000 --> 00:03:07.000]  但是更加重要的就是,我們留意到,尼希米作為領袖,在整件事情當中,
[00:03:07.000 --> 00:03:21.000]  他關心的,他看重的,是上帝交給他的使命,不是他個人的利益。
[00:03:21.000 --> 00:03:23.000]  這個是最困難的。
[00:03:23.000 --> 00:03:32.000]  作為一個領袖,怎樣能夠不將自己放在優先的地方,
[00:03:32.000 --> 00:03:38.000]  以致到考慮事情的時候,不是想自己的安全。
[00:03:38.000 --> 00:03:46.000]  你回去再讀第六章,你會留意到,尼希米每一件事情,他不是想,我怎樣能夠保護我自己,不是。
[00:03:46.000 --> 00:03:56.000]  他在想的是,上帝所交託給他建造城牆的工作,可以怎樣完成。
[00:03:56.000 --> 00:04:02.000]  不是沒有難阻,不是沒有困難,不是沒有危險。
[00:04:02.000 --> 00:04:09.000]  上帝的工作從來都不是一帆風順。
[00:04:09.000 --> 00:04:25.000]  但是這些難阻,這些危險,並沒有構成事情就是因為這樣而失敗,停頓,做不成。
[00:04:25.000 --> 00:04:37.000]  不是,尼希米在整個過程當中,給我們一個很好的榜樣,城牆終於完成了。
[00:04:37.000 --> 00:04:46.000]  第七章,剛才我們讀的是第八章,第七章很長,又是一份名單。
[00:04:46.000 --> 00:04:52.000]  不單止又是一份名單,而且是重複以色列的,
[00:04:52.000 --> 00:05:02.000]  我們很早的時候讀過,索羅巴伯耶穌亞帶著頭一批回耶路撒冷的以色列人,
[00:05:02.000 --> 00:05:10.000]  42,360人,加上其他的僕人等等,大概五萬人這個名單,我們讀過了。
[00:05:10.000 --> 00:05:15.000]  第七章重複記載這一份名單。
[00:05:15.000 --> 00:05:23.000]  你不要覺得是浪費時間,浪費聖經寶貴的篇幅。
[00:05:23.000 --> 00:05:32.000]  你這樣看就錯過了這一章第七章的重要了。
[00:05:32.000 --> 00:05:40.000]  我知道今天主要學是讀尼希米記第七章,所以你們應該可以起來講了,不用我講了。
