
[00:00:00.000 --> 00:00:04.000]  聽者們早安
[00:00:04.000 --> 00:00:06.640]  感謝主給我機會再次來到大家當中
[00:00:06.640 --> 00:00:11.360]  我再次感謝神傳道給我機會
[00:00:11.360 --> 00:00:15.040]  以及上帝給我侍奉的恩典
[00:00:15.040 --> 00:00:17.360]  我不是加拿大人
[00:00:17.360 --> 00:00:19.840]  不過很多時候在加拿大出現的時間
[00:00:19.840 --> 00:00:24.880]  感謝教會給我機會在這裡和大家分享神的話
[00:00:24.880 --> 00:00:33.280]  我上一次和大家講的是根山補訓第一段
[00:00:33.280 --> 00:00:35.280]  八福 不知道大家有沒有印象
[00:00:35.280 --> 00:00:39.440]  原來耶穌開始新的角度的時間
[00:00:39.440 --> 00:00:43.360]  就好像舊約聖經開始一個新的以色列角度
[00:00:43.360 --> 00:00:46.160]  上帝在西乃山頒佈十誡
[00:00:46.160 --> 00:00:52.320]  同樣當主耶穌向跟從的人開始一個新的角度的時間
[00:00:52.320 --> 00:00:54.320]  他頒佈了八福
[00:00:54.320 --> 00:00:56.320]  在頒佈八福之後
[00:00:56.320 --> 00:00:58.320]  接下來今天看聖經
[00:00:58.320 --> 00:01:03.600]  就是馬拉方第五章十三節到二十節
[00:01:03.600 --> 00:01:05.600]  這段聖經
[00:01:05.600 --> 00:01:07.600]  我先提一提
[00:01:07.600 --> 00:01:10.800]  兩星期後我有機會再來這裡
[00:01:10.800 --> 00:01:12.800]  在主的崇拜講道
[00:01:12.800 --> 00:01:14.800]  每個月神傳道給我機會在這裡講
[00:01:14.800 --> 00:01:17.920]  十月我十月初就離開了
[00:01:17.920 --> 00:01:19.920]  原本一直講下去
[00:01:19.920 --> 00:01:25.040]  我應該講到很具體在跟從主的路上
[00:01:25.040 --> 00:01:27.920]  生活上很多具體的層面
[00:01:27.920 --> 00:01:30.800]  怎樣來讓上帝更新
[00:01:30.800 --> 00:01:32.800]  不過我發現
[00:01:32.800 --> 00:01:34.800]  下次我所定的題目
[00:01:34.800 --> 00:01:39.440]  就和環境不太配合
[00:01:39.440 --> 00:01:45.040]  下次我本來是講登山補訓的二十一節開始
[00:01:45.040 --> 00:01:52.080]  但由於下星期大日子
[00:01:52.080 --> 00:01:55.280]  神傳道在下午就按立
[00:01:55.280 --> 00:01:57.280]  我覺得不太適合
[00:01:57.280 --> 00:01:59.280]  為什麼呢?因為下次我所講的題目
[00:01:59.280 --> 00:02:01.280]  就是欠債還錢
[00:02:01.280 --> 00:02:05.280]  應該留待以後再講
[00:02:05.280 --> 00:02:07.280]  所以我會調動一下
[00:02:07.280 --> 00:02:11.280]  希望以後或明年有機會跟大家分享
[00:02:11.280 --> 00:02:13.280]  登山補訓其他下來的經文
[00:02:13.280 --> 00:02:15.280]  耶穌講完八福之後
[00:02:15.280 --> 00:02:19.280]  就講到今天提及的經文
[00:02:19.280 --> 00:02:21.280]  我們好像炎一樣
[00:02:21.280 --> 00:02:23.280]  好像光一樣
[00:02:23.280 --> 00:02:25.280]  我用了一個題目
[00:02:25.280 --> 00:02:27.280]  就是生活如歌
[00:02:27.280 --> 00:02:29.280]  邏輯是耶穌說人生就像八福一樣
[00:02:29.280 --> 00:02:31.280]  八福不是我們理想當中
[00:02:31.280 --> 00:02:33.280]  特別是中國人想的福氣
[00:02:33.280 --> 00:02:37.280]  是跟從上帝那種人生的改變的福氣
[00:02:37.280 --> 00:02:39.280]  這種改變
[00:02:39.280 --> 00:02:41.280]  接下來的經文
[00:02:41.280 --> 00:02:43.280]  目標就是
[00:02:43.280 --> 00:02:45.280]  改變不是為了我們自己
[00:02:45.280 --> 00:02:47.280]  而是為了上帝的角度
[00:02:47.280 --> 00:02:49.280]  我們能夠成為炎成為光
[00:02:49.280 --> 00:02:51.280]  我們看看經文
[00:02:51.280 --> 00:02:53.280]  我們將這段經文
[00:02:53.280 --> 00:02:55.280]  分成兩個大段落
[00:02:55.280 --> 00:02:57.280]  十三節到十六節
[00:02:57.280 --> 00:02:59.280]  很清楚的一個段落
[00:02:59.280 --> 00:03:01.280]  就是我們要成為炎成為光
[00:03:01.280 --> 00:03:03.280]  來榮耀上帝
