
[00:00:00.000 --> 00:00:04.000]  我以為當我接受校長任命的時候
[00:00:04.000 --> 00:00:06.000]  我以為做校長應該都幾容易的
[00:00:06.000 --> 00:00:09.000]  你叫人做事那些人就會做的
[00:00:09.000 --> 00:00:12.000]  但是怎知原來牧師叫我做事
[00:00:12.000 --> 00:00:15.000]  好像上帝的旨意一樣
[00:00:15.000 --> 00:00:19.000]  是要成就在地上與同在天上
[00:00:19.000 --> 00:00:21.000]  我見到很多人都說
[00:00:21.000 --> 00:00:23.000]  我做了這麼多年
[00:00:23.000 --> 00:00:25.000]  我做了這麼多年
[00:00:25.000 --> 00:00:27.000]  我做了這麼多年
[00:00:27.000 --> 00:00:30.000]  與同在天上
[00:00:30.000 --> 00:00:32.000]  我每一次來到這裡
[00:00:32.000 --> 00:00:34.000]  我都覺得很有氣氛的
[00:00:34.000 --> 00:00:36.000]  因為這個禮拜堂
[00:00:36.000 --> 00:00:39.000]  不單止有很高的樓底
[00:00:39.000 --> 00:00:41.000]  有一個很美麗的風琴
[00:00:41.000 --> 00:00:45.000]  每一次我看到窗簾拉開
[00:00:45.000 --> 00:00:47.000]  我都覺得很有氣氛
[00:00:47.000 --> 00:00:49.000]  好像天打開了一樣
[00:00:49.000 --> 00:00:51.000]  上帝和我們一起的接近
[00:00:51.000 --> 00:00:53.000]  然後有兩支蠟燭
[00:00:53.000 --> 00:00:55.000]  告訴你還有多少時間
[00:00:55.000 --> 00:01:01.000]  我都覺得在這裡和大家分享是很特別的
[00:01:01.000 --> 00:01:03.000]  今天來到的時候
[00:01:03.000 --> 00:01:08.000]  牧師還給了一個調查表給我看
[00:01:08.000 --> 00:01:11.000]  你知道我們很喜歡看這些調查表
[00:01:11.000 --> 00:01:16.000]  學生怎樣評論老師教得好不好
[00:01:16.000 --> 00:01:18.000]  或者我們出了多少paper
[00:01:18.000 --> 00:01:20.000]  都有很多這些調查表
[00:01:20.000 --> 00:01:22.000]  大家不知道有沒有留意
[00:01:22.000 --> 00:01:24.000]  原來在崇基的禮拜堂裡
[00:01:24.000 --> 00:01:26.000]  都做了一個調查
[00:01:26.000 --> 00:01:30.000]  這個調查說我們當中的會友
[00:01:30.000 --> 00:01:33.000]  那個背景
[00:01:33.000 --> 00:01:36.000]  差不多一半是男一半是女
[00:01:36.000 --> 00:01:39.000]  但是有5%是不知道是男還是女的
[00:01:39.000 --> 00:01:44.000]  另外年輕人都是比較多
[00:01:44.000 --> 00:01:48.000]  當中大學生佔了三分一
[00:01:48.000 --> 00:01:51.000]  碩士生又佔了三分一
[00:01:51.000 --> 00:01:54.000]  博士生佔了10%
