
[00:00:00.000 --> 00:00:09.600]  上星期主要是和大家看到元朝開始之前的時候
[00:00:09.600 --> 00:00:15.680]  在中國或者是在邊緣省份裏面的不同部落
[00:00:15.680 --> 00:00:20.240]  包括蒙古族和維吾爾族他們和基督教的接觸
[00:00:20.240 --> 00:00:24.320]  在那裏給我們看見在元朝正式開國的時候
[00:00:24.320 --> 00:00:31.280]  已經有很多不同部落或者部族的人
[00:00:31.280 --> 00:00:34.240]  已經和基督教有所接觸
[00:00:34.240 --> 00:00:39.680]  而基督教主要是Naztarios這一派的
[00:00:39.680 --> 00:00:42.720]  而他們接觸的過程裏面
[00:00:42.720 --> 00:00:47.680]  展著給我們知道甚至在元朝裏面一些比較出名的人物
[00:00:47.680 --> 00:00:50.320]  那些太后那些王子
[00:00:50.320 --> 00:00:56.800]  他們都是有基督教背景或者基督信仰的背景
[00:00:56.800 --> 00:01:01.200]  而元朝裏面信基督的人就是雅利可溫
[00:01:01.200 --> 00:01:03.440]  可能大家都應該聽過
[00:01:03.440 --> 00:01:09.040]  我們都曾經說過現在要看回元朝的時候的問題是很複雜的
[00:01:09.040 --> 00:01:11.280]  因為是語言的問題
[00:01:11.280 --> 00:01:15.200]  因為當時的蒙古語是沒有字有音的
[00:01:15.200 --> 00:01:18.480]  它是用中文來配音的
[00:01:18.480 --> 00:01:21.200]  配音後要猜一猜它是甚麼
[00:01:21.200 --> 00:01:22.320]  好像漢白理一樣
[00:01:22.320 --> 00:01:25.200]  原來大家都用了漢白蘭這個字
[00:01:25.200 --> 00:01:28.320]  我們原來在說蒙古話我們都不知道
[00:01:28.320 --> 00:01:30.640]  看回那時候的事
[00:01:30.640 --> 00:01:34.560]  那我上次記不記得主耶穌是甚麼字
[00:01:34.560 --> 00:01:36.160]  馬爾哈色
[00:01:36.160 --> 00:01:37.120]  馬耶穌
[00:01:37.120 --> 00:01:41.920]  馬爾哈色原來就是主耶穌
[00:01:41.920 --> 00:01:44.480]  那一會還有一些古靈精怪的字給大家看一下
[00:01:44.480 --> 00:01:46.640]  在元朝的正式裏面的名字
[00:01:46.640 --> 00:01:50.160]  那些跟我們的信仰有關係的
[00:01:50.160 --> 00:01:53.600]  那雅利可溫這個字到現在很多學者都考究
[00:01:53.600 --> 00:01:57.760]  都不能夠一致決定這個字是甚麼意思
[00:01:57.760 --> 00:01:59.920]  可想而知是很複雜的
[00:01:59.920 --> 00:02:04.080]  有一班人就覺得它是用回蒙古的發音
[00:02:04.080 --> 00:02:07.600]  那是說是有福的人
[00:02:07.600 --> 00:02:09.200]  雖然說是蒙古的發音
[00:02:09.200 --> 00:02:10.960]  即是現在的蒙古語
[00:02:10.960 --> 00:02:13.040]  和大約是八百年前
[00:02:13.040 --> 00:02:16.080]  也是有很大的出入的
[00:02:16.080 --> 00:02:20.560]  另外有一班人就覺得要從阿拉伯語那裏來看
[00:02:20.560 --> 00:02:25.520]  說是音譯是指信奉上帝的人
[00:02:25.520 --> 00:02:29.200]  無論如何我們知道答案可能永遠都找不回來
[00:02:29.200 --> 00:02:31.680]  不過他們知道一班是警教
[00:02:31.680 --> 00:02:38.320]  或者是跟Naztolias派系的人而指的名稱
[00:02:38.320 --> 00:02:42.320]  上個星期我們都用了一些時間去看
[00:02:42.320 --> 00:02:45.200]  再早一點的時候的所謂宗教政策
[00:02:45.200 --> 00:02:48.880]  特別是集中在唐朝和以後的宗教政策
[00:02:48.880 --> 00:02:50.240]  給我們看見一個圖畫
[00:02:50.240 --> 00:02:54.240]  就是根本在中國的民間政府結構裏面
[00:02:54.240 --> 00:02:55.840]  到今天為止都是
[00:02:55.840 --> 00:02:58.800]  任何時候都是政府要控制宗教的
[00:02:58.800 --> 00:03:02.560]  和宗教成為政府的一種政治手段
[00:03:02.560 --> 00:03:06.400]  以至到是視乎那個政權它怎樣視宗教
[00:03:06.400 --> 00:03:08.640]  而宗教有沒有所謂生存的餘地
[00:03:08.640 --> 00:03:11.280]  或者它的自由量可以去到哪裏
[00:03:11.280 --> 00:03:15.280]  上次我們看到一些很特別的
[00:03:15.280 --> 00:03:17.360]  例如那時的那些制令
[00:03:17.360 --> 00:03:19.920]  是怎樣控制哪些人可以
[00:03:19.920 --> 00:03:22.720]  甚至是做和尚師傅
