
[00:00:00.000 --> 00:00:04.000]  各位頂姐妹早晨
[00:00:04.000 --> 00:00:07.000]  不好意思發聲
[00:00:07.000 --> 00:00:11.000]  希望可以講到今天的講道
[00:00:11.000 --> 00:00:17.000]  我今早都不知道自己現在講得這麼差
[00:00:17.000 --> 00:00:20.000]  所以希望可以講到
[00:00:20.000 --> 00:00:26.000]  昨天下午晚上就有班頂姐妹來這裡
[00:00:26.000 --> 00:00:30.000]  來研讀《馬拉基書》的時間
[00:00:30.000 --> 00:00:33.000]  今天我就接著在第三章講
[00:00:33.000 --> 00:00:37.000]  或者我略略看看《馬拉基書》的重點
[00:00:37.000 --> 00:00:40.000]  是講我們和神之間的關係
[00:00:40.000 --> 00:00:45.000]  講關於上帝對我們無微不至的愛
[00:00:45.000 --> 00:00:49.000]  《馬拉基書》的背景是因為當時的以色列人
[00:00:49.000 --> 00:00:52.000]  他們從巴比倫後來的波斯
[00:00:52.000 --> 00:00:54.000]  本來是秘魯之地
[00:00:54.000 --> 00:00:58.000]  不過仍然是當時世界列強最強盛
[00:00:58.000 --> 00:01:01.000]  生活最富庶的地方
[00:01:01.000 --> 00:01:03.000]  他們為了愛神的緣故
[00:01:03.000 --> 00:01:07.000]  回到耶路撒冷重建聖殿重建家園
[00:01:07.000 --> 00:01:09.000]  在那裡雖然一股熱誠
[00:01:09.000 --> 00:01:11.000]  但是時間長了
[00:01:11.000 --> 00:01:15.000]  而且經濟上生活上也面對很多難處
[00:01:15.000 --> 00:01:17.000]  被外國欺負
[00:01:17.000 --> 00:01:20.000]  在生活上經濟有很大的壓力
[00:01:20.000 --> 00:01:22.000]  在這樣的情況裡
[00:01:22.000 --> 00:01:24.000]  他們繼續有敬拜上帝
[00:01:24.000 --> 00:01:27.000]  繼續有一個宗教活動
[00:01:27.000 --> 00:01:31.000]  不過心裡卻是對上帝有很多的質疑
[00:01:31.000 --> 00:01:33.000]  上帝第一句話是問他們
[00:01:33.000 --> 00:01:37.000]  我曾對雅各說我愛你們
[00:01:37.000 --> 00:01:39.000]  但是他們的駁嘴
[00:01:39.000 --> 00:01:40.000]  《馬拉基書》的特色
[00:01:40.000 --> 00:01:43.000]  對上帝提出很多的質詢
[00:01:43.000 --> 00:01:44.000]  上帝哪裡愛我們呢?
[00:01:44.000 --> 00:01:47.000]  接著上帝一連串的訊息
[00:01:47.000 --> 00:01:49.000]  今天時間關係到第三章
[00:01:49.000 --> 00:01:52.000]  那個可能是大家很熟悉的
