
[00:00:00.000 --> 00:00:05.000]  今天就會講羅亞
[00:00:05.000 --> 00:00:09.000]  不容易不是不可能
[00:00:09.000 --> 00:00:13.000]  我發現這句話是幫助我很多很多
[00:00:13.000 --> 00:00:17.000]  在這個世界上有很多事真的很難做
[00:00:17.000 --> 00:00:21.000]  我現在住在多倫多一間鎮屋
[00:00:21.000 --> 00:00:24.000]  沒有後院只有前院
[00:00:24.000 --> 00:00:28.000]  我們也買了個小小的燒烤爐
[00:00:28.000 --> 00:00:31.000]  家裡會燒烤
[00:00:31.000 --> 00:00:34.000]  我記得第一次買燒烤爐回來
[00:00:34.000 --> 00:00:36.000]  很多年沒有燒烤了
[00:00:36.000 --> 00:00:38.000]  那次就燒了
[00:00:38.000 --> 00:00:40.000]  沒什麼經驗
[00:00:40.000 --> 00:00:42.000]  不太記得以前怎麼燒
[00:00:42.000 --> 00:00:44.000]  應該是用油擦油
[00:00:44.000 --> 00:00:46.000]  用豬皮擦乾淨
[00:00:46.000 --> 00:00:48.000]  很多東西要噴些什麼off
[00:00:48.000 --> 00:00:51.000]  我又不太懂
[00:00:51.000 --> 00:00:53.000]  我們燒完雞翅
[00:00:53.000 --> 00:00:55.000]  燒完腸
[00:00:55.000 --> 00:00:58.000]  燒完hamburger之後
[00:00:58.000 --> 00:01:02.000]  那個鐵架就很髒
[00:01:02.000 --> 00:01:04.000]  我鐵架不是很大
[00:01:04.000 --> 00:01:06.000]  我給大家看看
[00:01:06.000 --> 00:01:08.000]  看不看得到
[00:01:08.000 --> 00:01:10.000]  看不到
[00:01:10.000 --> 00:01:12.000]  這個就是鐵架
[00:01:12.000 --> 00:01:14.000]  都看得到一點點
[00:01:14.000 --> 00:01:17.000]  燒完之後
[00:01:17.000 --> 00:01:20.000]  黏著雞翅
[00:01:20.000 --> 00:01:22.000]  黏著洞
[00:01:22.000 --> 00:01:25.000]  燒完之後就要散
[00:01:25.000 --> 00:01:27.000]  洗乾淨
[00:01:27.000 --> 00:01:29.000]  我看著我老婆就說
[00:01:29.000 --> 00:01:31.000]  很難
[00:01:31.000 --> 00:01:33.000]  她就用這句
[00:01:33.000 --> 00:01:35.000]  不容易
[00:01:35.000 --> 00:01:37.000]  不過不是不可能
[00:01:37.000 --> 00:01:39.000]  你慢慢散
[00:01:39.000 --> 00:01:42.000]  我真的散了整個週末
[00:01:42.000 --> 00:01:45.000]  我先把可以拿走的皮
[00:01:45.000 --> 00:01:47.000]  慢慢擦
[00:01:47.000 --> 00:01:49.000]  用SOS
[00:01:49.000 --> 00:01:51.000]  用很多不同的方法
[00:01:51.000 --> 00:01:53.000]  像剛才那樣都很乾淨
[00:01:53.000 --> 00:01:55.000]  我這個已經用了很多次
[00:01:55.000 --> 00:01:57.000]  已經買了兩年
[00:01:57.000 --> 00:01:59.000]  我發現每一次燒完後
[00:01:59.000 --> 00:02:02.000]  我發現很多東西很難清理
[00:02:02.000 --> 00:02:04.000]  但我發現很多東西是不容易
[00:02:04.000 --> 00:02:06.000]  但不是不可能
