
[00:00:00.000 --> 00:00:05.000]  親愛的弟兄姊妹,大家好
[00:00:05.000 --> 00:00:12.000]  我們在隔著螢光幕一起聆聽上帝的話語
[00:00:12.000 --> 00:00:16.000]  祈求上帝的話語,特別是今天聖誕的信息
[00:00:16.000 --> 00:00:21.000]  成為我們在疫情當中的鼓勵和前行的動力
[00:00:21.000 --> 00:00:24.000]  我們一起有個祈禱作為開始
[00:00:24.000 --> 00:00:27.000]  慈悲有愛的天父,我們仰望你
[00:00:27.000 --> 00:00:32.000]  因為我們知道人是軟弱、墮落、犯罪
[00:00:32.000 --> 00:00:36.000]  我們有罪性,我們懵然不知
[00:00:36.000 --> 00:00:40.000]  並且我們驕傲,但是一個疫症我們來到
[00:00:40.000 --> 00:00:44.000]  我們也會發現,原來人,原來是不堪一擊
[00:00:44.000 --> 00:00:48.000]  懇求主,你讓我們再次謙卑來到你面前
[00:00:48.000 --> 00:00:53.000]  能夠聆聽你寶貴的話語,讓你的話語毫無難阻
[00:00:53.000 --> 00:00:59.000]  讓我們的生命得著鼓勵和悔改的機會
[00:00:59.000 --> 00:01:02.000]  幫助孩子宣講你的話語清楚
[00:01:02.000 --> 00:01:06.000]  我們同心謙卑領受,禱告是奉耶穌基督命求
[00:01:06.000 --> 00:01:11.000]  就快聖誕節了,所以我今天跟大家去到
[00:01:11.000 --> 00:01:15.000]  分享的信息是關乎聖誕的記號
[00:01:15.000 --> 00:01:21.000]  什麼叫做記號?我想記號這件事
[00:01:21.000 --> 00:01:25.000]  未必是我們能夠想像中的記號
[00:01:25.000 --> 00:01:28.000]  其實記號是他在聖經裡面的意思
[00:01:28.000 --> 00:01:32.000]  是一個隱藏在日常生活當中不起眼
[00:01:32.000 --> 00:01:35.000]  也不顯而易見的事情
[00:01:35.000 --> 00:01:38.000]  但是卻對我們的生命別具意義的東西
[00:01:38.000 --> 00:01:42.000]  或者說聖誕節我們會想起聖誕老人
[00:01:42.000 --> 00:01:46.000]  可能是聖誕節一個比較起眼的代表
[00:01:46.000 --> 00:01:48.000]  但是他對我們日常生活
[00:01:48.000 --> 00:01:52.000]  以至我們的人生其實是沒有什麼大的意義
[00:01:52.000 --> 00:01:54.000]  他可能只不過是一個商品
[00:01:54.000 --> 00:01:58.000]  又或者讓小孩去到開心的一個人物
[00:01:58.000 --> 00:02:00.000]  但是對我們的日常生活
[00:02:00.000 --> 00:02:02.000]  甚至是我們生命的改變
[00:02:02.000 --> 00:02:04.000]  是沒有辦法帶來任何的意義
[00:02:04.000 --> 00:02:08.000]  所以他就算不上真正的記號
[00:02:08.000 --> 00:02:12.000]  又打個譬如就是對一個情人來說
[00:02:12.000 --> 00:02:16.000]  老地方這件事是一個記號
[00:02:16.000 --> 00:02:20.000]  為什麼呢?雖然這個地方只不過是一個很平常的地方
[00:02:20.000 --> 00:02:22.000]  任何人來到這個地方
[00:02:22.000 --> 00:02:26.000]  也不會認得這個是那對情人的記號
[00:02:26.000 --> 00:02:30.000]  就好像我跟我太太
[00:02:30.000 --> 00:02:32.000]  當我們還在拍拖的時候
[00:02:32.000 --> 00:02:36.000]  我還記得我向她求婚的地方
[00:02:36.000 --> 00:02:40.000]  就是樂富摩斯公園某個的長凳
[00:02:40.000 --> 00:02:45.000]  那個長凳我還記得是由左邊數上第一張
[00:02:45.000 --> 00:02:47.000]  又或者是右邊數上第四張
[00:02:47.000 --> 00:02:50.000]  那個長凳就是我們夫妻的記號
[00:02:50.000 --> 00:02:53.000]  我那裡就是向她求婚的了
[00:02:53.000 --> 00:02:55.000]  雖然是一張普通的長凳
[00:02:55.000 --> 00:02:58.000]  但是對我們來說那個是一個記號
[00:02:58.000 --> 00:03:04.000]  因為那個長凳充滿著非常多的記憶
[00:03:04.000 --> 00:03:06.000]  和一個好像神聖的地方
[00:03:06.000 --> 00:03:09.000]  因為是一個求婚的地方
[00:03:09.000 --> 00:03:12.000]  我那個地方真的娶不娶得到老婆都靠著她了
[00:03:12.000 --> 00:03:16.000]  所以你明白老地方是一個平常的地方
[00:03:16.000 --> 00:03:20.000]  但是它對一些人來說是一個非常重要的意義
[00:03:20.000 --> 00:03:23.000]  我們叫這些就叫做記號
[00:03:23.000 --> 00:03:25.000]  對他們的關係
[00:03:25.000 --> 00:03:31.000]  對一些遇見上帝的地方就稱為記號
[00:03:31.000 --> 00:03:34.000]  今天信息是分享聖誕的記號
[00:03:34.000 --> 00:03:38.000]  記號最吊詭的地方
[00:03:38.000 --> 00:03:42.000]  是人眼中是不覺得有什麼特別
[00:03:42.000 --> 00:03:46.000]  但卻對我們的生命是起著重大的意義
[00:03:46.000 --> 00:03:48.000]  這個是一個這樣的特徵
[00:03:48.000 --> 00:03:50.000]  所以我就選擇了三個記號
[00:03:50.000 --> 00:03:55.000]  這三個記號都不是很明顯是有什麼特別
[00:03:55.000 --> 00:03:58.000]  但是對我們獨具慰眼的話
[00:03:58.000 --> 00:04:03.000]  我們就能夠在這些很平凡的記號當中
[00:04:03.000 --> 00:04:06.000]  能夠看上上帝請救的救恩
[00:04:06.000 --> 00:04:10.000]  所以我們今天就有三個記號跟大家分享
[00:04:10.000 --> 00:04:14.000]  一個就是以馬內里主同在的記號
[00:04:14.000 --> 00:04:20.000]  第二個就是東方那三位博士看到的那顆星
[00:04:20.000 --> 00:04:23.000]  第三個的記號就是馬曹的記號
[00:04:23.000 --> 00:04:29.000]  三個都不是一些很特別又或者令你很神奇的東西
[00:04:29.000 --> 00:04:35.000]  但是我們就會看到原來這三個記號對我們的生命有別具的意義
[00:04:35.000 --> 00:04:37.000]  所以事不然遲
[00:04:37.000 --> 00:04:40.000]  我就跟大家分享第一個的記號
[00:04:40.000 --> 00:04:42.000]  就是主同在的記號
[00:04:42.000 --> 00:04:47.000]  記載在《以塞亞書》第七章第十四節那裡
[00:04:47.000 --> 00:04:48.000]  他就這樣說
[00:04:48.000 --> 00:04:49.000]  就說
[00:05:02.000 --> 00:05:06.000]  聖誕節第一個的記號就是主同在的記號
[00:05:06.000 --> 00:05:11.000]  《以塞亞書》就說明主自己要親自給你們
[00:05:11.000 --> 00:05:15.000]  也就是給當時以塞亞先知同代的百姓
[00:05:15.000 --> 00:05:20.000]  甚至他所服侍的君王就是阿哈斯王一個的記號
[00:05:20.000 --> 00:05:24.000]  "少頭"這個字原文就是解作記號
[00:05:24.000 --> 00:05:28.000]  而這個記號是主親自去道比的
[00:05:28.000 --> 00:05:32.000]  前文是說什麼呢?前文在《以塞亞書》的第七章
[00:05:32.000 --> 00:05:39.000]  就要求阿哈斯希望他去尋求一個的"少頭"
[00:05:39.000 --> 00:05:44.000]  因為有兩國的聯軍去打算攻打那個的猶大國
[00:05:44.000 --> 00:05:50.000]  那兩個聯軍就是北國的以色列和阿蘭聯手一起攻打猶大國
[00:05:50.000 --> 00:05:55.000]  當時阿哈斯就很希望有一個叫做請救在他的國家
[00:05:55.000 --> 00:05:57.000]  臨到他的國家身上
[00:05:57.000 --> 00:06:00.000]  他心裏面大家聽到阿哈斯這個名字
[00:06:00.000 --> 00:06:04.000]  大家都知道聖經裏面每次叫阿哈都是奸的
[00:06:04.000 --> 00:06:07.000]  阿哈謝、阿哈斯、阿哈全部都是奸
