
[00:00:00.000 --> 00:00:06.000]  親愛的天父,多謝你的恩典
[00:00:06.000 --> 00:00:11.400]  在主的裡面,我們去到每一個不同的地方
[00:00:11.400 --> 00:00:15.400]  我們都可以感受到一個家
[00:00:15.400 --> 00:00:19.800]  天父,這個家是要我們眾人一起努力
[00:00:19.800 --> 00:00:23.200]  我們願望恩福的家都是一樣
[00:00:23.200 --> 00:00:26.200]  以致每一個來到這個家裡面
[00:00:26.200 --> 00:00:28.800]  我們不單感受到是家
[00:00:28.800 --> 00:00:33.800]  而實際上我們又活出這個家的感覺
[00:00:33.800 --> 00:00:35.400]  求你聽我們禱告
[00:00:35.400 --> 00:00:37.200]  因待下面的時間
[00:00:37.200 --> 00:00:40.800]  讓你的說話直接進到我們的內心
[00:00:40.800 --> 00:00:48.800]  幫助我們身心意念各方面都因你的話改變
[00:00:48.800 --> 00:00:52.400]  奉耶穌基督的名禱
[00:00:52.400 --> 00:00:55.600]  今天和大家來講
[00:00:55.600 --> 00:00:59.000]  一個發生在二千五百多年前
[00:00:59.000 --> 00:01:00.400]  但是我們又發覺到
[00:01:00.400 --> 00:01:03.600]  二千五百多年前發生的事情
[00:01:03.600 --> 00:01:05.600]  一直到現在為止
[00:01:05.600 --> 00:01:08.800]  沒有改變過
[00:01:08.800 --> 00:01:11.200]  歷史告訴我們
[00:01:11.200 --> 00:01:16.600]  人是繼續不斷重複古人所犯的錯
[00:01:16.600 --> 00:01:19.200]  同不同意嗎?頂姐妹
[00:01:19.200 --> 00:01:22.200]  有幾個人同意的?可以舉手嗎?
[00:01:22.200 --> 00:01:26.600]  我記得我讀中國歷史的時候
[00:01:26.600 --> 00:01:27.600]  讀來讀去
[00:01:27.600 --> 00:01:29.000]  你讀了一個朝代
[00:01:29.000 --> 00:01:32.600]  你差不多每一個朝代都是那些人
[00:01:32.600 --> 00:01:34.800]  昏君
[00:01:34.800 --> 00:01:37.000]  用了用臣
[00:01:37.000 --> 00:01:39.000]  宦官當政
[00:01:39.000 --> 00:01:42.200]  然後民亂四起
[00:01:42.200 --> 00:01:45.600]  接著就推翻朝代
[00:01:45.600 --> 00:01:46.600]  推翻之後
[00:01:46.600 --> 00:01:47.600]  沒多久之後
[00:01:47.600 --> 00:01:50.000]  繼續又有一個昏君
[00:01:50.000 --> 00:01:52.200]  然後又是用臣
[00:01:52.200 --> 00:01:54.400]  然後忠臣就被人殺了
[00:01:54.400 --> 00:01:56.400]  被人打壓了
[00:01:56.400 --> 00:01:58.800]  然後宦官當道
[00:01:58.800 --> 00:02:03.600]  繼續下來的就是暴亂四起
[00:02:03.600 --> 00:02:05.000]  接著又推翻
[00:02:05.000 --> 00:02:08.800]  整個中國歷史就是繼續不斷循環不息
[00:02:08.800 --> 00:02:11.000]  而我們看回聖經的時候
[00:02:11.000 --> 00:02:13.800]  原來聖經都是這樣的
[00:02:13.800 --> 00:02:16.000]  是哪個哪個皇帝行
[00:02:16.000 --> 00:02:19.000]  又說眼中看為惡的事
[00:02:19.000 --> 00:02:23.000]  然後就令到民不聊生
[00:02:23.000 --> 00:02:24.400]  是因為這樣的緣故
[00:02:24.400 --> 00:02:27.200]  這個皇帝就死了
[00:02:27.200 --> 00:02:29.000]  死了之後新的上來
[00:02:29.000 --> 00:02:30.400]  開頭都不錯的
[00:02:30.400 --> 00:02:34.600]  接著又行眼中看為惡的事
[00:02:34.600 --> 00:02:37.600]  接著又重複同樣的歷史
[00:02:37.600 --> 00:02:39.400]  一而再再而三
[00:02:39.400 --> 00:02:41.800]  史詩記給我們看見
[00:02:41.800 --> 00:02:45.800]  歷史的循環繼續不斷
[00:02:45.800 --> 00:02:48.400]  第一是因為人的罪
[00:02:48.400 --> 00:02:50.400]  接著就是神的管教
[00:02:50.400 --> 00:02:53.400]  神的管教就是人在呼求神
[00:02:53.400 --> 00:02:55.000]  一呼求的時候
[00:02:55.000 --> 00:02:57.800]  神就在答應人的需要
[00:02:57.800 --> 00:03:00.000]  然後興起事事救他們
[00:03:00.000 --> 00:03:01.800]  然後一救了之後
[00:03:01.800 --> 00:03:03.000]  人又犯罪
[00:03:03.000 --> 00:03:05.800]  繼續不斷循環不息
[00:03:05.800 --> 00:03:07.600]  就是在做同樣的事
[00:03:07.600 --> 00:03:09.600]  我們看回今天的香港
[00:03:09.600 --> 00:03:11.600]  電話騙案
[00:03:11.600 --> 00:03:15.200]  經常新聞都有報導
