
[00:00:00.000 --> 00:00:06.400]  今日來到我們講題「突破人生的十種祈求」
[00:00:06.400 --> 00:00:09.600]  第八 懂得知足
[00:00:09.600 --> 00:00:14.600]  為何說懂得知足會令我們的人生有突破呢?
[00:00:14.600 --> 00:00:20.000]  我自己認為當一個知足和一個不懂得知足的人
[00:00:20.000 --> 00:00:23.200]  你整個人生的取態
[00:00:23.200 --> 00:00:25.600]  你整個人生所想的東西
[00:00:25.600 --> 00:00:32.000]  你對自己、對人、對神、對教會、對工作
[00:00:32.000 --> 00:00:36.600]  可以是完全兩碼子的事情
[00:00:36.600 --> 00:00:38.000]  甚麼叫知足呢?
[00:00:38.000 --> 00:00:39.400]  可能有很多方面
[00:00:39.400 --> 00:00:43.600]  你知不知足你有一間屋?
[00:00:43.600 --> 00:00:48.600]  你知不知足你有兩個小朋友?
[00:00:48.600 --> 00:00:52.200]  你知不知足你有三輛車?
[00:00:52.200 --> 00:00:56.200]  你知不知足你有四部相機?
[00:00:56.200 --> 00:00:59.200]  我不知道大家知不知足
[00:00:59.200 --> 00:01:02.200]  今日很想集中講一個字
[00:01:02.200 --> 00:01:05.200]  就是一個「錢」字
[00:01:05.200 --> 00:01:08.600]  講錢
[00:01:08.600 --> 00:01:10.600]  那些是加幣
[00:01:10.600 --> 00:01:14.000]  錢是否一件好東西?
[00:01:14.000 --> 00:01:15.400]  有人點頭很大力
[00:01:15.400 --> 00:01:17.000]  錢是好的
[00:01:17.000 --> 00:01:18.400]  但有人說不是
[00:01:18.400 --> 00:01:20.200]  錢是不好的
[00:01:20.200 --> 00:01:23.000]  可能你心裏立即想
[00:01:23.000 --> 00:01:25.600]  錢不是萬能
[00:01:25.600 --> 00:01:29.800]  但沒有錢就萬萬不能
[00:01:29.800 --> 00:01:31.400]  是否這樣?
[00:01:31.400 --> 00:01:33.800]  但想深一層
[00:01:33.800 --> 00:01:36.200]  以前的人有沒有錢?
[00:01:36.200 --> 00:01:37.600]  甚麼意思呢?
[00:01:37.600 --> 00:01:38.800]  可能你現在立即想
[00:01:38.800 --> 00:01:41.400]  女前度沒有錢?
[00:01:41.400 --> 00:01:43.400]  沒有錢有燈?
[00:01:43.400 --> 00:01:45.400]  沒有錢你的車會動?
[00:01:45.400 --> 00:01:46.400]  不用入油?
[00:01:46.400 --> 00:01:48.200]  沒有錢不行的
[00:01:48.200 --> 00:01:50.000]  但剛才我透露了一點
[00:01:50.000 --> 00:01:53.400]  以前的人有沒有錢?
