
[00:00:00.000 --> 00:00:06.000]  今晚真是一個很難得的研討機會
[00:00:06.000 --> 00:00:09.000]  今晚我們多些機會交流
[00:00:09.000 --> 00:00:12.000]  不要只在我這裏說
[00:00:12.000 --> 00:00:15.000]  多謝陳家富博士
[00:00:15.000 --> 00:00:17.000]  我們客氣說話不說了
[00:00:17.000 --> 00:00:21.000]  家富是新一代的很有潛質的學者
[00:00:21.000 --> 00:00:31.000]  至於我為何選擇羅馬書釋義的第二版來說
[00:00:31.000 --> 00:00:37.000]  當然是漢語叫我講的
[00:00:37.000 --> 00:00:41.000]  如果真的要我自己喝一杯
[00:00:41.000 --> 00:00:42.000]  我未必會選這本
[00:00:42.000 --> 00:00:44.000]  但對於我來說是一個挑戰
[00:00:44.000 --> 00:00:49.000]  因為巴特的神學對我來說永遠都是一個挑戰
[00:00:49.000 --> 00:00:51.000]  我曾經在一些場合提過
[00:00:51.000 --> 00:00:55.000]  我最喜歡的神學家是田納克
[00:00:55.000 --> 00:00:59.000]  最不喜歡的神學家就是巴特
[00:00:59.000 --> 00:01:01.000]  我是最不喜歡他的
[00:01:01.000 --> 00:01:05.000]  我之所以能夠拿他來說
[00:01:05.000 --> 00:01:08.000]  可能因為家富和其他人知道
[00:01:08.000 --> 00:01:12.000]  我在牛津的時候寫博士論文有一半是寫巴特的
[00:01:12.000 --> 00:01:15.000]  那一半是用來練習自己的
[00:01:15.000 --> 00:01:19.000]  看看自己最不喜歡的神學家
[00:01:19.000 --> 00:01:23.000]  能不能寫到別人認為可以接受的客觀
[00:01:23.000 --> 00:01:26.000]  所以我真的有研究過巴特
[00:01:26.000 --> 00:01:27.000]  也很深刻研究他
[00:01:27.000 --> 00:01:30.000]  但研究完之後我還是不喜歡他
[00:01:30.000 --> 00:01:37.000]  但到近年我對他有更深刻的理解和喜歡
[00:01:37.000 --> 00:01:41.000]  所以我都是欣然接受這個邀請
[00:01:41.000 --> 00:01:43.000]  我就不說這些廢話了
[00:01:43.000 --> 00:01:46.000]  遲些大家有興趣問一些問題的時候
[00:01:46.000 --> 00:01:48.000]  我們再說一些比較個人的東西
[00:01:48.000 --> 00:01:51.000]  我想我們有兩節的時間
[00:01:51.000 --> 00:01:54.000]  第一節我想跟大家說一些背景
[00:01:54.000 --> 00:01:58.000]  以及為什麼這本書這麼重要
[00:01:58.000 --> 00:02:02.000]  剛才時代論壇的記者問我
[00:02:02.000 --> 00:02:05.000]  怎麼可以了解這麼厚的書
[00:02:05.000 --> 00:02:07.000]  拿到重了
[00:02:07.000 --> 00:02:10.000]  怎麼可以去享受欣賞呢
[00:02:10.000 --> 00:02:12.000]  享受就很難了
[00:02:12.000 --> 00:02:14.000]  但是你能不能去欣賞呢
[00:02:14.000 --> 00:02:15.000]  可以去欣賞的
[00:02:15.000 --> 00:02:17.000]  大概有三個層次
[00:02:17.000 --> 00:02:20.000]  今天我只是做第一個和第二個多一點
[00:02:20.000 --> 00:02:21.000]  第三個都有做
[00:02:21.000 --> 00:02:23.000]  第一個層次就是這本書
[00:02:23.000 --> 00:02:26.000]  這本作品在他的時代
[00:02:26.000 --> 00:02:29.000]  歷史上的重要性一定要知道
[00:02:29.000 --> 00:02:31.000]  Historical Significance
[00:02:31.000 --> 00:02:34.000]  當代1922年寫的時候
[00:02:34.000 --> 00:02:35.000]  1922年的時候
[00:02:35.000 --> 00:02:37.000]  為什麼這本書成為這麼重要的一本書
[00:02:37.000 --> 00:02:39.000]  在當時的背景裏面
[00:02:39.000 --> 00:02:40.000]  所以一定要研究的
[00:02:40.000 --> 00:02:44.000]  第二就是如果那個重要性能不能夠將它
[00:02:44.000 --> 00:02:48.000]  我們叫做翻譯成為當下21世紀香港的重要性
[00:02:48.000 --> 00:02:50.000]  這個是一個功夫
[00:02:50.000 --> 00:02:51.000]  有的可以翻譯得到
[00:02:51.000 --> 00:02:52.000]  有的翻譯不了
[00:02:52.000 --> 00:02:54.000]  翻譯到的意思就是說
[00:02:54.000 --> 00:02:57.000]  那裏面一些東西可以將現今的問題
[00:02:57.000 --> 00:02:59.000]  都可以拿它的靈感
[00:02:59.000 --> 00:03:01.000]  超過100年的時間
[00:03:01.000 --> 00:03:03.000]  融入在今天的我們的思想裏面
[00:03:03.000 --> 00:03:04.000]  有的不一定可以
[00:03:04.000 --> 00:03:05.000]  我告訴你
[00:03:05.000 --> 00:03:06.000]  有的歷史文獻
[00:03:06.000 --> 00:03:08.000]  只是有Historical Significance
[00:03:08.000 --> 00:03:11.000]  沒有Contemporary Significance
[00:03:11.000 --> 00:03:12.000]  但是你說這樣就沒有用了
[00:03:12.000 --> 00:03:13.000]  不是的
[00:03:13.000 --> 00:03:14.000]  一樣東西都不是說要今天
[00:03:14.000 --> 00:03:16.000]  立刻可以拿來買到菜才是有用的東西
[00:03:16.000 --> 00:03:17.000]  是吧
[00:03:17.000 --> 00:03:20.000]  那歷史上是一個問題就是一個問題
[00:03:20.000 --> 00:03:24.000]  它在歷史的人類的歷史文明裏面產生過一個震撼
[00:03:24.000 --> 00:03:26.000]  扭轉了人類的文明
[00:03:26.000 --> 00:03:27.000]  或者在某一個神學的思想
[00:03:27.000 --> 00:03:29.000]  只是這件事本身
[00:03:29.000 --> 00:03:32.000]  都應該有它一個所謂的梗古上傳的意義
[00:03:32.000 --> 00:03:33.000]  那麼
[00:03:33.000 --> 00:03:37.000]  巴特這本書我相信兩方面的意思都有
[00:03:37.000 --> 00:03:39.000]  當然第一方面永遠都是更多的
[00:03:39.000 --> 00:03:41.000]  歷史上的作用當然是更多
[00:03:41.000 --> 00:03:42.000]  第三個層次
[00:03:42.000 --> 00:03:44.000]  我們欣賞一本書的時候
[00:03:44.000 --> 00:03:45.000]  就是透過這本書
[00:03:45.000 --> 00:03:51.000]  去體會這個作者的心靈世界的偉大美麗
[00:03:51.000 --> 00:03:52.000]  那種的靈性
[00:03:52.000 --> 00:03:54.000]  那種的激情
[00:03:54.000 --> 00:03:56.000]  那種思考的能力
[00:03:56.000 --> 00:03:58.000]  這些對於你來說對於我來說
[00:03:58.000 --> 00:04:00.000]  都是很有享受價值的
[00:04:00.000 --> 00:04:02.000]  因為他是一個人來的
[00:04:02.000 --> 00:04:03.000]  他是一個很偉大的人
[00:04:03.000 --> 00:04:04.000]  無論你喜歡不喜歡他都好
[00:04:04.000 --> 00:04:06.000]  都是一個很偉大的人
[00:04:06.000 --> 00:04:08.000]  有一個這麼偉大的心靈能夠看他的作品
[00:04:08.000 --> 00:04:11.000]  進入他的偉大心靈和他貼近一下
[00:04:11.000 --> 00:04:14.000]  可以說在一個抽象的層次裡面
[00:04:14.000 --> 00:04:16.000]  跟他喝一杯茶、聊聊天
[00:04:16.000 --> 00:04:18.000]  跟他過一朝
[00:04:18.000 --> 00:04:21.000]  這個本身對人生來說也是一種痛快
[00:04:21.000 --> 00:04:25.000]  當然這幾種痛快對於很多人來說未必是痛快
[00:04:25.000 --> 00:04:28.000]  所以我們用我想是楊熙男的字眼來的
[00:04:28.000 --> 00:04:31.000]  什麼借絕敷淺之類的
[00:04:31.000 --> 00:04:33.000]  就是要想做這些
[00:04:33.000 --> 00:04:36.000]  借絕敷淺、重讀經典
[00:04:36.000 --> 00:04:37.000]  我們這個
[00:04:37.000 --> 00:04:39.000]  我也覺得很詫異
[00:04:39.000 --> 00:04:40.000]  有這麼多人走來聽
[00:04:40.000 --> 00:04:43.000]  因為我相信總是有這種人的
[00:04:43.000 --> 00:04:45.000]  總是有這種人
[00:04:45.000 --> 00:04:47.000]  我們不是說你罕有
[00:04:47.000 --> 00:04:48.000]  我記得是很重要的
[00:04:48.000 --> 00:04:50.000]  因為現在是一個敷淺的時代
[00:04:50.000 --> 00:04:55.000]  其實敷淺是好事來的對於某些人來說
[00:04:55.000 --> 00:04:58.000]  因為這個叫趁低入貨
[00:04:58.000 --> 00:04:59.000]  就是到處都這麼敷淺
[00:04:59.000 --> 00:05:01.000]  你稍為正常一點正氣一點
[00:05:01.000 --> 00:05:02.000]  你已經發圍了
[00:05:02.000 --> 00:05:05.000]  所以大家做一些少少不敷淺的人
[00:05:05.000 --> 00:05:07.000]  比較以前好像巴特時代
[00:05:07.000 --> 00:05:09.000]  德國裏面每個都這麼厲害
[00:05:09.000 --> 00:05:10.000]  你要再發圍的時候
[00:05:10.000 --> 00:05:11.000]  有很長時間都未輪到你
[00:05:11.000 --> 00:05:13.000]  現在你想發圍
[00:05:13.000 --> 00:05:14.000]  多幾分努力一下
[00:05:14.000 --> 00:05:17.000]  你就可以起碼思考上、意見上
[00:05:17.000 --> 00:05:21.000]  在這種人生體會上能夠發圍
[00:05:21.000 --> 00:05:23.000]  所以我相信這是一個敷淺的時代
[00:05:23.000 --> 00:05:25.000]  一個很好的投資機會
[00:05:25.000 --> 00:05:26.000]  好
[00:05:26.000 --> 00:05:28.000]  我們說回巴特時代
[00:05:28.000 --> 00:05:30.000]  不說這個時代
[00:05:30.000 --> 00:05:35.000]  我想如果要了解巴特這本書的重要性
[00:05:35.000 --> 00:05:40.000]  1922年它出版的時候是怎樣的呢
[00:05:40.000 --> 00:05:41.000]  我們可以這樣說
[00:05:41.000 --> 00:05:43.000]  比較嚴重一點來說
[00:05:43.000 --> 00:05:46.000]  在西方文明的發展裏面
[00:05:46.000 --> 00:05:49.000]  自從十六世紀這個文藝復興
[00:05:49.000 --> 00:05:51.000]  大家記得米開朗、戈基羅
[00:05:51.000 --> 00:05:54.000]  我的中文翻譯好像很蹺蹊
[00:05:54.000 --> 00:05:55.000]  麥格蘭吉羅
[00:05:55.000 --> 00:05:56.000]  他那個的《跳黑》
[00:05:56.000 --> 00:05:59.000]  達文西、戴維契、他的畫
[00:05:59.000 --> 00:06:02.000]  打開了這個文藝復興
[00:06:02.000 --> 00:06:07.000]  可以說是重新發現人的內在美麗
[00:06:07.000 --> 00:06:09.000]  大自然內在的美麗
[00:06:09.000 --> 00:06:12.000]  intrinsic beauty和value
[00:06:12.000 --> 00:06:17.000]  文藝復興產生了一種美和追尋的時候
[00:06:17.000 --> 00:06:20.000]  產生一直發展到十七、十八世紀
[00:06:20.000 --> 00:06:22.000]  就產生了啟蒙運動
[00:06:22.000 --> 00:06:26.000]  啟蒙運動是發覺不單止人本身有他的美
[00:06:26.000 --> 00:06:32.000]  並且人的思考、理性能夠終極給真理有一個判斷
[00:06:32.000 --> 00:06:36.000]  於是很清楚的人就把他最終極的價值
[00:06:36.000 --> 00:06:38.000]  從天上拉到人上
[00:06:38.000 --> 00:06:41.000]  上帝不再是最終極的一個標準
[00:06:41.000 --> 00:06:43.000]  人的理性是最終極的一個標準
[00:06:43.000 --> 00:06:46.000]  到十九世紀的時候
[00:06:46.000 --> 00:06:48.000]  加上個人主義
[00:06:48.000 --> 00:06:50.000]  也是達爾文的進化輪廓
[00:06:50.000 --> 00:06:54.000]  產生出一種非常樂觀的看法的時候
[00:06:54.000 --> 00:06:58.000]  人類可以說一直到十九世紀到二十世紀初的時候
[00:06:58.000 --> 00:07:01.000]  可以從第十六世紀到現在是樂觀的
[00:07:01.000 --> 00:07:02.000]  對人是樂觀的
[00:07:02.000 --> 00:07:03.000]  人的前途樂觀
[00:07:03.000 --> 00:07:06.000]  人的社會、人的將來的世界是樂觀的
[00:07:06.000 --> 00:07:08.000]  有科技的發展
[00:07:08.000 --> 00:07:09.000]  科技可以解決問題
[00:07:09.000 --> 00:07:11.000]  然後改善人的生活
[00:07:11.000 --> 00:07:13.000]  最後到二十世紀初的時候
[00:07:13.000 --> 00:07:18.000]  可以說是到一個人類對自己、對世界、對歷史
[00:07:18.000 --> 00:07:20.000]  是最樂觀的一個高峰點
[00:07:20.000 --> 00:07:23.000]  然後一個世界大戰
[00:07:23.000 --> 00:07:24.000]  第一次世界大戰
[00:07:24.000 --> 00:07:26.000]  把這種夢全部打碎了
[00:07:26.000 --> 00:07:28.000]  那時候如果要畫一條線的話
[00:07:28.000 --> 00:07:31.000]  人類的樂觀線在那裡去到高峰
[00:07:31.000 --> 00:07:35.000]  接著就在第一次世界大戰之後
[00:07:35.000 --> 00:07:36.000]  一直走下坡
[00:07:36.000 --> 00:07:38.000]  走到現在還是走下坡
[00:07:38.000 --> 00:07:39.000]  越來越懷疑
[00:07:39.000 --> 00:07:41.000]  究竟人可以知道多少東西
[00:07:41.000 --> 00:07:44.000]  越來越懷疑人類的世界和將來
[00:07:44.000 --> 00:07:47.000]  是不是好像以往想得那麼理想
[00:07:47.000 --> 00:07:49.000]  所以這個Brave New World
[00:07:49.000 --> 00:07:52.000]  一個偉大的勇氣的新世界
[00:07:52.000 --> 00:07:53.000]  已經開始成為夢幻
[00:07:53.000 --> 00:07:55.000]  大家知道在後現代的思考裏面
[00:07:55.000 --> 00:07:56.000]  在思潮當中
[00:07:56.000 --> 00:07:57.000]  到現在來講
[00:07:57.000 --> 00:07:58.000]  一直發展下去的時候
[00:07:58.000 --> 00:08:01.000]  這種思潮基本上是幾悲觀的思潮
[00:08:01.000 --> 00:08:04.000]  反映了可以說是一個走勢裏面
[00:08:04.000 --> 00:08:05.000]  一直是向下走
[00:08:05.000 --> 00:08:07.000]  不知道有什麼時候再上去
[00:08:07.000 --> 00:08:08.000]  這就好像故事一樣
[00:08:08.000 --> 00:08:12.000]  香港那條線就是97年的金庸風暴
[00:08:12.000 --> 00:08:13.000]  一樣的
[00:08:13.000 --> 00:08:17.000]  巴特這本作品就剛剛站在最高峰
[00:08:17.000 --> 00:08:19.000]  和走下坡的中間
[00:08:19.000 --> 00:08:21.000]  所以你明白在歷史裏
[00:08:21.000 --> 00:08:25.000]  可以說是整個西方文化思考的高峰
[00:08:25.000 --> 00:08:26.000]  和轉折點的時候
[00:08:26.000 --> 00:08:28.000]  巴特就把這本書出來了
[00:08:28.000 --> 00:08:29.000]  當然這一個轉折點
[00:08:29.000 --> 00:08:31.000]  不是因為巴特這本書
[00:08:31.000 --> 00:08:33.000]  而產生整個世界的文明
[00:08:33.000 --> 00:08:36.000]  但是巴特這本書肯定在神學界裏面
[00:08:36.000 --> 00:08:38.000]  正如當時大家都很熟悉的
[00:08:38.000 --> 00:08:39.000]  一個描述就是說
[00:08:39.000 --> 00:08:40.000]  這個是一個炸彈來的
[00:08:40.000 --> 00:08:44.000]  丟進神學的遊樂場裏面
[00:08:44.000 --> 00:08:45.000]  砸開了
[00:08:45.000 --> 00:08:48.000]  大家都真的可以說是
[00:08:48.000 --> 00:08:51.000]  扭開了新的神學的方向
[00:08:51.000 --> 00:08:53.000]  從這個角度來說
[00:08:53.000 --> 00:08:55.000]  這本書無論你喜歡不喜歡
[00:08:55.000 --> 00:08:56.000]  剛剛說的
[00:08:56.000 --> 00:08:57.000]  你有沒有看過
[00:08:57.000 --> 00:08:58.000]  你都不能夠忽視它
[00:08:58.000 --> 00:09:00.000]  通常我們說這個書
[00:09:00.000 --> 00:09:01.000]  這個作品
[00:09:01.000 --> 00:09:02.000]  有些人物
[00:09:02.000 --> 00:09:04.000]  你不喜歡都不可以通過
[00:09:04.000 --> 00:09:06.000]  你不可以繞過它
[00:09:06.000 --> 00:09:07.000]  當它沒有存在
[00:09:07.000 --> 00:09:09.000]  你不喜歡都要踩它幾腳才走過去
[00:09:09.000 --> 00:09:10.000]  你明白嗎?
[00:09:10.000 --> 00:09:12.000]  你不能夠說當它沒有存在
[00:09:12.000 --> 00:09:13.000]  不行
[00:09:13.000 --> 00:09:14.000]  巴特這本書肯定就是其中一本
[00:09:14.000 --> 00:09:16.000]  你不能夠當它沒有存在
[00:09:16.000 --> 00:09:17.000]  你憑著看了一部分
[00:09:17.000 --> 00:09:18.000]  你不喜歡
[00:09:18.000 --> 00:09:19.000]  今天你聽完之後
[00:09:19.000 --> 00:09:20.000]  你覺得很不喜歡
[00:09:20.000 --> 00:09:21.000]  更加不喜歡
[00:09:21.000 --> 00:09:22.000]  沒問題
[00:09:22.000 --> 00:09:23.000]  但起碼對你有幫助
[00:09:23.000 --> 00:09:25.000]  因為你已經超越了它
[00:09:25.000 --> 00:09:28.000]  你來之前你根本都沒有走過它
[00:09:28.000 --> 00:09:29.000]  那你又不算數
[00:09:29.000 --> 00:09:30.000]  你還沒算數
[00:09:30.000 --> 00:09:31.000]  所以我們說
[00:09:31.000 --> 00:09:32.000]  如果這樣的時候
[00:09:32.000 --> 00:09:33.000]  都值得大家去思想
[00:09:33.000 --> 00:09:34.000]  去欣賞這本書
[00:09:34.000 --> 00:09:35.000]  好了
[00:09:35.000 --> 00:09:38.000]  究竟巴特這本書的重要性在哪裏呢?
[00:09:38.000 --> 00:09:40.000]  我們可以說巴特這本書
[00:09:40.000 --> 00:09:43.000]  透過它對羅馬書的釋義
[00:09:43.000 --> 00:09:45.000]  我覺得這個中文的翻譯真的好
[00:09:45.000 --> 00:09:46.000]  它不是注釋書
[00:09:46.000 --> 00:09:49.000]  如果你從注釋書的立場去看
[00:09:49.000 --> 00:09:52.000]  巴特這本羅馬書的釋義的話
[00:09:52.000 --> 00:09:54.000]  你就會很失望
[00:09:54.000 --> 00:09:56.000]  因為它不是一本嚴格的注釋書
[00:09:56.000 --> 00:09:58.000]  尤其是我在牛津的時候
[00:09:58.000 --> 00:09:59.000]  初次碰見這本書
[00:09:59.000 --> 00:10:01.000]  努力去讀它的時候
[00:10:01.000 --> 00:10:02.000]  我就覺得很不喜歡
[00:10:02.000 --> 00:10:03.000]  其中一樣東西
[00:10:03.000 --> 00:10:06.000]  因為我都真的是忠臣
[00:10:06.000 --> 00:10:09.000]  就是忠臣馮欽坤博士名門正派
[00:10:09.000 --> 00:10:12.000]  教出來用欺騙讀聖經的人
[00:10:12.000 --> 00:10:13.000]  是不是?
[00:10:13.000 --> 00:10:15.000]  那時候看這本書都不是道的
[00:10:15.000 --> 00:10:16.000]  你真的
[00:10:16.000 --> 00:10:17.000]  港道
[00:10:17.000 --> 00:10:18.000]  不是港道不對
