
[00:00:00.000 --> 00:00:08.000]  去年我們開始了一個智慧書的系列
[00:00:08.000 --> 00:00:09.280]  就是《針研》
[00:00:09.280 --> 00:00:13.040]  今年我們又會講另外一部智慧書
[00:00:13.040 --> 00:00:14.560]  就是《牙歌》
[00:00:14.560 --> 00:00:16.560]  又叫做《歌中之歌》
[00:00:16.560 --> 00:00:20.240]  我們一起來看看這部書的書名
[00:00:20.240 --> 00:00:24.160]  無論是希臘文七十時日本
[00:00:24.160 --> 00:00:25.840]  或者是拉丁文
[00:00:25.840 --> 00:00:30.320]  都是跟著希伯來文來取材這部書名
[00:00:30.320 --> 00:00:35.760]  就是用《牙歌》第一章第一節的經文
[00:00:35.760 --> 00:00:39.120]  就是說《牙歌》是歌中之歌
[00:00:39.120 --> 00:00:44.960]  很可惜中文的版本是將所羅門的歌放在前面
[00:00:44.960 --> 00:00:49.680]  說是所羅門的歌然後是歌中的牙歌
[00:00:49.680 --> 00:00:57.040]  其實原文希伯來文是將歌中之歌放在前面
[00:00:57.040 --> 00:01:02.240]  而所有的版本無論是希臘文的七十時日本
[00:01:02.240 --> 00:01:04.720]  拉丁文或者是希伯來文
[00:01:04.720 --> 00:01:08.240]  都是說歌中之歌開始
[00:01:08.240 --> 00:01:11.440]  尤其是希伯來文是沒有介詞
[00:01:11.440 --> 00:01:15.280]  所以英文說song of songs
[00:01:15.280 --> 00:01:17.840]  中文說歌中之歌
[00:01:17.840 --> 00:01:21.200]  但希伯來文非常簡潔
[00:01:21.200 --> 00:01:24.720]  就是歌歌兩個字
[00:01:24.720 --> 00:01:27.440]  將兩個歌字重覆出現
[00:01:27.440 --> 00:01:30.880]  這就變成了《牙歌》的書名
[00:01:30.880 --> 00:01:32.880]  說起來
[00:01:32.880 --> 00:01:38.000]  其實希伯來文很多時候都是用兩個名詞放在一起
[00:01:38.000 --> 00:01:40.480]  讓我們看到是最好的
[00:01:40.480 --> 00:01:43.120]  例如King of kings
[00:01:43.120 --> 00:01:44.720]  王中之王
[00:01:44.720 --> 00:01:46.000]  這就是耶穌基督
[00:01:46.000 --> 00:01:48.000]  是最尊貴的王
[00:01:48.000 --> 00:01:49.760]  例如至聖所
[00:01:49.760 --> 00:01:51.760]  就是holy of holies
[00:01:51.760 --> 00:01:53.760]  聖潔中的聖潔
[00:01:53.760 --> 00:01:55.760]  就是最聖潔的
[00:01:55.760 --> 00:01:57.760]  所以今天說這部書《牙歌》
[00:01:57.760 --> 00:01:59.760]  就是song of songs
[00:01:59.760 --> 00:02:01.200]  歌中之歌
[00:02:01.200 --> 00:02:04.240]  是所有詩歌當中最好的
[00:02:04.240 --> 00:02:08.080]  《牙歌》的成書日期
[00:02:08.080 --> 00:02:13.360]  應該在公元971年至到965年
[00:02:13.360 --> 00:02:15.360]  是公元前
[00:02:15.360 --> 00:02:18.640]  應該是在所羅門王在位的時候
[00:02:18.640 --> 00:02:22.000]  在《牙歌》中有五次提到
[00:02:22.000 --> 00:02:24.000]  是所羅門王在位的時候
[00:02:24.000 --> 00:02:26.000]  《牙歌》的一章四節
[00:02:26.000 --> 00:02:27.520]  一章十二節
[00:02:27.520 --> 00:02:29.040]  三章九節
[00:02:29.040 --> 00:02:30.400]  三章十一節
[00:02:30.400 --> 00:02:33.520]  和七章五節都是這樣說
[00:02:33.520 --> 00:02:36.880]  我們知道所羅門王在位的時候
[00:02:36.880 --> 00:02:39.760]  正是南北國還沒有分裂
[00:02:39.760 --> 00:02:41.760]  所羅門王死了之後
[00:02:41.760 --> 00:02:45.360]  以色列就有南國和北國的分裂
[00:02:45.360 --> 00:02:48.160]  所以我們看到在書中
[00:02:48.160 --> 00:02:50.480]  那位女主角舒拉蜜
[00:02:50.480 --> 00:02:55.680]  在《牙歌》的六章十三節提到她的名字
[00:02:55.680 --> 00:02:57.680]  等下我們會看到
[00:02:57.680 --> 00:03:01.440]  舒拉蜜的意思就是住在
[00:03:01.440 --> 00:03:03.760]  書念這個地方的人
[00:03:03.760 --> 00:03:08.240]  書念這個地方就是在以撒加支派
[00:03:08.240 --> 00:03:10.240]  在以色列的北面
[00:03:10.240 --> 00:03:12.240]  是很近加利尼
[00:03:12.240 --> 00:03:13.840]  而所羅門王呢?
[00:03:13.840 --> 00:03:17.920]  所羅門王是在耶路撒冷的王宮裏面
[00:03:17.920 --> 00:03:19.920]  所以是在南面
[00:03:19.920 --> 00:03:23.440]  我們看到男女主角在書裏面
[00:03:23.440 --> 00:03:26.320]  都能夠是來去自由
[00:03:26.320 --> 00:03:27.600]  通行無阻
[00:03:27.600 --> 00:03:29.280]  這個就讓我們看到
[00:03:29.280 --> 00:03:32.320]  當時還沒有分開南北國
[00:03:32.320 --> 00:03:37.280]  而《牙歌》這個故事裏面
[00:03:37.280 --> 00:03:39.280]  是兩次提到春天
[00:03:39.280 --> 00:03:43.520]  一次是在《牙歌》的第二章
[00:03:43.520 --> 00:03:46.320]  另外一次在《牙歌》的第七章
[00:03:46.320 --> 00:03:50.560]  如果兩個春天當中沒有阻隔的話
[00:03:50.560 --> 00:03:53.760]  即是說在《牙歌》所講的這個故事
[00:03:53.760 --> 00:03:55.760]  所發生的時間
[00:03:55.760 --> 00:03:57.760]  是超過一年
[00:03:57.760 --> 00:03:59.760]  但不到兩年的時間
[00:03:59.760 --> 00:04:05.520]  我們也不妨看看《牙歌》的作者
[00:04:05.520 --> 00:04:07.520]  在《牙歌》裏面
[00:04:07.520 --> 00:04:11.520]  所羅門的名字是七次被提到
[00:04:11.520 --> 00:04:17.280]  我們知道在聶王紀上的十一章三節
[00:04:17.280 --> 00:04:20.560]  是講到所羅門王有很多妻妾
[00:04:20.560 --> 00:04:22.560]  有七百個妃
[00:04:22.560 --> 00:04:24.560]  有三百個嬪
[00:04:24.560 --> 00:04:26.560]  經文亦都告訴我們
[00:04:26.560 --> 00:04:28.560]  這些所謂的妃子
[00:04:28.560 --> 00:04:29.920]  就是公主
[00:04:29.920 --> 00:04:31.920]  其實他們是皇后
[00:04:32.320 --> 00:04:34.320]  為何有這麼多皇后
[00:04:34.320 --> 00:04:36.320]  比妃妃還多
[00:04:36.320 --> 00:04:39.760]  因為當時所羅門王很喜歡和親
[00:04:39.760 --> 00:04:43.120]  與不同的國家結盟的時候
