
[00:00:00.000 --> 00:00:05.200]  領子會早晨 新年快樂
[00:00:05.200 --> 00:00:10.840]  也恭喜書院道真堂踏上十四個年頭
[00:00:10.840 --> 00:00:12.240]  為了上帝的恩典
[00:00:12.240 --> 00:00:14.960]  無論在興田 在書院
[00:00:14.960 --> 00:00:16.880]  在我們當中成就的工作
[00:00:16.880 --> 00:00:17.880]  來獻上感恩
[00:00:17.880 --> 00:00:20.200]  還記得剛剛開始的時間
[00:00:20.200 --> 00:00:24.000]  書院的決定成立
[00:00:24.000 --> 00:00:25.920]  好像是沒多久發生的事
[00:00:25.920 --> 00:00:28.200]  轉眼間已經是十四個年頭了
[00:00:28.200 --> 00:00:31.120]  我今天想和大家分享一段聖經
[00:00:31.120 --> 00:00:33.120]  就是大家上了教會一段時間
[00:00:33.120 --> 00:00:34.120]  應該不會太陌生的
[00:00:34.120 --> 00:00:37.120]  就是一個跟從耶穌的少年人
[00:00:37.120 --> 00:00:40.120]  或者我們叫少年官的經歷
[00:00:40.120 --> 00:00:43.120]  我想先從一個故事開始
[00:00:43.120 --> 00:00:46.120]  很多很多年前
[00:00:46.120 --> 00:00:48.120]  當我在美國讀神學的時間
[00:00:48.120 --> 00:00:50.120]  有一年的暑假
[00:00:50.120 --> 00:00:52.120]  我就去波士頓實習
[00:00:52.120 --> 00:00:56.120]  因為實習的緣故
[00:00:56.120 --> 00:00:59.120]  就在親戚家裏面住
[00:00:59.120 --> 00:01:01.120]  親戚對夫婦
[00:01:01.120 --> 00:01:04.120]  因為我們去的緣故
[00:01:04.120 --> 00:01:06.120]  本來想著一輛車要劏
[00:01:06.120 --> 00:01:08.120]  因為車太殘舊了
[00:01:08.120 --> 00:01:10.120]  不過留給我們開
[00:01:10.120 --> 00:01:13.120]  他自己一輛車是VW的車
[00:01:13.120 --> 00:01:15.120]  比較漂亮的一輛房車
[00:01:15.120 --> 00:01:17.120]  另一輛車我忘記牌子了
[00:01:17.120 --> 00:01:19.120]  總之是美國很巨型的車
[00:01:19.120 --> 00:01:20.120]  很多年了
[00:01:20.120 --> 00:01:23.120]  不過車不單止是老爺殘舊
[00:01:23.120 --> 00:01:25.120]  還有因為車窗壞了
[00:01:25.120 --> 00:01:28.120]  所以不能調校冷氣
[00:01:28.120 --> 00:01:31.120]  還有趣的地方
[00:01:31.120 --> 00:01:33.120]  司機那邊的門
[00:01:33.120 --> 00:01:35.120]  因為被車撞過
[00:01:35.120 --> 00:01:37.120]  所以不能開
[00:01:37.120 --> 00:01:40.120]  每次我都要從乘客那邊進去
[00:01:40.120 --> 00:01:42.120]  然後爬上司機位才能開
[00:01:42.120 --> 00:01:44.120]  所以我說這輛車本來是劏的
[00:01:44.120 --> 00:01:45.120]  不過因為我們去
[00:01:45.120 --> 00:01:47.120]  所以留給我們開
[00:01:47.120 --> 00:01:49.120]  去到這間教會實習的時候
[00:01:49.120 --> 00:01:53.120]  其中一個工作是負責少年人工作
[00:01:53.120 --> 00:01:56.120]  和一班導師一起帶少年團契
[00:01:56.120 --> 00:01:58.120]  由於美國地方比較大
[00:01:58.120 --> 00:02:02.120]  所以每次出入都要開車去團契、教會
[00:02:02.120 --> 00:02:05.120]  有一次教會
[00:02:05.120 --> 00:02:08.120]  少年團契去旅行
[00:02:08.120 --> 00:02:11.120]  由於大部分導師都有車
[00:02:11.120 --> 00:02:13.120]  所以不需要租旅遊巴士
[00:02:13.120 --> 00:02:14.120]  香港人要的
[00:02:14.120 --> 00:02:15.120]  美國不用的
[00:02:15.120 --> 00:02:18.120]  跟導師坐車就可以了
