
[00:00:00.000 --> 00:00:05.000]  我們有三件事一定要
[00:00:05.000 --> 00:00:09.440]  第一很多堂之前派過那個佛教的總表
[00:00:09.440 --> 00:00:13.880]  我當然這方面的了解實在很淺
[00:00:13.880 --> 00:00:15.380]  也能力有限
[00:00:15.380 --> 00:00:17.560]  不過我盡了很大的力量
[00:00:17.560 --> 00:00:19.720]  就設計了這個
[00:00:19.720 --> 00:00:22.640]  並不是參考任何書的
[00:00:22.640 --> 00:00:24.480]  如果有偶合大家
[00:00:24.480 --> 00:00:25.480]  根本是偶合
[00:00:25.480 --> 00:00:27.480]  現在根本佛教的道理
[00:00:27.480 --> 00:00:29.480]  如果一個大綱整理出來
[00:00:29.480 --> 00:00:31.480]  我覺得應該是這樣整理
[00:00:31.480 --> 00:00:33.480]  就給大家參考
[00:00:33.480 --> 00:00:37.480]  另外為了濃縮整個佛教的意義
[00:00:37.480 --> 00:00:40.480]  心經當然很有代表性
[00:00:40.480 --> 00:00:42.480]  當然不止心經我們要記得
[00:00:42.480 --> 00:00:44.480]  不過心經是最多人知道
[00:00:44.480 --> 00:00:47.480]  無論藝術家書法家都喜歡寫心經
[00:00:47.480 --> 00:00:48.480]  而不是一種功德
[00:00:48.480 --> 00:00:50.480]  那我就不存淺漏
[00:00:50.480 --> 00:00:54.480]  將心經解釋成一本很厚的書
[00:00:54.480 --> 00:00:55.480]  也有很多
[00:00:55.480 --> 00:00:56.480]  什麼文字都好
[00:00:56.480 --> 00:01:01.480]  我這個就比較簡要一點
[00:01:01.480 --> 00:01:04.480]  就在那本我很多年前寫的
[00:01:04.480 --> 00:01:06.480]  《中華三教與基督音本》
[00:01:06.480 --> 00:01:10.480]  第二版修正版就有在那裏
[00:01:10.480 --> 00:01:11.480]  初版沒有的
[00:01:11.480 --> 00:01:13.480]  這兩樣
[00:01:13.480 --> 00:01:16.480]  第三樣東西大家也都認了
[00:01:16.480 --> 00:01:19.480]  在我的半本書
[00:01:19.480 --> 00:01:22.480]  就是播道會出的那本比較中間
[00:01:22.480 --> 00:01:23.480]  有三章我寫的
[00:01:23.480 --> 00:01:26.480]  關於佛教的一部份評論
[00:01:26.480 --> 00:01:29.480]  如果有時間大家可以看
[00:01:29.480 --> 00:01:30.480]  我希望能夠略講
[00:01:30.480 --> 00:01:35.480]  佛教徒對基督教的重點攻擊
[00:01:35.480 --> 00:01:37.480]  這個一定要知道
[00:01:37.480 --> 00:01:39.480]  不是什麼叫做互教學
[00:01:39.480 --> 00:01:43.480]  基督教和佛教是在中國人的心靈之中
[00:01:43.480 --> 00:01:45.480]  競爭得很激烈
[00:01:45.480 --> 00:01:47.480]  一直都會對立下去
[00:01:47.480 --> 00:01:52.480]  當然是用和平的方式去勸服對方
[00:01:52.480 --> 00:01:56.480]  但是那個基本教義大家是沒有發展
[00:01:56.480 --> 00:01:58.480]  你千萬不要相信那句廢話
[00:01:58.480 --> 00:02:01.480]  什麼宗教都教人為事
[00:02:01.480 --> 00:02:03.480]  廢話我相信這句
[00:02:03.480 --> 00:02:05.480]  教的方法又不同
[00:02:05.480 --> 00:02:06.480]  善的標準又不同
[00:02:06.480 --> 00:02:07.480]  是不是
[00:02:07.480 --> 00:02:11.480]  我們當然絕對不希望像十字斑東征
[00:02:11.480 --> 00:02:13.480]  甚至不希望新舊教
[00:02:13.480 --> 00:02:15.480]  都是基督教和聖經
[00:02:15.480 --> 00:02:17.480]  都血流成河
[00:02:17.480 --> 00:02:19.480]  但是
[00:02:19.480 --> 00:02:21.480]  當然一方面我們講求同存異
[00:02:21.480 --> 00:02:24.480]  但是有時候我們要知道異議在哪裡
[00:02:24.480 --> 00:02:26.480]  千萬不要模糊頭
[00:02:26.480 --> 00:02:28.480]  上帝送給我們一個腦
[00:02:28.480 --> 00:02:30.480]  不是給我們做豆腐
[00:02:30.480 --> 00:02:33.480]  確實要知道分別在哪裡
[00:02:33.480 --> 00:02:35.480]  這個就不說了
[00:02:35.480 --> 00:02:37.480]  不過大表過海有
[00:02:37.480 --> 00:02:42.480]  最基本的佛教道理
[00:02:42.480 --> 00:02:44.480]  所謂四聖諦
[00:02:44.480 --> 00:02:46.480]  諦是真諦
[00:02:46.480 --> 00:02:48.480]  聖是神聖的
[00:02:48.480 --> 00:02:49.480]  四大基本道理
[00:02:49.480 --> 00:02:51.480]  最基本的
[00:02:51.480 --> 00:02:55.480]  大祖經還沒有
[00:02:55.480 --> 00:02:58.480]  什麼叫四聖諦呢
[00:02:58.480 --> 00:03:00.480]  苦澤滅道
[00:03:00.480 --> 00:03:04.480]  第一個就是結果
[00:03:04.480 --> 00:03:05.480]  第二個就是因
[00:03:05.480 --> 00:03:07.480]  第三個就是結果
[00:03:07.480 --> 00:03:08.480]  第四個就是因
[00:03:08.480 --> 00:03:09.480]  因果因果
[00:03:09.480 --> 00:03:11.480]  什麼是結果呢
[00:03:11.480 --> 00:03:13.480]  就是苦
[00:03:13.480 --> 00:03:14.480]  正如我們知道
[00:03:14.480 --> 00:03:18.480]  基督教最針對人心的就是罪的問題
[00:03:18.480 --> 00:03:20.480]  世人都犯了罪
[00:03:20.480 --> 00:03:23.480]  最大的罪就是不知道自己有罪
[00:03:23.480 --> 00:03:26.480]  最大的罪就是不承認自己有罪
[00:03:26.480 --> 00:03:30.480]  最大的罪就是覺得自己和上帝平等
[00:03:30.480 --> 00:03:32.480]  二十世紀最出名的中國人
[00:03:32.480 --> 00:03:34.480]  那句話
[00:03:34.480 --> 00:03:36.480]  願以天公共比高
[00:03:36.480 --> 00:03:40.480]  這個就是最大的錯誤
[00:03:40.480 --> 00:03:42.480]  大家知道了
[00:03:42.480 --> 00:03:45.480]  佛教最重要的就是苦
[00:03:45.480 --> 00:03:47.480]  看清楚人生
[00:03:47.480 --> 00:03:49.480]  所以一定不要太過份
[00:03:49.480 --> 00:03:51.480]  只要稍微有口才
[00:03:51.480 --> 00:03:53.480]  任何人說人生的苦
[00:03:53.480 --> 00:03:54.480]  如果我們看過
