
[00:00:00.000 --> 00:00:06.000]  活在今日的香港社會 活在這個世界裏面
[00:00:06.000 --> 00:00:10.000]  我們是面對很多的艱難 很多的挑戰
[00:00:10.000 --> 00:00:18.000]  亦都有很多傷感 很多令人憤慨 無奈的事情
[00:00:18.000 --> 00:00:26.000]  未來的歲月 香港的社會會怎樣 我們的人生會怎樣
[00:00:26.000 --> 00:00:33.000]  我相信我們仍然是需要主的真光
[00:00:33.000 --> 00:00:42.000]  我們需要主的話語 就是一點一滑都不會廢去的寶貴的話語
[00:00:42.000 --> 00:00:51.000]  來改造我們 繼續叫我們成為忠誠的天國人
[00:00:51.000 --> 00:01:00.000]  成為一個面對任何的情況下 都能夠靠著主的恩典
[00:01:00.000 --> 00:01:10.000]  來在這個世界有黑暗 有不公義 有苦難等等的壓迫
[00:01:10.000 --> 00:01:19.000]  在這樣的場景裏面 我們仍然能夠說 主呀 我讚美你
[00:01:19.000 --> 00:01:28.000]  因為你仍然是掌管萬有的主宰 仍然是按你的美意 行作萬事的上帝
[00:01:28.000 --> 00:01:33.000]  受苦的你會給他安慰 抹乾他的眼淚
[00:01:33.000 --> 00:01:39.000]  專橫的 狂妄的 你一定將他扳倒
[00:01:39.000 --> 00:01:47.000]  被蹂躪的 你一定叫他能夠重新抬起頭來
[00:01:47.000 --> 00:01:52.000]  我們需要什麼呢 作為基督徒 作為天國的子民
[00:01:52.000 --> 00:02:00.000]  其實我們任何一樣 馬太福音八福的其中一福都不可或缺
[00:02:00.000 --> 00:02:08.000]  我們今天說的 我們在這個時段 在這個世界裏面不可少的是什麼呢
[00:02:08.000 --> 00:02:13.000]  在你最憤怒的時候 最想報復的時候 最想動手的時候
[00:02:13.000 --> 00:02:20.000]  你最需要的是什麼呢 其實我們需要的是聽主耶穌說話
[00:02:20.000 --> 00:02:31.000]  連戌人的人有福了 看他的 應該是這樣的 追殺他 是這樣嗎
[00:02:31.000 --> 00:02:39.000]  連戌人的人有福了 因為他們必蒙連戌
[00:02:39.000 --> 00:02:48.000]  我們每個人都需要連戌 我們每個人都喜歡經歷別人對我們的連戌
[00:02:48.000 --> 00:02:55.000]  沒事了 沒事了 OK了 我不追究你 我不追討你的罪
[00:02:55.000 --> 00:03:03.000]  我不追你的債 沒事了 行嗎 我們每個人都想有這樣的
[00:03:03.000 --> 00:03:14.000]  但是我們在經歷裏面 發覺不一定是這樣 你寬恕我可以 你叫我寬恕你 怎麼可以
[00:03:14.000 --> 00:03:22.000]  給一點點別人得罪我們 我們裏面那種怒火是很難消散的
[00:03:22.000 --> 00:03:30.000]  我們記仇記得很強 我們很計較 其實主的兒女 主的門徒
[00:03:30.000 --> 00:03:35.000]  在他們的生活裏面 有時候人以為在教會的群體很浪漫
[00:03:35.000 --> 00:03:42.000]  以為全部都是基督徒就OK 我告訴你 全部都是基督徒 全部都不OK
[00:03:42.000 --> 00:03:49.000]  所以有些人經常想 如果有多幾個基督徒的什麼什麼就會好一點
[00:03:49.000 --> 00:03:56.000]  你發覺有時候不掛個招牌還好過掛個招牌 不掛都不知道原來你這麼壞
[00:03:56.000 --> 00:03:59.000]  掛了之後還是比那些不是基督徒更壞
[00:03:59.000 --> 00:04:02.000]  我們聽很多這些故事
[00:04:02.000 --> 00:04:10.000]  所以彼得問的問題是很重要的問題
[00:04:10.000 --> 00:04:14.000]  寬恕他七次OK了沒有
[00:04:14.000 --> 00:04:21.000]  主耶穌回答的就是給我們對憐憫 寬恕 寬宏大量
[00:04:21.000 --> 00:04:29.000]  有一個完全消化不到的教導
[00:04:29.000 --> 00:04:34.000]  雖然我們每個人都懂得說 主耶穌回答他當然不是七次
[00:04:34.000 --> 00:04:40.000]  是7x70=490
[00:04:40.000 --> 00:04:46.000]  怎樣計算 接著主耶穌說下去就是給我們解釋
[00:04:46.000 --> 00:04:53.000]  其實從來希伯來人的數字不是一個實體的數字
[00:04:53.000 --> 00:04:57.000]  是一個象徵的數字 不過不是全部都是象徵
[00:04:57.000 --> 00:05:00.000]  有些是很清楚告訴我們是象徵
[00:05:00.000 --> 00:05:09.000]  譬如7就差不多是無窮無盡 是完全
[00:05:09.000 --> 00:05:12.000]  即是怎樣 不是七次
[00:05:12.000 --> 00:05:16.000]  是需要要輸 繼續要輸
[00:05:16.000 --> 00:05:20.000]  行不行 我想我其實不行的
[00:05:20.000 --> 00:05:26.000]  我說不要說70個七次 七次其實都很難
[00:05:26.000 --> 00:05:28.000]  老老實實
[00:05:28.000 --> 00:05:33.000]  主耶穌說天國好像一個王跟他僕人計算
[00:05:33.000 --> 00:05:36.000]  不過故事大家都知道的
[00:05:36.000 --> 00:05:40.000]  很清楚的一個強烈的對比
[00:05:40.000 --> 00:05:44.000]  一個差一千萬
[00:05:44.000 --> 00:05:49.000]  一個差一萬
[00:05:49.000 --> 00:05:53.000]  一千萬對一萬已經是很不同
[00:05:53.000 --> 00:06:04.000]  是一千萬對一百萬
[00:06:04.000 --> 00:06:12.000]  對不起 是一個差一千萬 一個差十萬
[00:06:12.000 --> 00:06:16.000]  誰會計算 百分比怎樣計算
[00:06:16.000 --> 00:06:19.000]  炎紅玉計算得最快
[00:06:19.000 --> 00:06:24.000]  是不是0.1% 我不知道
[00:06:24.000 --> 00:06:28.000]  不過那個誇張的地步就是說
[00:06:28.000 --> 00:06:30.000]  那個差這麼厲害
[00:06:30.000 --> 00:06:35.000]  連賣老婆子女賣家產都還不了
[00:06:35.000 --> 00:06:39.000]  那個竟然可以平安無事的被放走
[00:06:39.000 --> 00:06:42.000]  沒事 走 我不用你還
[00:06:42.000 --> 00:06:46.000]  雖然你說過要還 其實我都明知道你還不了
[00:06:46.000 --> 00:06:48.000]  走啦 沒事
[00:06:48.000 --> 00:06:50.000]  走出去的時候 見到一個同事
[00:06:50.000 --> 00:06:54.000]  那個同事欠他十塊錢
[00:06:54.000 --> 00:06:57.000]  結果他就差不多要捏死那個人
[00:06:57.000 --> 00:07:00.000]  然後把他關在監獄裡
[00:07:00.000 --> 00:07:07.000]  這個就是人心的寫照
[00:07:07.000 --> 00:07:14.000]  這個就是我們這些可憐的罪人
[00:07:14.000 --> 00:07:19.000]  那一個生活的常態
[00:07:19.000 --> 00:07:22.000]  我們經常都會覺得 至少我覺得
[00:07:22.000 --> 00:07:26.000]  我不是那個會捏死人的那個
[00:07:26.000 --> 00:07:29.000]  但可能耶穌現在都在告訴我
[00:07:29.000 --> 00:07:33.000]  其實我講這個故事不是講給其他人聽
[00:07:33.000 --> 00:07:37.000]  你以為人家才去捏死那個欠十塊錢的那個
[00:07:37.000 --> 00:07:41.000]  其實可能我們 或者彼得那幫人
[00:07:41.000 --> 00:07:43.000]  耶穌想讓他們知道
[00:07:43.000 --> 00:07:47.000]  那個荒謬的地方
[00:07:47.000 --> 00:07:51.000]  就是我們算計人的惡算得很盡
[00:07:51.000 --> 00:07:57.000]  上帝算計我們的惡算得很寬鬆
[00:07:57.000 --> 00:07:59.000]  主人動了持心
[00:07:59.000 --> 00:08:03.000]  對那個欠他那麼多 根本無力償還的人
[00:08:03.000 --> 00:08:05.000]  他那種的喊苦喊忽
