
[00:00:00.000 --> 00:00:10.000]  今天會和大家一起思想的經文是在《皆泰書》的第二章第15節至第21節
[00:00:10.000 --> 00:00:16.000]  今天和大家一起思想的題目就是《走出族群信仰觀念的牽制》
[00:00:16.000 --> 00:00:20.000]  在開始之前讓我們再次的一起去看看這段經文
[00:00:20.000 --> 00:00:24.000]  我會先讀出和合白本的版本
[00:00:24.000 --> 00:00:29.000]  請大家有聖經的可以打開一起的跟著我去讀就可以了
[00:00:29.000 --> 00:00:33.000]  《皆泰書》第二章第15節至第21節
[00:00:33.000 --> 00:00:46.000]  我們這生來的猶太人,不是外邦的罪人,既知道人稱義不是因律法乃是因信耶穌基督,而我們也信了耶穌基督。
[00:00:46.000 --> 00:00:56.000]  使我們因信基督稱義,不因行律法稱義,因為凡有血氣的,沒有一人因行律法稱義。
[00:00:56.000 --> 00:01:05.000]  我們若求在基督裡稱義,卻認夠是罪人,難道基督是叫人犯罪的嗎?斷乎不是。
[00:01:05.000 --> 00:01:13.000]  我素來所拆毀的,若重新建造,這就證明自己是犯罪的人。
[00:01:13.000 --> 00:01:19.000]  我因律法,又向律法死了,叫我可以向神或上帝活著。
[00:01:19.000 --> 00:01:34.000]  我已經與基督共聽十字架,現在活著的不再是我,但是基督在我裡面活著,並且我如今在肉身活著,是因信神的兒子而活,他是愛我,為我捨己。
[00:01:34.000 --> 00:01:43.000]  我不廢掉神的恩義,若是這著律法得的,基督就是徒然死了。
[00:01:43.000 --> 00:01:53.000]  我做了牧者二十多年,在教會圈子裡,我經常覺得不自在的一件事,
[00:01:53.000 --> 00:02:03.000]  就是我覺得有時我活在基督徒群體中,給我的感覺好像在黑社會。
[00:02:03.000 --> 00:02:13.000]  我從小到大,從認識基督徒,從認識基督徒,從認識基督徒,從認識基督徒,
[00:02:13.000 --> 00:02:20.000]  由昔日,很多時候,當你遇見基督徒,他會問你,你是哪個宗派的信徒?
[00:02:20.000 --> 00:02:28.000]  到後來,漸漸演變成為今天的,你究竟是哪個牧師,或者哪間堂會的信徒呢?
[00:02:28.000 --> 00:02:35.000]  甚至是,你現在是在教會裡面,你為何要在一家教會而為榮?
[00:02:35.000 --> 00:02:44.000]  這種以自己堂會為榮的信仰,甚至教會的建立,現在變得非常普遍。
[00:02:44.000 --> 00:02:52.000]  甚至有些教會教牧認為,這樣才能夠使教會興旺的一個很重要的元素。
[00:02:52.000 --> 00:03:00.000]  我認為,在教會裡面,教會是一個很重要的信仰思維模式。
[00:03:00.000 --> 00:03:08.000]  這種看法,或者這種分類形式,我給了它一個名稱,叫做一種族群信仰的觀念。
[00:03:08.000 --> 00:03:18.000]  英文我稱之為Tribal Religion,即是說,只要你是屬於某一個族群,
[00:03:18.000 --> 00:03:25.000]  你就可以達到某一個族群裡面的習慣,甚至他們的約定族成。
[00:03:25.000 --> 00:03:34.000]  但是這種族群信仰的觀念,Tribal Religion,卻是同時做出了很多不同類型的掣肘,
[00:03:34.000 --> 00:03:39.000]  去箍住很多信徒在屬靈的生命上的成長。
[00:03:39.000 --> 00:03:45.000]  特別是當一些事情,究竟它是錯,還是對的時候,
[00:03:45.000 --> 00:03:54.000]  大家一起思想的時候,在那種約定族成的態度之下,
[00:03:54.000 --> 00:03:59.000]  大部分在同一個教會,或者一個族群裡面的人都會堅持,
[00:03:59.000 --> 00:04:05.000]  這個應該是無可移動的,或者觸碰的一個題目。
[00:04:05.000 --> 00:04:11.000]  只要有人微微略略提出一些異樣的想法的時候,
[00:04:11.000 --> 00:04:16.000]  馬上這些人就很容易成為眾矢之的。
[00:04:16.000 --> 00:04:26.000]  而整個族群的群眾都會起來去攻擊這個提出異樣,或者別樣的想法的人士。
[00:04:26.000 --> 00:04:30.000]  而受攻擊的程度究竟是怎樣去釐定呢?
[00:04:30.000 --> 00:04:36.000]  就很視乎於這個族群裡面那種向心性的程度了。
[00:04:36.000 --> 00:04:48.000]  當這個向心性越高的時候,那個人被攻擊,或者被壓制的情況的程度就會越來越正比地上升。
[00:04:48.000 --> 00:04:57.000]  而當越多的群眾越嚮往自己那個群眾的思維的時候,
[00:04:57.000 --> 00:05:02.000]  那種攻擊的情況甚至變得非常之嚴厲。
[00:05:02.000 --> 00:05:07.000]  但這種現象其實正正就是我們現在開始看到的,
[00:05:07.000 --> 00:05:13.000]  在巴勒斯坦地上的耶路撒冷教會,或者是安提拉教會,
[00:05:13.000 --> 00:05:18.000]  這種情況正正在我們的加勒頓書記裡面告訴我們,
[00:05:18.000 --> 00:05:26.000]  正在廣泛地發生在這個加勒頓教會地區的眾信徒身上。
[00:05:26.000 --> 00:05:34.000]  而在上文的時候,我們所看到的彼得去作假,作出一種假冒偽善的行為,
[00:05:34.000 --> 00:05:41.000]  其實這只不過是一個族群信仰觀念所帶來的其中一種表徵。
[00:05:41.000 --> 00:05:48.000]  而要徹底去處理這個族群信仰的問題,
[00:05:48.000 --> 00:05:55.000]  這才是保羅寫這個加勒頓書一個很重要要根治的問題所在。
[00:05:55.000 --> 00:06:00.000]  所以來到今天我們去看這個加勒頓書記第二章,
[00:06:00.000 --> 00:06:04.000]  從第15節到第21節,我們就可以看到,
[00:06:04.000 --> 00:06:09.000]  保羅是為了加勒頓教會他們的好處,
[00:06:09.000 --> 00:06:13.000]  於是乎希望他們能夠提出這個方法,
[00:06:13.000 --> 00:06:20.000]  可以幫助加勒頓教會的信徒能夠走出這種族群信仰觀念的掣肘。
[00:06:20.000 --> 00:06:25.000]  這就是我們今天所希望看的主要內容。
[00:06:25.000 --> 00:06:27.000]  我們分為兩部分去看,
[00:06:27.000 --> 00:06:30.000]  第一部分會是從第15節到第17節,
[00:06:30.000 --> 00:06:34.000]  我們會先看看在這個族群信仰觀念之下,
[00:06:34.000 --> 00:06:38.000]  應該有怎樣的掙扎是我們需要有的。
[00:06:38.000 --> 00:06:42.000]  然後我們會在第18節到第21節,
[00:06:42.000 --> 00:06:47.000]  我們會看看怎樣實現參與神學的這個觀念。
[00:06:47.000 --> 00:06:53.000]  這個觀念正正就是保羅提供給加勒頓教會的眾信徒,
[00:06:53.000 --> 00:07:00.000]  可以怎樣走出這個族群宗教觀的掣肘的情況。
[00:07:00.000 --> 00:07:03.000]  我們先去看第一部分,
[00:07:03.000 --> 00:07:09.000]  我們去看第二章的第15節至第17節,
[00:07:09.000 --> 00:07:14.000]  經文刊登在大家的視頻上,
[00:07:14.000 --> 00:07:18.000]  大家可以看一看,或者我讀一次,
[00:07:18.000 --> 00:07:20.000]  方便大家可以更加掌握。
[00:07:20.000 --> 00:07:21.000]  這裡這樣說,
[00:07:21.000 --> 00:07:26.000]  「我們這生來的猶太人不是愛邦的罪人,
[00:07:26.000 --> 00:07:31.000]  既知道人稱義不是因行律法,乃是因信耶穌基督,
[00:07:31.000 --> 00:07:36.000]  而我們也信了基督耶穌,使我們因信基督稱義,
[00:07:36.000 --> 00:07:39.000]  不因行律法稱義,
[00:07:39.000 --> 00:07:44.000]  因為凡有血氣的,沒有一人因行律法稱義。
[00:07:44.000 --> 00:07:49.000]  我們若求在基督裡稱義,卻仍舊是罪人,
[00:07:49.000 --> 00:07:53.000]  難道基督是叫人犯罪的嗎?斷乎不是。」
[00:07:53.000 --> 00:07:58.000]  在這個段落裡有一個寫作的特點,
