
[00:00:00.000 --> 00:00:06.020]  今天是我第三堂跟大家講的
[00:00:06.020 --> 00:00:10.360]  監古詩經聖經人物的系列
[00:00:10.360 --> 00:00:12.240]  我選擇了12個人物
[00:00:12.240 --> 00:00:13.960]  和大家在今年裡面分享
[00:00:13.960 --> 00:00:15.840]  第一個是阿當
[00:00:15.840 --> 00:00:17.040]  第二個是羅亞
[00:00:17.040 --> 00:00:20.240]  在阿當我們提到要聽神所言
[00:00:20.240 --> 00:00:22.040]  要從神而行
[00:00:22.040 --> 00:00:24.720]  提到羅亞我們說到不容易
[00:00:24.720 --> 00:00:26.080]  不是不可能
[00:00:26.080 --> 00:00:30.240]  阿當說到聽神所言從神而行
[00:00:30.240 --> 00:00:32.440]  要聽得對要行得對
[00:00:32.440 --> 00:00:34.400]  不要只是聽不做
[00:00:34.400 --> 00:00:36.440]  不要做但不聽
[00:00:36.440 --> 00:00:37.920]  亂做
[00:00:37.920 --> 00:00:41.160]  羅亞說到不容易不是不可能
[00:00:41.160 --> 00:00:44.240]  提到要與神同工與神同行
[00:00:44.240 --> 00:00:46.680]  提到做義人要全義道
[00:00:46.680 --> 00:00:49.760]  提到我們對家人不可以不做事
[00:00:49.760 --> 00:00:51.320]  我們要好好做事
[00:00:51.320 --> 00:00:54.120]  不可以不說話要好好說話
[00:00:54.120 --> 00:00:56.560]  今天第三個人物阿不拉罕
[00:00:56.560 --> 00:01:00.480]  大家看到比大家的經文是非常多
[00:01:00.480 --> 00:01:01.920]  是非常多
[00:01:01.920 --> 00:01:05.600]  大家不知道有沒有看過才來今天的崇拜
[00:01:05.600 --> 00:01:07.160]  因為講阿不拉罕經文
[00:01:07.160 --> 00:01:09.440]  聖經裡面真的不少
[00:01:09.440 --> 00:01:12.040]  我們今天就會看一看阿不拉罕
[00:01:12.040 --> 00:01:15.000]  一個主題就是神是有恩典的
[00:01:15.000 --> 00:01:17.800]  但是人是需要成長的
[00:01:17.800 --> 00:01:20.480]  不是有恩典人就不需要成長
[00:01:20.480 --> 00:01:23.200]  不是人成長就不需要恩典
[00:01:23.200 --> 00:01:24.880]  而是人需要恩典
[00:01:24.880 --> 00:01:27.120]  人也是需要成長的
[00:01:27.120 --> 00:01:28.760]  我們先做個祈禱
[00:01:28.760 --> 00:01:31.200]  師父求主保守我們以下的時間
[00:01:31.200 --> 00:01:32.240]  我們很感恩
[00:01:32.240 --> 00:01:35.280]  大家無論在線上或者在實體
[00:01:35.280 --> 00:01:38.360]  大家聚集一起來敬拜這位神
[00:01:38.360 --> 00:01:42.720]  普天之下眾多教會今天同時在這裡敬拜神
[00:01:42.720 --> 00:01:44.400]  我們都是紀念主耶穌
[00:01:44.400 --> 00:01:47.240]  求主幫助我們不要再做一個忘恩的人
[00:01:47.240 --> 00:01:49.360]  幫助我們成長的人
[00:01:49.360 --> 00:01:50.360]  大年夜的時間
[00:01:50.360 --> 00:01:51.640]  奉耶穌的名祈禱
[00:01:51.640 --> 00:01:52.560]  阿們
[00:01:52.560 --> 00:01:54.200]  今天內容是不少的
[00:01:54.200 --> 00:01:55.520]  所以盼望大家
[00:01:55.520 --> 00:01:57.840]  我嘗試慢慢講
[00:01:57.840 --> 00:01:59.240]  其實是很難的
[00:01:59.240 --> 00:02:02.400]  大家可以快快聽一下
[00:02:02.400 --> 00:02:04.800]  我上上有一篇詩篇
[00:02:04.800 --> 00:02:06.600]  我是很喜歡的
[00:02:06.600 --> 00:02:08.320]  就是詩篇第八篇
[00:02:08.320 --> 00:02:10.280]  其中第八篇第四節提到
[00:02:10.280 --> 00:02:12.080]  人算什麼
[00:02:12.080 --> 00:02:15.000]  你竟眷顧他
[00:02:15.000 --> 00:02:17.040]  人真的算什麼呢
[00:02:17.040 --> 00:02:18.920]  我發現人很有趣的
[00:02:18.920 --> 00:02:20.640]  人很容易很自大
[00:02:20.640 --> 00:02:22.320]  很容易很驕傲
[00:02:22.320 --> 00:02:25.760]  很容易懂一點點就扮代表
[00:02:25.760 --> 00:02:27.920]  很容易有點點成就
[00:02:27.920 --> 00:02:30.520]  就覺得自己真的非常偉大
[00:02:30.520 --> 00:02:33.160]  人一生幾十年
[00:02:33.160 --> 00:02:35.160]  匆匆就過去
[00:02:35.160 --> 00:02:37.360]  在這個
[00:02:37.360 --> 00:02:39.440]  不要說浩瀚的宇宙
[00:02:39.440 --> 00:02:40.920]  在人類的歷史當中
[00:02:40.920 --> 00:02:43.000]  這麼多億人的裡面
[00:02:43.000 --> 00:02:47.040]  我們可以說真的在這麼長的時間裡面
[00:02:47.040 --> 00:02:48.320]  這麼多人裡面
[00:02:48.320 --> 00:02:53.240]  我們沒有什麼經驗可以講的
[00:02:53.240 --> 00:02:55.800]  也沒有什麼功勞可以誇的
[00:02:55.800 --> 00:02:58.200]  我上上很多年聽一個傳教人講過
[00:02:58.200 --> 00:03:01.480]  其實科學家沒有發明過任何東西
[00:03:01.480 --> 00:03:04.840]  他們只是發現了很多東西
[00:03:04.840 --> 00:03:06.920]  不是我們發明地心吸力的
[00:03:06.920 --> 00:03:10.320]  不是我們發明萬有引力的
[00:03:10.320 --> 00:03:12.560]  其實這些全部都是已經起到
[00:03:12.560 --> 00:03:14.760]  科學家只是發現
[00:03:14.760 --> 00:03:18.040]  和好好地去用所有的東西
[00:03:18.040 --> 00:03:20.360]  政治家再有權力
[00:03:20.360 --> 00:03:22.760]  權傾朝野
[00:03:22.760 --> 00:03:24.000]  好像秦始皇
[00:03:24.000 --> 00:03:25.520]  好像希特勒
[00:03:25.520 --> 00:03:27.120]  好像武則天
[00:03:27.120 --> 00:03:28.920]  但是他們都要過去
[00:03:28.920 --> 00:03:30.560]  都要過去
[00:03:30.560 --> 00:03:33.040]  其實我們人可以誇些什麼呢
[00:03:33.040 --> 00:03:34.480]  在死亡的面前
[00:03:34.480 --> 00:03:36.480]  人都要謹慎而活
