
[00:00:00.000 --> 00:00:04.000]  各位大姐妹早晨
[00:00:04.000 --> 00:00:09.000]  昨天兩堂聚會
[00:00:09.000 --> 00:00:11.000]  今天早上的崇拜
[00:00:11.000 --> 00:00:14.000]  我也覺得雅庚堂很溫暖
[00:00:14.000 --> 00:00:18.000]  包括我第一次來這裡主日崇拜
[00:00:18.000 --> 00:00:21.000]  大姐妹們對我很包容和很接納
[00:00:21.000 --> 00:00:22.000]  不知道大家知不知道
[00:00:22.000 --> 00:00:26.000]  昨天一班同工們在未崇拜
[00:00:26.000 --> 00:00:29.000]  未聚會之前已經請我喝茶
[00:00:29.000 --> 00:00:32.000]  這些傳統請你們繼續
[00:00:32.000 --> 00:00:36.000]  在這裡代表神學院向大家問安
[00:00:36.000 --> 00:00:39.000]  特別祝大家生日快樂
[00:00:39.000 --> 00:00:43.000]  六週年見到神在雅庚堂當中有很多工作
[00:00:43.000 --> 00:00:45.000]  有很多成長
[00:00:45.000 --> 00:00:48.000]  我真的為著你們衷心的感恩
[00:00:48.000 --> 00:00:51.000]  所以今天我預備了一個題目
[00:00:51.000 --> 00:00:54.000]  就是凡事借因和你分享
[00:00:54.000 --> 00:00:56.000]  這個字眼
[00:00:56.000 --> 00:00:59.000]  我相信是我們時時都會說
[00:00:59.000 --> 00:01:01.000]  甚至是老生常談
[00:01:01.000 --> 00:01:04.000]  我這次用的經文可能大家會有意外
[00:01:04.000 --> 00:01:09.000]  我用的經文是《哥羅西書》三章十二到四十一節
[00:01:09.000 --> 00:01:14.000]  我不知道大家想起凡事借因
[00:01:14.000 --> 00:01:17.000]  會不會是一個阿Q精神
[00:01:21.000 --> 00:01:24.000]  如果不幸地看醫生
[00:01:24.000 --> 00:01:26.000]  醫生說你有重病
[00:01:26.000 --> 00:01:29.000]  你第一個反應會不會是凡事借因呢
[00:01:29.000 --> 00:01:30.000]  老老實實
[00:01:30.000 --> 00:01:36.000]  如果你今天回來聽到有一個弟兄姊妹
[00:01:36.000 --> 00:01:38.000]  他說他得到重病
[00:01:38.000 --> 00:01:40.000]  你會不會說感謝神呢
[00:01:40.000 --> 00:01:42.000]  是不是很討人厭呢
[00:01:42.000 --> 00:01:44.000]  什麼意思呢
[00:01:44.000 --> 00:01:47.000]  怎樣可以凡事借因呢
[00:01:47.000 --> 00:01:49.000]  我今天想和大家思想這個題目
[00:01:49.000 --> 00:01:52.000]  我想大家
[00:01:52.000 --> 00:02:01.000]  如果你有聖經可以翻開
[00:02:01.000 --> 00:02:03.000]  或者用手提電話打開
[00:02:03.000 --> 00:02:05.000]  《哥羅西書》三章十二到四十一節
[00:02:05.000 --> 00:02:07.000]  有三個重要的重點
[00:02:07.000 --> 00:02:09.000]  將經文分為
[00:02:09.000 --> 00:02:14.000]  第一個段落是三章十二到十四節
[00:02:14.000 --> 00:02:16.000]  就是和一般人的相處
[00:02:16.000 --> 00:02:19.000]  然後中間的十五到十七節
[00:02:19.000 --> 00:02:22.000]  就是和耶穌之間的關係
[00:02:22.000 --> 00:02:24.000]  和和耶穌的相處應該有的態度
[00:02:24.000 --> 00:02:28.000]  第三點就是和一般人相處的
[00:02:28.000 --> 00:02:32.000]  最靠近的那一部分
[00:02:32.000 --> 00:02:36.000]  就是家居條例
[00:02:36.000 --> 00:02:40.000]  在當時兩千年前的中東環境
[00:02:40.000 --> 00:02:43.000]  他們差不多每天都接觸到的家人
[00:02:43.000 --> 00:02:46.000]  包括夫妻子女父子關係
[00:02:46.000 --> 00:02:49.000]  還有可能有奴隸的家人
[00:02:49.000 --> 00:02:51.000]  有奴僕主僕的關係
[00:02:51.000 --> 00:02:56.000]  經文如果這樣記載的話
[00:02:56.000 --> 00:03:00.000]  可以說是一個三文治式的結構
[00:03:00.000 --> 00:03:02.000]  為什麼這樣說呢
[00:03:02.000 --> 00:03:05.000]  因為第一段是和人的相處
[00:03:05.000 --> 00:03:09.000]  第三段和家人都是和人的相處
[00:03:09.000 --> 00:03:13.000]  第一和第三可以說是人與人之間
[00:03:13.000 --> 00:03:16.000]  應該有的基督徒的表現
[00:03:16.000 --> 00:03:21.000]  然後中間那段就是和耶穌基督的關係
[00:03:21.000 --> 00:03:23.000]  正如三文治一樣
[00:03:23.000 --> 00:03:27.000]  三文治最重要的哪一部分呢
[00:03:27.000 --> 00:03:33.000]  我想你不會覺得最重要的是麵包吧
[00:03:33.000 --> 00:03:36.000]  最重要的是餡料
[00:03:36.000 --> 00:03:39.000]  在文學記載也是一樣
[00:03:39.000 --> 00:03:42.000]  中間部分是影響第一和第三的
[00:03:42.000 --> 00:03:45.000]  今天我們來看看經文如何教導我們
[00:03:45.000 --> 00:03:48.000]  和耶穌的關係如何影響我們和人的關係
[00:03:48.000 --> 00:03:51.000]  我們先讀經文一次
[00:03:51.000 --> 00:03:54.000]  可能我們還未太熟悉經文
[00:03:54.000 --> 00:03:57.000]  我們先讀第一段12-14節
[00:03:57.000 --> 00:03:58.000]  請一起讀出
[00:03:58.000 --> 00:04:01.000]  所以你們既是神的選民
[00:04:01.000 --> 00:04:03.000]  聖潔蒙愛的人
[00:04:03.000 --> 00:04:06.000]  就要傳廉文
[00:04:06.000 --> 00:04:09.000]  溫柔忍耐的心
[00:04:09.000 --> 00:04:12.000]  倘若這人與那人有嫌隙
[00:04:12.000 --> 00:04:16.000]  總要彼此包容彼此饒恕
[00:04:16.000 --> 00:04:18.000]  主怎樣饒恕了你們
[00:04:18.000 --> 00:04:21.000]  你們也要怎樣饒恕人
[00:04:21.000 --> 00:04:23.000]  在這一切之外
[00:04:23.000 --> 00:04:25.000]  要傳著愛心
[00:04:25.000 --> 00:04:28.000]  愛心就是聯絡傳得的
[00:04:28.000 --> 00:04:30.000]  單單這三個聖經非常豐富
[00:04:30.000 --> 00:04:32.000]  因為裏面提到很多很多重要的字眼
[00:04:32.000 --> 00:04:36.000]  今天當然沒有辦法逐一解釋
[00:04:36.000 --> 00:04:37.000]  例如什麼是溫柔
[00:04:37.000 --> 00:04:38.000]  什麼是謙卑
[00:04:38.000 --> 00:04:39.000]  什麼是恩慈
[00:04:39.000 --> 00:04:42.000]  當然中文翻譯其實與原本的意思很接近
[00:04:42.000 --> 00:04:45.000]  所以我們就照中文的理解去理解
[00:04:45.000 --> 00:04:46.000]  這裡不多說
[00:04:46.000 --> 00:04:47.000]  如果想詳細知道
[00:04:47.000 --> 00:04:50.000]  可以問Pastor Eugene
[00:04:50.000 --> 00:04:51.000]  Pastor John 就可以了
[00:04:51.000 --> 00:04:53.000]  他們會解釋得很清楚給大家聽
[00:04:53.000 --> 00:04:55.000]  今天有限時間
[00:04:55.000 --> 00:04:59.000]  我只能和大家看一個比較概括性的說法
[00:04:59.000 --> 00:05:07.000]  這裡提到我們與其他人相處的基本態度
[00:05:07.000 --> 00:05:08.000]  基本原則
[00:05:08.000 --> 00:05:10.000]  是接著上文說的
