
[00:00:00.000 --> 00:00:09.560]  今天跟大家分享的經文是在《約爾書》的第二章
[00:00:09.560 --> 00:00:12.360]  從第18節至第20節
[00:00:12.360 --> 00:00:15.960]  今天所看的經文講道的主題是
[00:00:15.960 --> 00:00:18.440]  「我們真的認識住嗎?」
[00:00:18.440 --> 00:00:20.760]  在平日的生活裡
[00:00:20.760 --> 00:00:26.880]  我們經常聽到不少人在他們口邊都掛著
[00:00:26.880 --> 00:00:32.200]  說「主啊、神啊」或者「主耶穌基督啊」等等
[00:00:32.200 --> 00:00:37.240]  當然在教會當中更不在話下
[00:00:37.240 --> 00:00:42.080]  但是是不是經常將這些話掛在口邊的人
[00:00:42.080 --> 00:00:45.720]  就代表了他們是非常認識上帝
[00:00:45.720 --> 00:00:48.040]  或者他們能夠很懂得
[00:00:48.040 --> 00:00:51.000]  在上帝的每一個作為裡面
[00:00:51.000 --> 00:00:55.520]  都能夠擁有一個正確、準確的回應呢?
[00:00:55.520 --> 00:00:58.000]  這個問題的答案
[00:00:58.000 --> 00:01:02.600]  我就留到今天的講道最後才跟大家分享
[00:01:02.600 --> 00:01:06.560]  不過讓我們在聆聽這段的經文耳仙
[00:01:06.560 --> 00:01:12.560]  讓我們一起了解這段經文裡面所說的是什麼內容
[00:01:12.560 --> 00:01:15.120]  讓我們再一次打開聖經
[00:01:15.120 --> 00:01:18.880]  我會跟大家一起先讀和合版的版本
[00:01:18.880 --> 00:01:22.720]  《約爾書》第二章第18至20節
[00:01:22.720 --> 00:01:28.440]  耶和華就為自己的地發熱心連率他的百姓
[00:01:28.440 --> 00:01:31.160]  耶和華英文他的百姓說
[00:01:31.160 --> 00:01:37.360]  我必賜給你們五穀、新酒、和油使你們飽足
[00:01:37.360 --> 00:01:41.360]  我也不再使你們受列國的羞辱
[00:01:41.360 --> 00:01:45.160]  卻要使北方來的軍隊遠離你們
[00:01:45.160 --> 00:01:49.520]  將他們趕到乾旱、荒廢之地
[00:01:49.520 --> 00:01:54.520]  前隊趕入東海,後隊趕入西海
[00:01:54.520 --> 00:02:02.240]  因為他們所行的大惡臭氣上升,聲味騰空
[00:02:02.240 --> 00:02:05.760]  在前文我們已經開始看過的
[00:02:05.760 --> 00:02:10.320]  就是耶和華的日子的模樣是怎樣
[00:02:10.320 --> 00:02:12.800]  在上一堂的主要崇拜的裡面
[00:02:12.800 --> 00:02:17.120]  我們更加講到原來耶和華他有一連串的作為
[00:02:17.120 --> 00:02:22.240]  既然有這個蝗蟲的禍害或者有這個旱災的出現
[00:02:22.240 --> 00:02:25.120]  其實最終的作用就是
[00:02:25.120 --> 00:02:30.320]  誘化到在屬他的子民當中有一份的羞辱
[00:02:30.320 --> 00:02:35.920]  並且藉此而引發神的子民可以有一個真誠的道歉
[00:02:35.920 --> 00:02:38.400]  今天我們就會開始去看下
[00:02:38.400 --> 00:02:42.400]  究竟耶和華神下一步怎樣去看待
[00:02:42.400 --> 00:02:50.400]  由大國的子民,在第一部分我們會去看的就是第二章的第十八節
[00:02:50.400 --> 00:02:53.120]  在這一節的經文裡面我們會看見
[00:02:53.120 --> 00:02:57.360]  上帝對他的創造的照管
[00:02:57.360 --> 00:03:00.160]  the providence of God
[00:03:00.160 --> 00:03:04.160]  今天這個世界有多糟糕呢?
[00:03:04.160 --> 00:03:06.480]  我們自己有眼睛都看到了
[00:03:06.480 --> 00:03:11.120]  但無論這個世界歪到什麼程度都好
