
[00:00:00.000 --> 00:00:05.320]  好 節目讓我們在聆聽主導以前
[00:00:05.320 --> 00:00:07.280]  我們一起同心低頭禱告
[00:00:07.280 --> 00:00:08.280]  讓網民安全我們一生
[00:00:08.280 --> 00:00:10.080]  慈悲天父多謝你
[00:00:10.080 --> 00:00:11.920]  多謝你讓我們可以回到你
[00:00:11.920 --> 00:00:13.480]  在你的說話的面前去學習
[00:00:13.480 --> 00:00:14.480]  求你的帶領
[00:00:14.480 --> 00:00:16.880]  讓聖靈引導我們能夠明白
[00:00:16.880 --> 00:00:18.280]  當中的教導
[00:00:18.280 --> 00:00:20.600]  讓我們能夠真是有一個
[00:00:20.600 --> 00:00:22.400]  可以更新的生命
[00:00:22.400 --> 00:00:25.080]  不要跌入一個捲入去
[00:00:25.080 --> 00:00:29.320]  昔日如罪人的思想思維
[00:00:29.320 --> 00:00:30.640]  拒絕上主
[00:00:30.640 --> 00:00:31.880]  求你的帶領
[00:00:31.880 --> 00:00:32.840]  禱告奉教主
[00:00:32.840 --> 00:00:34.360]  耶穌也得聖靈治疚
[00:00:34.360 --> 00:00:35.360]  阿們
[00:00:35.360 --> 00:00:37.560]  今天開始之前
[00:00:37.560 --> 00:00:41.440]  我想以一個問題去問一下大家
[00:00:41.440 --> 00:00:44.360]  想問一下以下這些人
[00:00:44.360 --> 00:00:48.160]  是不是一定就是神所揀選
[00:00:48.160 --> 00:00:51.360]  並且必定是成為神的子民
[00:00:51.360 --> 00:00:54.400]  在永恆的當中必然有份的呢
[00:00:54.400 --> 00:00:55.880]  你看看
[00:00:56.600 --> 00:00:59.880]  譬如一個人已經是稱自己為一個
[00:00:59.880 --> 00:01:02.880]  缺自信要主的人
[00:01:02.880 --> 00:01:06.640]  或者一個人他已經接受了朕的禮
[00:01:06.640 --> 00:01:11.120]  這個好像很常有的現象
[00:01:11.120 --> 00:01:16.760]  或者那個很準時的去奉獻給教會的人
[00:01:16.760 --> 00:01:22.000]  還是那個人是經常在教會裏面有很多的參與
[00:01:22.000 --> 00:01:24.920]  在侍奉的當中有很多的工作
[00:01:24.920 --> 00:01:28.240]  甚至他們稱自己為牧師
[00:01:28.240 --> 00:01:29.440]  傳道人
[00:01:29.440 --> 00:01:31.440]  宣教士
[00:01:31.440 --> 00:01:33.320]  或者可能他們是一個
[00:01:33.320 --> 00:01:35.320]  宗派的主席
[00:01:35.320 --> 00:01:41.240]  一個基督教的組織的總幹事
[00:01:41.240 --> 00:01:45.320]  這些人是不是一定是上帝必然揀選
[00:01:45.320 --> 00:01:46.640]  屬神的子民
[00:01:46.640 --> 00:01:48.160]  必然得救的呢
[00:01:48.160 --> 00:01:50.360]  今天我和大家一起去看這段經文
[00:01:50.360 --> 00:01:52.840]  第21章第1至14節
[00:01:52.840 --> 00:01:57.120]  就是幫助我們真正去重新看一下
[00:01:57.120 --> 00:02:01.520]  或者印證一下我們自己是不是一個蒙恩得救的人
[00:02:01.520 --> 00:02:03.520]  在上帝裏面是有份的
[00:02:03.520 --> 00:02:06.720]  剛才師母幫我們去讀了一次
[00:02:06.720 --> 00:02:09.120]  不如我們自己再讀多一次
[00:02:09.120 --> 00:02:10.240]  去熟悉一下這段經文
[00:02:10.240 --> 00:02:12.240]  這段經文其實不陌生的
[00:02:12.240 --> 00:02:16.520]  很多時候都拿來去做福音工作
[00:02:16.520 --> 00:02:20.440]  或者福音講道傳道的時候都會引用的
[00:02:20.440 --> 00:02:23.560]  到底裏面想講些什麼呢
[00:02:23.560 --> 00:02:25.560]  我們一起去讀一下
[00:02:25.560 --> 00:02:28.680]  馬太福音第22章
[00:02:28.680 --> 00:02:32.840]  我們從第1節讀到第14節
[00:02:32.840 --> 00:02:33.840]  一起讀吧
[00:02:33.840 --> 00:02:37.120]  耶穌有用比喻對他們說
[00:02:37.120 --> 00:02:42.960]  天國好比一個王為他兒子擺設娶親的筵席
[00:02:42.960 --> 00:02:48.400]  就打發僕人去請那些被召的人來赴席
[00:02:48.400 --> 00:02:50.400]  他們卻不肯來
[00:02:50.400 --> 00:02:53.400]  王又打發別的僕人說
[00:02:53.400 --> 00:02:56.200]  你們告訴那被召的人
[00:02:56.200 --> 00:02:58.880]  我的筵席已經預備好了
[00:02:58.880 --> 00:03:01.960]  牛和肥粥已經載了
[00:03:01.960 --> 00:03:03.960]  各樣都齊備
[00:03:03.960 --> 00:03:05.960]  請你們來赴席
[00:03:05.960 --> 00:03:08.760]  那些人不理就走了
[00:03:08.760 --> 00:03:11.160]  一個到自己的田裡去
[00:03:11.160 --> 00:03:13.160]  一個做買賣去
[00:03:13.480 --> 00:03:16.920]  其餘的拿著僕人凌辱他們
[00:03:16.920 --> 00:03:18.920]  把他們殺了
[00:03:18.920 --> 00:03:23.880]  王就大怒發兵除滅那些
[00:03:23.880 --> 00:03:25.880]  燒毀他們的城
[00:03:25.880 --> 00:03:27.880]  於是對僕人說
[00:03:27.880 --> 00:03:29.880]  起然已經齊備
[00:03:29.880 --> 00:03:32.360]  只是所召的人不配
[00:03:32.360 --> 00:03:35.640]  所以你們要往坳路口上去
[00:03:35.640 --> 00:03:38.720]  凡遇見的都召來赴席
[00:03:38.720 --> 00:03:42.200]  那些僕人就出去到坳路上
[00:03:42.200 --> 00:03:46.520]  見遇見的不論善惡都召聚了來
[00:03:46.520 --> 00:03:49.520]  連席上就充滿了客
[00:03:49.520 --> 00:03:52.880]  王進來觀看賓客
[00:03:52.880 --> 00:03:56.240]  田裡有一個沒有穿禮服的
[00:03:56.240 --> 00:03:57.760]  就對他說
[00:03:57.760 --> 00:04:02.080]  朋友你到這裡來怎麼不穿禮服呢
[00:04:02.080 --> 00:04:04.560]  沒有人回答
[00:04:04.560 --> 00:04:07.640]  於是王對事換的人說
[00:04:07.640 --> 00:04:09.640]  捆起他的手腳來
[00:04:09.640 --> 00:04:12.960]  把他丟在外面的黑暗裡
[00:04:12.960 --> 00:04:16.200]  在那裡必要哀哭切齒了
[00:04:16.200 --> 00:04:18.200]  因為被召的人多
