
[00:00:00.000 --> 00:00:07.000]  各位姐妹大家好 主內平安
[00:00:07.000 --> 00:00:14.500]  今日繼續和大家思想《史老信經》第二講
[00:00:14.500 --> 00:00:17.500]  就是有關創造
[00:00:17.500 --> 00:00:21.000]  特別是今日的時勢
[00:00:21.000 --> 00:00:25.500]  我們去思想創造特別有意思
[00:00:25.500 --> 00:00:29.000]  因為這個世界是屬於上帝
[00:00:29.000 --> 00:00:33.000]  是上帝所做 又是上帝所愛
[00:00:33.000 --> 00:00:38.000]  究竟當我們提到全能的創造
[00:00:38.000 --> 00:00:42.000]  和我們今日的生活有什麼意義呢?
[00:00:42.000 --> 00:00:47.000]  剛才姐妹讀出了《創世紀》第一章一節
[00:00:47.000 --> 00:00:52.000]  起初上帝創造天地
[00:00:52.000 --> 00:00:58.000]  全能創造的意思不是說上帝什麼都做
[00:00:58.000 --> 00:01:05.000]  全能的意思是上帝的創造不需要任何人
[00:01:05.000 --> 00:01:09.000]  任何事物去幫助他
[00:01:09.000 --> 00:01:13.000]  這是在上帝的掌握裏面 在上帝的計劃裏面
[00:01:13.000 --> 00:01:19.000]  所以當我們一思想到上帝全能的創造時
[00:01:19.000 --> 00:01:22.000]  我們就很有信心
[00:01:22.000 --> 00:01:25.000]  因為這個世界不是屬於誰
[00:01:25.000 --> 00:01:30.000]  不是屬於撒旦 是屬於上帝
[00:01:30.000 --> 00:01:35.000]  當保羅提到自從到天地以來
[00:01:35.000 --> 00:01:40.000]  神的永能和神聖是明明可知
[00:01:40.000 --> 00:01:42.000]  當上帝創造這個宇宙
[00:01:42.000 --> 00:01:46.000]  他的智慧 上帝的能力
[00:01:46.000 --> 00:01:50.000]  就透過他所做的事 彰顯出來
[00:01:50.000 --> 00:01:54.000]  是要給予一些人 就算他不信耶穌
[00:01:54.000 --> 00:02:00.000]  他也沒有辦法否定這個宇宙是有智慧 有計劃
[00:02:00.000 --> 00:02:06.000]  所以保羅說 神的永能和神聖是明明可知
[00:02:06.000 --> 00:02:08.000]  不需要教的
[00:02:08.000 --> 00:02:12.000]  你不掩著良心 你也知道這個宇宙是有來源的
[00:02:12.000 --> 00:02:15.000]  這個宇宙是有智慧的
[00:02:15.000 --> 00:02:19.000]  很多人 雖然他口裏去否定
[00:02:19.000 --> 00:02:23.000]  但有一天 當他看見一個很美麗的風景
[00:02:23.000 --> 00:02:26.000]  他心裏也會有一種感恩
[00:02:26.000 --> 00:02:29.000]  他會說 哇 真的很開心
[00:02:29.000 --> 00:02:32.000]  如果一個沒有上帝的人 他感謝甚麼呢?
[00:02:32.000 --> 00:02:37.000]  他沒有甚麼感謝 很無稽 很沒有意思
[00:02:37.000 --> 00:02:40.000]  但如果我們知道這個宇宙是有來源的時候
[00:02:40.000 --> 00:02:43.000]  我們的感謝就有意思
[00:02:43.000 --> 00:02:46.000]  感謝各位造物主
[00:02:46.000 --> 00:02:52.000]  中國的詩人蘇東坡 他不認識耶穌
[00:02:52.000 --> 00:02:55.000]  在他的《前赤壁符》
[00:02:55.000 --> 00:03:00.000]  他在長江遊覽的時候
[00:03:00.000 --> 00:03:05.000]  他突然間很驚歎的說了一句話
[00:03:05.000 --> 00:03:14.000]  「江上的清風 雲中的明月 是造物者無盡藏」
[00:03:14.000 --> 00:03:17.000]  在他心裏面 他突然間發出
[00:03:17.000 --> 00:03:22.000]  一個這麼美麗的景物 是有造物者
[00:03:22.000 --> 00:03:27.000]  雖然他信佛教 但他也忍不住去感謝
[00:03:27.000 --> 00:03:34.000]  就是我們看到這個宇宙 這個世界是屬於上帝
[00:03:34.000 --> 00:03:39.000]  當我們說 上帝是甚麼呢?
[00:03:39.000 --> 00:03:42.000]  上帝不是被人研究的
[00:03:42.000 --> 00:03:46.000]  我們沒有辦法知道上帝是甚麼
[00:03:46.000 --> 00:03:49.000]  上帝全能創造宇宙
[00:03:49.000 --> 00:03:54.000]  但宇宙不是上帝的部份
[00:03:54.000 --> 00:03:58.000]  不是上帝將它自己撕出來
[00:03:58.000 --> 00:04:02.000]  上帝是從無去創造有
[00:04:02.000 --> 00:04:06.000]  所以這個宇宙和上帝的關係
[00:04:06.000 --> 00:04:11.000]  是上帝叫有就有 說明立就立
[00:04:11.000 --> 00:04:15.000]  宇宙的根源是甚麼都沒有
[00:04:15.000 --> 00:04:20.000]  是上帝的恩典 叫宇宙出來
[00:04:20.000 --> 00:04:22.000]  從來沒有人見過上帝
[00:04:22.000 --> 00:04:26.000]  唯有傅懷裡讀生子張顯明出來
[00:04:26.000 --> 00:04:30.000]  我們能夠見到的這個宇宙
[00:04:30.000 --> 00:04:33.000]  是上帝的能力 是上帝的全能
[00:04:33.000 --> 00:04:37.000]  但上帝本身是甚麼呢?
[00:04:37.000 --> 00:04:39.000]  如果不透過耶穌基督
[00:04:39.000 --> 00:04:42.000]  我們是不明白上帝的心意
[00:04:42.000 --> 00:04:45.000]  心裡的計劃
[00:04:45.000 --> 00:04:49.000]  所以當我們去看
[00:04:49.000 --> 00:04:53.000]  在教教裡和其他宗教不同的地方
[00:04:53.000 --> 00:04:56.000]  就是從創造論裡
[00:04:56.000 --> 00:04:59.000]  因為上帝不是將自己撕出來
[00:04:59.000 --> 00:05:02.000]  所以這個世界是沒有神聖性
[00:05:02.000 --> 00:05:04.000]  這個世界是沒有精靈
[00:05:04.000 --> 00:05:09.000]  一切的事在上帝所做的時候
[00:05:09.000 --> 00:05:13.000]  都是上帝的能力的話語使它有
[00:05:13.000 --> 00:05:15.000]  所以教父的一句話
[00:05:15.000 --> 00:05:18.000]  就是從無創造有
[00:05:18.000 --> 00:05:20.000]  我們是虛無
[00:05:20.000 --> 00:05:23.000]  如果不是上帝保持著我們
[00:05:23.000 --> 00:05:24.000]  支持著我們
[00:05:24.000 --> 00:05:27.000]  我們是會灰飛煙滅
[00:05:27.000 --> 00:05:31.000]  而上帝因為他從無而創造有
[00:05:31.000 --> 00:05:34.000]  所以你和我這個世界
[00:05:34.000 --> 00:05:38.000]  在神學上就叫做「牛發性」
[00:05:38.000 --> 00:05:42.000]  「牛發性」就是不可以永恆地存在
[00:05:42.000 --> 00:05:44.000]  我們透過耶穌基督
[00:05:44.000 --> 00:05:46.000]  得到上帝的聖命
[00:05:46.000 --> 00:05:48.000]  得到上帝的生命
[00:05:48.000 --> 00:05:50.000]  我們就有永生
[00:05:50.000 --> 00:05:52.000]  如果我們沒有上帝的生命
[00:05:52.000 --> 00:05:54.000]  我們是不會有永生的
[00:05:54.000 --> 00:05:56.000]  我們是「牛發性」
[00:05:56.000 --> 00:06:01.000]  上帝為甚麼對拜偶像的人這麼憤怒
[00:06:01.000 --> 00:06:06.000]  因為那些人將暫時的事
[00:06:06.000 --> 00:06:10.000]  變成永恆的事去敬拜
[00:06:10.000 --> 00:06:13.000]  一個人將一些偶然出現的事
[00:06:13.000 --> 00:06:14.000]  當作上帝敬拜
[00:06:14.000 --> 00:06:18.000]  這對上帝來說是一個非常大的侮辱
[00:06:18.000 --> 00:06:21.000]  所以這個世界上的金錢
[00:06:21.000 --> 00:06:22.000]  地位
[00:06:22.000 --> 00:06:26.000]  甚至親情
[00:06:26.000 --> 00:06:29.000]  都不能和上帝相比
[00:06:29.000 --> 00:06:31.000]  我們從上帝以來
[00:06:31.000 --> 00:06:33.000]  沒有了上帝
[00:06:33.000 --> 00:06:37.000]  我們是不能夠永恆地存在
[00:06:37.000 --> 00:06:39.000]  透過基督的救贖
[00:06:39.000 --> 00:06:42.000]  上帝將祂的生命給我們
[00:06:42.000 --> 00:06:45.000]  我們才可以有永恆
[00:06:45.000 --> 00:06:48.000]  有永生
[00:06:48.000 --> 00:06:50.000]  在創造裏面
[00:06:50.000 --> 00:06:52.000]  上帝去創造
[00:06:52.000 --> 00:06:55.000]  六天整個宇宙做好
[00:06:55.000 --> 00:06:58.000]  第七天他就休息
[00:06:58.000 --> 00:07:00.000]  猶太人一直以為
[00:07:00.000 --> 00:07:03.000]  上帝做了六天
[00:07:03.000 --> 00:07:05.000]  第七天就不做了
[00:07:05.000 --> 00:07:07.000]  但耶穌和他們辯論
[00:07:07.000 --> 00:07:08.000]  耶穌說不是
[00:07:08.000 --> 00:07:11.000]  我父作事到如今
[00:07:11.000 --> 00:07:13.000]  我也作事
[00:07:13.000 --> 00:07:16.000]  究竟上帝是否六天創造
[00:07:16.000 --> 00:07:19.000]  就停止了甚麼都不做呢?
[00:07:19.000 --> 00:07:22.000]  安息日是否就不做事呢?
[00:07:22.000 --> 00:07:24.000]  好像當時的猶太人所說
[00:07:24.000 --> 00:07:26.000]  耶穌說不是
[00:07:26.000 --> 00:07:28.000]  安息日
[00:07:28.000 --> 00:07:31.000]  我們不去做世上的事
[00:07:31.000 --> 00:07:33.000]  但安息日
[00:07:33.000 --> 00:07:36.000]  我們要繼續上帝的旨意
[00:07:36.000 --> 00:07:39.000]  上帝去創造這個宇宙
[00:07:39.000 --> 00:07:40.000]  這個世界
[00:07:40.000 --> 00:07:44.000]  要和我們一起去共同去管理
