
[00:00:00.000 --> 00:00:04.000]  十位午安
[00:00:04.000 --> 00:00:08.000]  我們未思想這段聖經的時候
[00:00:08.000 --> 00:00:10.000]  我想大家聽一首歌
[00:00:10.000 --> 00:00:12.000]  這首歌是達明一派所唱的
[00:00:12.000 --> 00:00:14.000]  叫做十個救火的少年
[00:00:14.000 --> 00:00:18.000]  十個救火的少年
[00:00:18.000 --> 00:00:22.000]  詞曲:達明一派
[00:00:22.000 --> 00:00:48.000]  哎呀呀呀呀
[00:00:48.000 --> 00:00:52.000]  東望東夜火火警鐘聲響遍
[00:00:52.000 --> 00:00:55.000]  情侶致願判救暴動於化煙
[00:00:55.000 --> 00:01:02.000]  集合在橋邊
[00:01:02.000 --> 00:01:05.000]  十個決定去救火的少年
[00:01:05.000 --> 00:01:08.000]  其中一位想起他小端年
[00:01:08.000 --> 00:01:11.000]  實在是危險
[00:01:11.000 --> 00:01:15.000]  報了名便算
[00:01:15.000 --> 00:01:19.000]  另有別個勇敢的勝利
[00:01:19.000 --> 00:01:22.000]  為了要共愛裡一起更甜
[00:01:22.000 --> 00:01:29.000]  正笑正怯便決定轉身處
[00:01:29.000 --> 00:01:32.000]  又一位了安親的怨面
[00:01:32.000 --> 00:01:36.000]  在這社會最怕走得太前
[00:01:36.000 --> 00:01:57.000]  巴鈴巴鈴便威嚇往後轉
[00:01:57.000 --> 00:02:10.000]  哎呀呀呀呀
[00:02:10.000 --> 00:02:14.000]  十個決定去救火的少年
[00:02:14.000 --> 00:02:17.000]  來到這段落子得七勇士
[00:02:17.000 --> 00:02:24.000]  集合在橋邊
[00:02:24.000 --> 00:02:27.000]  為了決定去救火的主見
[00:02:27.000 --> 00:02:30.000]  其中三位竟終於翻了臉
[00:02:30.000 --> 00:02:33.000]  萬馬俱逐離開
[00:02:33.000 --> 00:02:38.000]  置身不願見
[00:02:38.000 --> 00:02:41.000]  尚有四個穩健成員
[00:02:41.000 --> 00:02:44.000]  有兩個人說卻不肯向前
[00:02:44.000 --> 00:02:51.000]  在理論裡沒發明過根煙
[00:02:51.000 --> 00:02:55.000]  被天下了這三位成員
[00:02:55.000 --> 00:02:58.000]  沒法去令這馬火不再燃
[00:02:58.000 --> 00:03:05.000]  雙手之間就心意這倍變
[00:03:05.000 --> 00:03:08.000]  在這夜這馬火將燎原
[00:03:08.000 --> 00:03:12.000]  大眾已能保這三位少年
[00:03:12.000 --> 00:03:19.000]  就此再願用處沒有一天
[00:03:19.000 --> 00:03:22.000]  在這夜這馬火將燎原
[00:03:22.000 --> 00:03:25.000]  大眾已能保這三位少年
[00:03:25.000 --> 00:03:27.000]  願血連綫
[00:03:27.000 --> 00:03:30.000]  願雪止有血天
[00:03:30.000 --> 00:03:43.000]  一一得九 九加一得八 八加一得七 十加一得六
[00:03:43.000 --> 00:04:02.000]  (音樂)
[00:04:02.000 --> 00:04:08.000]  我想問有多少人聽過這首歌?
[00:04:08.000 --> 00:04:13.000]  有多少人知道這首歌的背景是什麼?
[00:04:13.000 --> 00:04:18.000]  發明一派本來是基督徒
[00:04:18.000 --> 00:04:21.000]  去教會就走了
[00:04:21.000 --> 00:04:25.000]  為什麼他離開教會離開基督教呢?
[00:04:25.000 --> 00:04:27.000]  他就作了這首歌
[00:04:27.000 --> 00:04:29.000]  十個救火的少年
