
[00:00:00.000 --> 00:00:06.000]  其實我們不只是看這幾節聖經
[00:00:06.000 --> 00:00:09.000]  請我們再看盧家福音
[00:00:09.000 --> 00:00:15.000]  我們應該由24節開始看
[00:00:15.000 --> 00:00:17.000]  如果有聖經的話
[00:00:17.000 --> 00:00:21.000]  可以打開盧家福音第18章24節
[00:00:21.000 --> 00:00:23.000]  我們再讀到30節
[00:00:23.000 --> 00:00:26.000]  24節 耶穌看見他就說
[00:00:26.000 --> 00:00:30.000]  有錢財的人進神的國是何等的難哪?
[00:00:30.000 --> 00:00:35.000]  駱駝穿過針的眼比財主進神的國還容易呢?
[00:00:35.000 --> 00:00:37.000]  聽見的人說:這樣誰能得救呢?
[00:00:37.000 --> 00:00:41.000]  耶穌說:在人所不能的事在神卻能
[00:00:41.000 --> 00:00:46.000]  彼得說:看來我們已經撇下自己所有的根除了
[00:00:46.000 --> 00:00:48.000]  耶穌說:我實在告訴你們
[00:00:48.000 --> 00:00:51.000]  因為神的國撇下房屋
[00:00:51.000 --> 00:00:55.000]  或是妻子弟兄父母兒女
[00:00:55.000 --> 00:00:57.000]  沒有在今世不得百倍
[00:00:57.000 --> 00:01:00.000]  在來世不得永生的
[00:01:00.000 --> 00:01:04.000]  請我們再一次同心低頭來祈禱
[00:01:04.000 --> 00:01:05.000]  天父我們再一次感謝你
[00:01:05.000 --> 00:01:09.000]  讓我們有寶貴的話語作為我們生命的支因
[00:01:09.000 --> 00:01:11.000]  特別我們今天思想到錢的問題
[00:01:11.000 --> 00:01:14.000]  也讓我們能夠有一個正確的態度
[00:01:14.000 --> 00:01:16.000]  奉耶穌基督的名求 阿們
[00:01:16.000 --> 00:01:20.000]  錢是一隻怪物
[00:01:20.000 --> 00:01:22.000]  是不是啊?
[00:01:23.000 --> 00:01:27.000]  全中國香火最盛的寺廟
[00:01:27.000 --> 00:01:30.000]  就是杭州高峰的靈順寺
[00:01:30.000 --> 00:01:32.000]  有多少人去過靈順寺?
[00:01:32.000 --> 00:01:34.000]  有多少人去過杭州西湖?
[00:01:34.000 --> 00:01:37.000]  你去過杭州西湖沒去過靈順寺?
[00:01:37.000 --> 00:01:40.000]  這個靈順寺就是杭州西湖
[00:01:40.000 --> 00:01:43.000]  比較最高的地方
[00:01:43.000 --> 00:01:45.000]  叫做高峰靈順寺
[00:01:45.000 --> 00:01:48.000]  由靈隱寺一直走到靈順寺
[00:01:48.000 --> 00:01:50.000]  大概十分鐘左右
[00:01:50.000 --> 00:01:55.000]  這個寺廟是全中國香火最盛的
[00:01:55.000 --> 00:01:59.000]  一天之內有九萬個信眾進香
[00:01:59.000 --> 00:02:01.000]  九萬個
[00:02:01.000 --> 00:02:03.000]  如果你想進香
[00:02:03.000 --> 00:02:06.000]  就要等六個小時才輪到你
[00:02:06.000 --> 00:02:12.000]  任何一間基督教教會沒有這間寺廟這麼香盛
[00:02:12.000 --> 00:02:16.000]  老實說如果你說來三環寺播道會聽到要等六個小時
[00:02:16.000 --> 00:02:18.000]  我想你每個人都走了
[00:02:18.000 --> 00:02:23.000]  說到靈順寺
[00:02:23.000 --> 00:02:25.000]  內頭真的不少
[00:02:25.000 --> 00:02:30.000]  杭州西湖西北最高山峰
[00:02:30.000 --> 00:02:31.000]  高314米
[00:02:31.000 --> 00:02:32.000]  不是很高
[00:02:32.000 --> 00:02:34.000]  有一條古道
[00:02:34.000 --> 00:02:36.000]  可以由靈隱寺一直走上去
[00:02:36.000 --> 00:02:38.000]  大概一千級石級
[00:02:38.000 --> 00:02:40.000]  一直清溪迴轉
[00:02:40.000 --> 00:02:42.000]  林木重疊
[00:02:42.000 --> 00:02:44.000]  古人有詩說
[00:02:44.000 --> 00:02:49.000]  長大與半空南風總成雲
[00:02:49.000 --> 00:02:51.000]  古人有一首詩
[00:02:51.000 --> 00:02:56.000]  一路走就一路背這首詩
[00:02:56.000 --> 00:03:01.000]  說起來這首詩
[00:03:01.000 --> 00:03:04.000]  這個古字是建在東晉時期
[00:03:04.000 --> 00:03:07.000]  東晉的咸和年間
[00:03:07.000 --> 00:03:09.000]  它現在大概一千六百年
[00:03:09.000 --> 00:03:11.000]  有一千六百年的歷史
[00:03:11.000 --> 00:03:14.000]  年年都是香火成的
[00:03:14.000 --> 00:03:16.000]  香火成熟一千六百年
[00:03:16.000 --> 00:03:18.000]  你會問
[00:03:18.000 --> 00:03:20.000]  為什麼這間寺院
[00:03:20.000 --> 00:03:22.000]  會香火成熟呢
