
[00:00:00.000 --> 00:00:05.000]  很喜歡聽分享見證很有意思
[00:00:05.000 --> 00:00:08.000]  今天我好彩我聽了兩場
[00:00:08.000 --> 00:00:16.000]  今天我們聽到有為了弟弟一早帶他去讀書的那種掙扎
[00:00:16.000 --> 00:00:18.000]  但是是一個祝福
[00:00:18.000 --> 00:00:21.000]  第二堂我講到的時候有另外一對夫婦分享
[00:00:21.000 --> 00:00:24.000]  父母有兩個弟弟又有兩個弟弟
[00:00:24.000 --> 00:00:30.000]  他就要掙扎夫妻兩個人如何輪流回主一學
[00:00:30.000 --> 00:00:33.000]  等弟弟那種掙扎
[00:00:33.000 --> 00:00:35.000]  最終也是一個很大的祝福
[00:00:35.000 --> 00:00:39.000]  兒子因為他爸爸主一學選擇做班長成為英雄
[00:00:39.000 --> 00:00:42.000]  覺得他爸爸還有一本聖經送
[00:00:42.000 --> 00:00:48.000]  所以突然間幫助到父子關係有很大的改進
[00:00:48.000 --> 00:00:50.000]  這些都是神的祝福所以很感恩
[00:00:50.000 --> 00:00:54.000]  看到我們很強調我們的家庭
[00:00:54.000 --> 00:00:59.000]  我們夫妻今天第二堂那兩位就牽著手上來做見證
[00:00:59.000 --> 00:01:00.000]  很sweet的
[00:01:00.000 --> 00:01:03.000]  今天這對就搭著腰這樣下去
[00:01:03.000 --> 00:01:08.000]  所以這些我們北宣家要這樣
[00:01:08.000 --> 00:01:11.000]  因為真是一個愛裏面的表達
[00:01:11.000 --> 00:01:14.000]  家庭敬拜神的緣故
[00:01:14.000 --> 00:01:16.000]  我們能夠得到一個更真實的幸福
[00:01:16.000 --> 00:01:18.000]  這個是我們的祝福
[00:01:18.000 --> 00:01:21.000]  今天主一學主日我們一定要看聖經
[00:01:21.000 --> 00:01:23.000]  我們打開剛才所讀的那段聖經
[00:01:23.000 --> 00:01:25.000]  哥羅西書的第一章
[00:01:25.000 --> 00:01:29.000]  在大家唐用聖經的1770頁
[00:01:29.000 --> 00:01:32.000]  哥羅西書第一章
[00:01:32.000 --> 00:01:36.000]  我們看保羅寫給哥羅西教會的那封信裏面
[00:01:36.000 --> 00:01:41.000]  開頭的十二節的說話
[00:01:41.000 --> 00:01:46.000]  主一學是要認真去學習神的真理
[00:01:46.000 --> 00:01:47.000]  大家都知道的
