
[00:00:00.000 --> 00:00:07.440]  上一堂我們完了五章第一到十七節
[00:00:07.440 --> 00:00:14.000]  這一段我們說是阿摩斯書中間的部分的中間部分
[00:00:14.000 --> 00:00:16.960]  阿摩斯書中間的部分
[00:00:16.960 --> 00:00:20.560]  是由第三章第九節開始
[00:00:20.560 --> 00:00:23.840]  一直到六章第十四節
[00:00:23.840 --> 00:00:26.320]  之前就是第一章
[00:00:26.320 --> 00:00:28.800]  我們很久之前看過了
[00:00:28.800 --> 00:00:34.320]  第一章第二節說上主好像獅子咆哮
[00:00:34.320 --> 00:00:42.240]  三章第八節重複呼應上主好像獅子咆哮的主題
[00:00:42.240 --> 00:00:44.800]  第三部分我們還沒看
[00:00:44.800 --> 00:00:46.560]  不過我們已經預告了
[00:00:46.560 --> 00:00:49.920]  阿摩斯傳捲書的標題說
[00:00:49.920 --> 00:00:55.680]  是他所見到針對以色列的說話
[00:00:55.680 --> 00:00:59.840]  阿摩斯要說的話是他所見到的不是他所聽到的
[00:00:59.840 --> 00:01:01.360]  我們說過了
[00:01:01.360 --> 00:01:07.520]  所以傳捲書的焦點或者傳捲書最重要的部分
[00:01:07.520 --> 00:01:11.360]  就是第三部分第七第八第九章裡面
[00:01:11.360 --> 00:01:15.120]  那一連串阿摩斯所見到的東西
[00:01:15.120 --> 00:01:19.840]  不過在說到他所見到的事情之前
[00:01:19.840 --> 00:01:24.880]  阿摩斯需要預備他的聽眾
[00:01:24.880 --> 00:01:28.400]  所以在第一部分我們見到他很花心機
[00:01:28.400 --> 00:01:36.880]  來預備以色列去聆聽上主審判的訊息
[00:01:36.880 --> 00:01:42.960]  他用了一個先知的身份出現
[00:01:42.960 --> 00:01:48.080]  宣佈上主要懲罰以色列的敵人
[00:01:48.080 --> 00:01:51.040]  用這個手法去引起他的聽眾
[00:01:51.040 --> 00:01:56.480]  即是以色列的百姓的認同、接納
[00:01:56.480 --> 00:02:00.480]  但是當他的聽眾還在高興的時候
[00:02:00.480 --> 00:02:03.680]  先知阿摩斯一氣呵成
[00:02:03.680 --> 00:02:09.280]  宣講上主審判以色列的訊息
[00:02:09.280 --> 00:02:15.360]  我們又說過阿摩斯這樣的開場白是很成功
[00:02:15.360 --> 00:02:18.480]  因為第三章第一第二節
[00:02:18.480 --> 00:02:21.040]  從阿摩斯繼續說下去
[00:02:21.040 --> 00:02:27.440]  我們可以推斷到他的聽眾有反應、有問題
[00:02:27.440 --> 00:02:30.640]  有不同意、有爭論
[00:02:30.640 --> 00:02:32.480]  所以三章一至八節
[00:02:32.480 --> 00:02:35.760]  阿摩斯接著的解釋證明
[00:02:35.760 --> 00:02:45.120]  他的訊息是已經進入到他的聽眾的心裡面
[00:02:45.120 --> 00:02:48.560]  有產生正確的反應、問題
[00:02:48.560 --> 00:02:51.520]  就是吃驚、沒有預料到
[00:02:51.520 --> 00:02:52.880]  為甚麼會這樣?
[00:02:52.880 --> 00:02:54.880]  我們豈不是神的選民嗎?
[00:02:54.880 --> 00:02:56.880]  上帝不是幫我們的嗎?
[00:02:56.880 --> 00:02:58.880]  為甚麼你現在來指責我們呢?
[00:02:58.880 --> 00:03:01.840]  中間這一部分
[00:03:01.840 --> 00:03:04.960]  我們說過是一個倒影的結構
[00:03:04.960 --> 00:03:07.840]  中間這一部分
[00:03:07.840 --> 00:03:11.760]  如果說分開三段來說
[00:03:11.760 --> 00:03:14.560]  第一段即是倒影的上半
[00:03:14.560 --> 00:03:19.040]  三章第九節到四章十三節
[00:03:19.040 --> 00:03:21.040]  分開四個小段
[00:03:21.040 --> 00:03:25.520]  都是描寫以色列那種
[00:03:25.520 --> 00:03:28.560]  你可以說那些領袖們
[00:03:28.560 --> 00:03:33.120]  他們的生活、他們的問題所在
[00:03:33.120 --> 00:03:37.040]  在這裡我們可以很清楚再強調
[00:03:37.040 --> 00:03:44.000]  以色列的問題不是宗教信仰的表現不夠虔誠
[00:03:44.000 --> 00:03:47.840]  摩斯所針對的是他們社會上
[00:03:47.840 --> 00:03:54.880]  對他們當中的弱小人物
