
[00:00:00.000 --> 00:00:05.600]  各位親愛的弟兄姐妹們 平安
[00:00:05.600 --> 00:00:11.120]  經過了幾個月和大家分享出埃及地的信息
[00:00:11.120 --> 00:00:15.120]  來到現在 我就很想和大家做一個總結
[00:00:15.120 --> 00:00:17.720]  當我們做總結的時候
[00:00:17.720 --> 00:00:22.520]  恰恰看到我們關注的兩個國家
[00:00:22.520 --> 00:00:26.120]  一個是美國 一個是以色列
[00:00:26.120 --> 00:00:33.720]  都是和信仰有非常大的關係的國家 發生的事
[00:00:33.720 --> 00:00:36.520]  我願意和大家來分享
[00:00:36.520 --> 00:00:44.720]  克林頓總統在今年2月28日
[00:00:44.720 --> 00:00:50.720]  是極少的 是前任總統公開來發表
[00:00:50.720 --> 00:00:54.720]  有關對現任政府的一些看法
[00:00:54.720 --> 00:00:58.720]  過去歷史上從未發生過
[00:00:58.720 --> 00:01:05.720]  但他發表的東西是指到他極度關注現屆政府
[00:01:05.720 --> 00:01:08.720]  做了些什麼呢?
[00:01:08.720 --> 00:01:14.720]  他就說 特朗普總統繞過了國會
[00:01:14.720 --> 00:01:18.720]  是沒有知會任何外地的駐軍
[00:01:18.720 --> 00:01:29.720]  沒有知會盟國 甚至任何人中東合作的夥伴
[00:01:29.720 --> 00:01:36.720]  連國會都沒有知會殺死了伊朗最高領袖
[00:01:36.720 --> 00:01:44.720]  換句話說 這是一個發動全面的戰爭
[00:01:44.720 --> 00:01:48.720]  所以要留意美國的憲法非常清楚
[00:01:48.720 --> 00:01:57.720]  所有宣戰是必須要通過國會來發表
[00:01:57.720 --> 00:02:02.720]  但你現在看得見他殺死了人家最高的領袖
[00:02:02.720 --> 00:02:06.720]  換句話說已經是發動全面的戰爭
[00:02:06.720 --> 00:02:10.720]  盟國都未知 在中東的駐軍又未知
[00:02:10.720 --> 00:02:17.720]  國會也未知 全世界都未知 一下子就殺死了
[00:02:17.720 --> 00:02:21.720]  第二樣特別的是奧巴馬
[00:02:21.720 --> 00:02:25.720]  奧巴馬發表各種講話
[00:02:25.720 --> 00:02:33.720]  由去年年底開始一直髮表他對現任政府的一些政策
[00:02:33.720 --> 00:02:36.720]  和一些關注的地方
[00:02:36.720 --> 00:02:41.720]  特別是從各種的政策危機去到道德的危機
[00:02:41.720 --> 00:02:45.720]  來對他們講
[00:02:45.720 --> 00:02:51.720]  他關注美國從來沒有試過有這麼嚴重的憲制危機
[00:02:51.720 --> 00:02:56.720]  多次藐視法庭 但仍然未下臺
[00:02:56.720 --> 00:03:00.720]  你用什麼方法令他下臺呢
[00:03:00.720 --> 00:03:06.720]  但當你說彈劾 彈劾在衆議院還不通過
[00:03:06.720 --> 00:03:09.720]  你只要過半就可以彈劾
[00:03:09.720 --> 00:03:18.720]  但在senator那邊你必須通過三分二的票數纔可以彈劾
[00:03:18.720 --> 00:03:23.720]  但到現在爲止 共和黨仍然是共和黨
[00:03:23.720 --> 00:03:28.720]  只有極少數的人願意彈劾
[00:03:28.720 --> 00:03:34.720]  如果是這樣就沒辦法通過三分二的票數去彈劾
[00:03:34.720 --> 00:03:41.720]  因爲這樣的緣故 現在就沿着衆議院通過了
[00:03:41.720 --> 00:03:48.720]  但仍未讓senator那邊通過
[00:03:48.720 --> 00:03:53.720]  我們再看一看 議會是否毫無作爲呢
[00:03:53.720 --> 00:03:59.720]  又不是 他們一直用盡各種不同的方法
[00:03:59.720 --> 00:04:04.720]  將政府裏面的違規說出來
[00:04:04.720 --> 00:04:09.720]  他們現在採取的方法是逐個擊破
[00:04:09.720 --> 00:04:16.720]  將班底裏面的高官 首先是司法部長
[00:04:16.720 --> 00:04:23.720]  最近爆出來的醜聞是Epstein淫媒的這些新聞
[00:04:23.720 --> 00:04:26.720]  這些新聞爆出來的時候
[00:04:26.720 --> 00:04:32.720]  有很多是討污了 有些名字是隱藏了不讓人知道
[00:04:32.720 --> 00:04:34.720]  另外有一些是刪除了
[00:04:34.720 --> 00:04:44.720]  有一些甚至完全不知道如何死了
[00:04:44.720 --> 00:04:50.720]  包括杜高的主角 死了都不知道如何死
[00:04:50.720 --> 00:04:54.720]  我們再看一看 由頭到尾
[00:04:54.720 --> 00:04:59.720]  議會來質詢司法部長的時候
[00:04:59.720 --> 00:05:04.720]  全部問的問題他顧左右而策
[00:05:04.720 --> 00:05:08.720]  暗不冷就是爲了辯護總統
[00:05:08.720 --> 00:05:11.720]  他沒有做過任何不好的事情
[00:05:11.720 --> 00:05:16.720]  但是那些很簡單的是或是非
[00:05:16.720 --> 00:05:22.720]  全部都不是按照議員認定的
[00:05:22.720 --> 00:05:26.720]  是因爲這樣的緣故 議員認定了
[00:05:26.720 --> 00:05:30.720]  按照一個律師辯論的時候
[00:05:30.720 --> 00:05:34.720]  他們一起有的 連官都認同的
[00:05:34.720 --> 00:05:37.720]  如果你沉默了很多時間
[00:05:37.720 --> 00:05:41.720]  你都不說是誰指使你的
[00:05:41.720 --> 00:05:42.720]  你都不出聲的時候
[00:05:42.720 --> 00:05:46.720]  或者是或不是你都不回答的時候
[00:05:46.720 --> 00:05:50.720]  你經過多少秒就證實你是隱瞞
[00:05:50.720 --> 00:05:52.720]  你是在撒謊
[00:05:52.720 --> 00:05:56.720]  是和你的宣誓有出用
[00:05:56.720 --> 00:06:00.720]  所以這個由頭到尾被人發現
[00:06:00.720 --> 00:06:03.720]  很多地方是毀滅警惕
[00:06:03.720 --> 00:06:05.720]  很多地方是撒謊
[00:06:05.720 --> 00:06:09.720]  很多地方是隱瞞事實
[00:06:09.720 --> 00:06:16.720]  因爲這樣連總統都要求他離職
[00:06:16.720 --> 00:06:19.720]  但是告訴大家
[00:06:19.720 --> 00:06:27.720]  他隨時可以轉任紅方的證人
[00:06:27.720 --> 00:06:30.720]  由他親自爆出來
[00:06:30.720 --> 00:06:35.720]  他是受誰指使來到這樣的地步
[00:06:35.720 --> 00:06:38.720]  另外國防部長上任之後
[00:06:38.720 --> 00:06:47.720]  將多個非常經驗豐富的司令炒掉
[00:06:47.720 --> 00:06:50.720]  七個
[00:06:50.720 --> 00:06:54.720]  十一個當中七個炒掉
[00:06:54.720 --> 00:06:58.720]  而這一幫人全部是經驗豐富
[00:06:58.720 --> 00:07:00.720]  是一個智囊
[00:07:00.720 --> 00:07:04.720]  但是突然之間你打了這樣的戰爭
[00:07:04.720 --> 00:07:07.720]  你沒有這些有經驗的人在的時候
[00:07:07.720 --> 00:07:10.720]  帶來的士氣是打擊
[00:07:10.720 --> 00:07:16.720]  另外一個總統的太太
[00:07:16.720 --> 00:07:17.720]  Millennium
[00:07:17.720 --> 00:07:22.720]  她一開始否認是認識Epstein
[00:07:22.720 --> 00:07:25.720]  或者和他不熟
[00:07:25.720 --> 00:07:28.720]  誰知道被人爆了照片出來
[00:07:28.720 --> 00:07:32.720]  她曾經私下坐過Epstein的私人飛機
[00:07:32.720 --> 00:07:35.720]  去其他地方
[00:07:35.720 --> 00:07:38.720]  另外非常熟的關係
[00:07:38.720 --> 00:07:44.720]  而總統和她結婚前已經一段時間認識
[00:07:44.720 --> 00:07:52.720]  這個是FBI的首長
[00:07:52.720 --> 00:07:56.720]  一張照片爆了出來
[00:07:56.720 --> 00:07:59.720]  不攻自破
[00:07:59.720 --> 00:08:02.720]  因爲在議會里面
[00:08:02.720 --> 00:08:04.720]  人家問司法部長
[00:08:04.720 --> 00:08:07.720]  當這些少年人
[00:08:07.720 --> 00:08:10.720]  是十幾歲的女孩子
[00:08:10.720 --> 00:08:13.720]  被一些人邀請去晚宴
[00:08:13.720 --> 00:08:16.720]  去酒會等等的時候
[00:08:16.720 --> 00:08:19.720]  總統在不在場
[00:08:19.720 --> 00:08:22.720]  沒有回答
[00:08:22.720 --> 00:08:24.720]  但是這張照片
[00:08:24.720 --> 00:08:26.720]  被人看得到
[00:08:26.720 --> 00:08:27.720]  根本上
[00:08:27.720 --> 00:08:30.720]  她是其中一個主角
[00:08:30.720 --> 00:08:33.720]  另外
[00:08:33.720 --> 00:08:36.720]  Trump夫婦和Epstein的夫婦
[00:08:36.720 --> 00:08:38.720]  是否真的這麼生疏呢?
[00:08:38.720 --> 00:08:39.720]  絕對不是
[00:08:39.720 --> 00:08:42.720]  然後FBI的首長
[00:08:42.720 --> 00:08:46.720]  後來逐步逐步問非所答
[00:08:46.720 --> 00:08:49.720]  我猶豫言他
[00:08:49.720 --> 00:08:51.720]  但最終被人推到一個地步
[00:08:51.720 --> 00:08:53.720]  爆了一些東西出來
[00:08:53.720 --> 00:08:56.720]  是他殺了Epstein
[00:08:56.720 --> 00:08:59.720]  他受誰的命令來殺
[00:08:59.720 --> 00:09:03.720]  這就是最重要的關注
[00:09:03.720 --> 00:09:05.720]  所以因爲這樣
[00:09:05.720 --> 00:09:07.720]  這也是被議會
[00:09:07.720 --> 00:09:09.720]  有更大的把握
[00:09:09.720 --> 00:09:13.720]  來將他們繩之以法
[00:09:13.720 --> 00:09:16.720]  這張照片撕了出來
[00:09:16.720 --> 00:09:17.720]  帶來的結果
[00:09:17.720 --> 00:09:22.720]  是讓很多那些所謂遮掩人的
[00:09:22.720 --> 00:09:25.720]  掩人眼目的那些說法
[00:09:25.720 --> 00:09:27.720]  不攻自破
[00:09:27.720 --> 00:09:30.720]  全部出來
[00:09:30.720 --> 00:09:33.720]  Supreme Court的法官
[00:09:33.720 --> 00:09:36.720]  也是決定將特朗普
[00:09:36.720 --> 00:09:41.720]  是因爲他藐視法庭來定罪
[00:09:41.720 --> 00:09:47.720]  但如何讓他下臺呢?
[00:09:47.720 --> 00:09:49.720]  這真是雙透錄
[00:09:49.720 --> 00:09:52.720]  現在也是一個憲制的危機
[00:09:52.720 --> 00:09:55.720]  如果一入Senator那邊
[00:09:55.720 --> 00:09:59.720]  不去彈劾他
[00:09:59.720 --> 00:10:01.720]  又成功彈劾到他的時候
[00:10:01.720 --> 00:10:04.720]  他一樣可以逃之夭夭
[00:10:04.720 --> 00:10:07.720]  沒辦法能夠做
[00:10:07.720 --> 00:10:10.720]  奧巴馬
[00:10:10.720 --> 00:10:13.720]  從未試過由一個總統上任
[00:10:13.720 --> 00:10:17.720]  前任有兩個總統先後
[00:10:17.720 --> 00:10:20.720]  都要去質詢一些事情
[00:10:20.720 --> 00:10:22.720]  差不多半年前
[00:10:22.720 --> 00:10:26.720]  奧巴馬已經在質詢
[00:10:26.720 --> 00:10:30.720]  總統的女兒
[00:10:30.720 --> 00:10:35.720]  到底和她的所謂弟弟
[00:10:35.720 --> 00:10:40.720]  他的關係是怎樣
[00:10:40.720 --> 00:10:41.720]  一開始
[00:10:41.720 --> 00:10:46.720]  奧巴馬已經有很多不同的證據
[00:10:46.720 --> 00:10:51.720]  證明這些事情一定有所隱瞞
[00:10:51.720 --> 00:10:53.720]  爲什麼呢?
[00:10:53.720 --> 00:10:57.720]  因爲這個人突然出現
[00:10:57.720 --> 00:11:01.720]  沒有醫院的記錄
[00:11:01.720 --> 00:11:03.720]  不是在美國出生
[00:11:03.720 --> 00:11:05.720]  一出生的時候回來
[00:11:05.720 --> 00:11:08.720]  認識特朗普的太太的人
[00:11:08.720 --> 00:11:11.720]  從來沒有見過特朗普的太太懷孕
[00:11:11.720 --> 00:11:13.720]  國人都是這樣
[00:11:13.720 --> 00:11:20.720]  後來有個電視的主持
[00:11:20.720 --> 00:11:27.720]  找了很多不同的證據出來
[00:11:27.720 --> 00:11:35.720]  就是瑞士那邊接他下來的醫院
[00:11:35.720 --> 00:11:38.720]  有一個護士作證
[00:11:38.720 --> 00:11:43.720]  另外就是爲了總統的女兒
[00:11:43.720 --> 00:11:49.720]  去瑞士那邊準備生育的時候
[00:11:49.720 --> 00:11:51.720]  去做一切
[00:11:51.720 --> 00:11:55.720]  機票、預約、醫院各方面的事情
[00:11:55.720 --> 00:11:59.720]  連那個助理都願意作供
[00:11:59.720 --> 00:12:01.720]  是因爲這個緣故
[00:12:01.720 --> 00:12:04.720]  當時在這個電視臺
[00:12:04.720 --> 00:12:09.720]  就將這些證供一一捆繩
[00:12:09.720 --> 00:12:11.720]  講出來
[00:12:11.720 --> 00:12:14.720]  我想最令人震撼的一件事
[00:12:14.720 --> 00:12:17.720]  就是總統的夫人
[00:12:17.720 --> 00:12:22.720]  在一個電話的錄音裏
[00:12:22.720 --> 00:12:27.720]  這位主持播放的聲音
[00:12:27.720 --> 00:12:33.720]  梅琳娜非常清楚地說
[00:12:33.720 --> 00:12:36.720]  不是她生Beret出來的
[00:12:36.720 --> 00:12:40.720]  是誰生他出來的呢?
[00:12:40.720 --> 00:12:44.720]  是Ivanka
[00:12:44.720 --> 00:12:48.720]  現在我們可以說
[00:12:48.720 --> 00:12:52.720]  一般人都以爲
[00:12:52.720 --> 00:12:57.720]  這個Beret和她是一個姐弟的關係
[00:12:57.720 --> 00:13:01.720]  但是現在爆了一件事
[00:13:01.720 --> 00:13:04.720]  不是的
[00:13:04.720 --> 00:13:09.720]  Ivanka是她親生的媽媽
[00:13:09.720 --> 00:13:12.720]  是因爲這樣的緣故
[00:13:12.720 --> 00:13:17.720]  當時令到她當場爆哭
[00:13:17.720 --> 00:13:20.720]  當我們留意這些的時候
[00:13:20.720 --> 00:13:22.720]  各位聽衆
[00:13:22.720 --> 00:13:24.720]  你就知道
[00:13:24.720 --> 00:13:26.720]  原來現在已經打到近身了
[00:13:26.720 --> 00:13:29.720]  經濟學家預測
[00:13:29.720 --> 00:13:33.720]  美國經濟會每況愈下
[00:13:33.720 --> 00:13:35.720]  主要的原因是什麼呢?
[00:13:35.720 --> 00:13:40.720]  因爲戰爭是最昂貴和削弱經濟的因素
[00:13:40.720 --> 00:13:44.720]  特別是美國的導彈
[00:13:44.720 --> 00:13:46.720]  美國的飛機、直升機
[00:13:46.720 --> 00:13:49.720]  是非常昂貴的東西
[00:13:49.720 --> 00:13:53.720]  如果用這些導彈來防衛
[00:13:53.720 --> 00:13:55.720]  人家是幾千美元
[00:13:55.720 --> 00:14:00.720]  你用十萬、八萬甚至幾十萬的導彈
[00:14:00.720 --> 00:14:02.720]  將它打下來
