
[00:00:00.000 --> 00:00:06.000]  根據《新約聖經》的記載
[00:00:06.000 --> 00:00:11.000]  耶穌在在世的時候
[00:00:11.000 --> 00:00:16.000]  呼召了多少個門徒跟從祂?
[00:00:16.000 --> 00:00:21.000]  我們記得約翰告訴我們
[00:00:21.000 --> 00:00:26.000]  耶穌所收的門徒比施洗約翰還多
[00:00:26.000 --> 00:00:33.000]  不少了,不可以計算五餅二魚
[00:00:33.000 --> 00:00:38.000]  吃飽那五千人,那些都是今晚來聽一堂道
[00:00:38.000 --> 00:00:40.000]  不是一路跟著耶穌的
[00:00:40.000 --> 00:00:45.000]  不過保羅在哥林多前書曾經說過
[00:00:45.000 --> 00:00:53.000]  耶穌復活之後一次向五百個弟兄顯現
[00:00:53.000 --> 00:00:59.000]  團契聚會?五百個弟兄
[00:00:59.000 --> 00:01:02.000]  不過保羅不在場
[00:01:02.000 --> 00:01:05.000]  所以可能他道聽途說
[00:01:05.000 --> 00:01:08.000]  可能以訛傳訛,不會的
[00:01:08.000 --> 00:01:12.000]  《聖經》權威說這些數字應該沒錯
[00:01:12.000 --> 00:01:15.000]  路加醫生所記載
[00:01:15.000 --> 00:01:28.000]  耶穌升天然後在耶路撒冷120人祈禱等候聖靈
[00:01:28.000 --> 00:01:32.000]  這個數字應該更加準確
[00:01:32.000 --> 00:01:36.000]  還有你會記得70個人
[00:01:36.000 --> 00:01:43.000]  耶穌差遣他們兩個兩個出去傳道
[00:01:43.000 --> 00:01:49.000]  福音書當然有名有姓記錄下來的
[00:01:49.000 --> 00:01:52.000]  是12個使徒
[00:01:52.000 --> 00:01:54.000]  他們在主耶穌的身邊
[00:01:54.000 --> 00:01:58.000]  但無論你怎樣加起這條數都好
[00:01:58.000 --> 00:02:02.000]  在跟從耶穌的門徒當中
[00:02:02.000 --> 00:02:07.000]  耶穌是特別選了三個人
[00:02:07.000 --> 00:02:09.000]  是特別親密的
[00:02:09.000 --> 00:02:13.000]  入室弟子,inner circle
[00:02:13.000 --> 00:02:18.000]  彼得、雅各、約翰
[00:02:18.000 --> 00:02:25.000]  彼得的弟弟安德烈最早在約旦河
[00:02:25.000 --> 00:02:27.000]  他是施洗約翰的門徒
[00:02:27.000 --> 00:02:30.000]  施洗約翰見證耶穌漢雅神的羔羊
[00:02:30.000 --> 00:02:34.000]  於是安德烈回去跟他哥哥西門
[00:02:34.000 --> 00:02:37.000]  介紹我們找到尼塞亞
[00:02:37.000 --> 00:02:40.000]  耶穌為西門改名彼得
[00:02:40.000 --> 00:02:44.000]  不過彼得不是在約旦河跟從主
[00:02:44.000 --> 00:02:49.000]  因為傅雷福音、馬太、馬可、路加都告訴我們
[00:02:49.000 --> 00:02:56.000]  是在加利利海撇下魚網跟從主
[00:02:56.000 --> 00:03:00.000]  而同時跟從主的就是西比泰的兩個兒子
[00:03:00.000 --> 00:03:03.000]  兩兄弟都是一起打魚的
[00:03:03.000 --> 00:03:08.000]  他們撇下魚網和父親
[00:03:08.000 --> 00:03:11.000]  這樣去跟從耶穌
[00:03:11.000 --> 00:03:19.000]  兩兄弟都入選成為耶穌身邊的入室弟子
[00:03:19.000 --> 00:03:22.000]  不簡單
[00:03:22.000 --> 00:03:27.000]  兩兄弟當時幾多歲?
[00:03:27.000 --> 00:03:31.000]  我猜是十八、二十歲
[00:03:31.000 --> 00:03:35.000]  耶穌都是三十歲
[00:03:35.000 --> 00:03:38.000]  你不會想像一群七老八十
[00:03:38.000 --> 00:03:41.000]  你不會想像一群成年人
[00:03:41.000 --> 00:03:44.000]  會跟一個三十歲
[00:03:44.000 --> 00:03:49.000]  好像還是很年輕的夫子
[00:03:49.000 --> 00:03:53.000]  但跟從他的這群門徒
[00:03:53.000 --> 00:03:55.000]  沒有枕頭的地方
[00:03:55.000 --> 00:03:58.000]  狐狸有洞、天空飛鳥有窩
[00:03:58.000 --> 00:04:01.000]  人子到處去傳道
[00:04:01.000 --> 00:04:04.000]  跟著他的十二門徒
[00:04:04.000 --> 00:04:10.000]  如果不是年輕的都不會去金鐘墳
[00:04:10.000 --> 00:04:14.000]  雅各和約翰跟從主
[00:04:14.000 --> 00:04:17.000]  從加利利海邊開始
[00:04:17.000 --> 00:04:23.000]  耶穌特別將這三個門徒帶在身邊
[00:04:23.000 --> 00:04:26.000]  例如你有沒有留意?讀福音書
[00:04:26.000 --> 00:04:30.000]  有時這些細節很值得我們再想深入一點
[00:04:30.000 --> 00:04:35.000]  艾魯的女兒復活那一次
[00:04:35.000 --> 00:04:37.000]  外面很虛潭
[00:04:37.000 --> 00:04:40.000]  你不要理會門口說甚麼
[00:04:40.000 --> 00:04:43.000]  耶穌就是帶了三個門徒
[00:04:43.000 --> 00:04:45.000]  進入房間裡
[00:04:45.000 --> 00:04:48.000]  跟艾魯和他太太
[00:04:48.000 --> 00:04:55.000]  叫女兒從死裡復活
[00:04:55.000 --> 00:05:02.000]  彼得、雅各、約翰親眼目睹這個神蹟
[00:05:02.000 --> 00:05:04.000]  登山變象
[00:05:04.000 --> 00:05:07.000]  耶穌也是帶著他們三個
[00:05:07.000 --> 00:05:10.000]  摩西和以利亞顯現
[00:05:10.000 --> 00:05:13.000]  彼得說我們搭三座棚
[00:05:13.000 --> 00:05:15.000]  在這裡真好
[00:05:15.000 --> 00:05:18.000]  雅各、約翰在旁邊
[00:05:18.000 --> 00:05:21.000]  目定口呆
[00:05:21.000 --> 00:05:23.000]  還是目不下級
[00:05:23.000 --> 00:05:25.000]  還是抄筆記
[00:05:25.000 --> 00:05:27.000]  摩西五經善始書
[00:05:27.000 --> 00:05:28.000]  不知道
[00:05:28.000 --> 00:05:30.000]  不過這是一個優勢
[00:05:30.000 --> 00:05:34.000]  你可以說其他門徒在山下趕鬼搞不定
[00:05:34.000 --> 00:05:37.000]  他們三個竟然上研討會
[00:05:37.000 --> 00:05:39.000]  上教學課
[00:05:39.000 --> 00:05:41.000]  他們跟著主耶穌
[00:05:41.000 --> 00:05:43.000]  見證祂的神蹟奇事
[00:05:43.000 --> 00:05:48.000]  見證祂榮耀的彰顯
[00:05:48.000 --> 00:05:51.000]  這是彼得、雅各、約翰
[00:05:51.000 --> 00:05:54.000]  我們不用說了
[00:05:54.000 --> 00:05:59.000]  你記得耶穌需要人跟祂警醒禱告
[00:05:59.000 --> 00:06:01.000]  就WhatsApp他們三個
[00:06:01.000 --> 00:06:04.000]  就叫他們一起去
[00:06:04.000 --> 00:06:05.000]  不過太累了
[00:06:05.000 --> 00:06:07.000]  太緊張了
[00:06:07.000 --> 00:06:10.000]  在耶路撒冷過節的時候出入
[00:06:10.000 --> 00:06:11.000]  很厲害
[00:06:11.000 --> 00:06:12.000]  人頭湧湧
[00:06:12.000 --> 00:06:14.000]  去到喀西瓦尼
[00:06:14.000 --> 00:06:17.000]  難得有片刻的安靜
[00:06:17.000 --> 00:06:19.000]  三個門徒
[00:06:19.000 --> 00:06:21.000]  心靈圓耳
[00:06:21.000 --> 00:06:23.000]  肉體圓若
[00:06:23.000 --> 00:06:26.000]  你清楚這個過程
[00:06:26.000 --> 00:06:28.000]  他們跟從主
[00:06:28.000 --> 00:06:30.000]  他們成為眾多
[00:06:30.000 --> 00:06:35.000]  混混眾多的門徒之中
[00:06:35.000 --> 00:06:37.000]  三個
[00:06:37.000 --> 00:06:43.000]  彼得、雅各、約翰
[00:06:43.000 --> 00:06:45.000]  所以當晚好福音記載
[00:06:45.000 --> 00:06:50.000]  耶穌一次、兩次、三次
[00:06:50.000 --> 00:06:52.000]  跟祂的門徒說
[00:06:52.000 --> 00:06:56.000]  人子必須受苦
[00:06:56.000 --> 00:06:59.000]  並且被殺
[00:06:59.000 --> 00:07:02.000]  第三日復活
[00:07:02.000 --> 00:07:04.000]  耶穌不是說一次
[00:07:04.000 --> 00:07:06.000]  不是說半次
[00:07:06.000 --> 00:07:07.000]  頭一次大家都呆了
[00:07:07.000 --> 00:07:09.000]  問題都不懂問
[00:07:09.000 --> 00:07:12.000]  接著彼得就第一個開聲
[00:07:12.000 --> 00:07:13.000]  萬萬不可
[00:07:13.000 --> 00:07:16.000]  耶穌斥責彼得殺蛋退我後面去吧
[00:07:16.000 --> 00:07:18.000]  你記得的這些細節
[00:07:18.000 --> 00:07:20.000]  來到第三次
[00:07:20.000 --> 00:07:21.000]  再說
[00:07:21.000 --> 00:07:23.000]  馬可福音第十章
[00:07:23.000 --> 00:07:25.000]  剛才Bernard老師跟我們讀出的經文
[00:07:25.000 --> 00:07:28.000]  就是在這樣之後
[00:07:28.000 --> 00:07:34.000]  雅各和約翰就來找耶穌了
[00:07:34.000 --> 00:07:36.000]  這一段的經文
