
[00:00:00.000 --> 00:00:04.280]  各位大家好 平安
[00:00:04.280 --> 00:00:06.880]  剛才我進來的時候
[00:00:06.880 --> 00:00:09.280]  盧醫生說我今晚很精神
[00:00:09.280 --> 00:00:11.520]  我經常覺得自己很精神
[00:00:11.520 --> 00:00:14.440]  我想我們前面的老人家
[00:00:14.440 --> 00:00:17.040]  每個人都覺得自己很精神
[00:00:17.040 --> 00:00:19.840]  但別人看見我們
[00:00:19.840 --> 00:00:22.400]  就說你今天好像不太精神
[00:00:22.400 --> 00:00:25.040]  但我們覺得自己很精神
[00:00:25.040 --> 00:00:29.680]  我們剛聽到印尼的牧師做了一個見證
[00:00:29.680 --> 00:00:32.840]  你也知道我們今晚有些老人家
[00:00:32.840 --> 00:00:36.360]  他信了主 今天第一次來我們教會聚會
[00:00:36.360 --> 00:00:39.800]  所有這些事能夠發生
[00:00:39.800 --> 00:00:42.360]  所有這些事能夠發生
[00:00:42.360 --> 00:00:44.960]  就是經文裏面那句話
[00:00:44.960 --> 00:00:50.040]  耶穌說我們要求我們的天父
[00:00:50.040 --> 00:00:53.960]  將人拆了他 講全他的福音
[00:00:53.960 --> 00:00:58.160]  我們這邊是接受那個傳福音的人
[00:00:58.160 --> 00:00:59.880]  所結的果子
[00:00:59.880 --> 00:01:03.880]  在我們的生命裏面一定有一些人
[00:01:03.880 --> 00:01:06.640]  某一個人 某一些人
[00:01:06.640 --> 00:01:08.640]  遵從那個吩咐
[00:01:08.640 --> 00:01:10.640]  進入我們的生命裏面
[00:01:10.640 --> 00:01:14.360]  跟我們講幾句關於耶穌基督的話
[00:01:14.360 --> 00:01:16.360]  使你有感動我們的心
[00:01:16.360 --> 00:01:18.760]  讓我們可以聽到那些話
[00:01:18.760 --> 00:01:22.120]  內心柔軟到可以信耶穌
[00:01:22.120 --> 00:01:24.400]  我們知道在這個世界裏面有很多人
[00:01:24.400 --> 00:01:27.000]  聽一波不信 聽兩波不信
[00:01:27.000 --> 00:01:31.000]  聽十波不信 聽一百波都不信
[00:01:31.000 --> 00:01:34.240]  我們今天在我們年紀老大的時候
[00:01:34.240 --> 00:01:37.440]  能夠有人將福音傳到我們的生命裏面來
[00:01:37.440 --> 00:01:40.600]  是上帝給我們一個很特別的恩典
[00:01:40.600 --> 00:01:42.720]  真的是一個很特別的恩典
[00:01:42.720 --> 00:01:46.280]  讓我們年紀老大的時候
[00:01:46.280 --> 00:01:49.880]  似乎我們的身體力量健康
[00:01:49.880 --> 00:01:52.000]  不如我們年輕的時候
[00:01:52.000 --> 00:01:54.200]  但是在這個年紀裏面
[00:01:54.200 --> 00:01:57.520]  仍然讓我們信得到耶穌
[00:01:57.520 --> 00:02:00.800]  信得到那些人不肯接納的
[00:02:00.800 --> 00:02:02.800]  或者拒絕的耶穌
[00:02:02.800 --> 00:02:05.400]  當聖經告訴我們
[00:02:05.400 --> 00:02:08.760]  為什麼我們要讀馬大福音第九章
[00:02:08.760 --> 00:02:10.440]  一直到第十章
[00:02:10.440 --> 00:02:14.120]  因為這兩段的聖經是不可以分開的
[00:02:14.120 --> 00:02:15.840]  我們一分開的話
[00:02:15.840 --> 00:02:18.240]  固然有它自己的信息
[00:02:18.240 --> 00:02:20.640]  但是那個最重要的信息就是
[00:02:20.640 --> 00:02:22.520]  主耶穌說
[00:02:22.520 --> 00:02:27.520]  我們要求天父派人出去收割莊稼
[00:02:27.520 --> 00:02:30.240]  然後他就選擇門道
[00:02:30.240 --> 00:02:31.280]  訓練他們
[00:02:31.280 --> 00:02:32.400]  拆敗他們出去
[00:02:32.400 --> 00:02:34.400]  是相輔相成的
[00:02:34.400 --> 00:02:35.960]  我們今天一起來看看
[00:02:35.960 --> 00:02:37.600]  在這兩段的經文裏面
[00:02:37.600 --> 00:02:39.280]  或者整段的經文裏面
[00:02:39.280 --> 00:02:42.480]  上帝會給我們什麼信息呢?
[00:02:42.480 --> 00:02:44.440]  經文第九章三十五節
[00:02:44.440 --> 00:02:47.600]  耶穌走遍各城各疆
[00:02:47.600 --> 00:02:49.680]  在會堂裏教訓人
[00:02:49.680 --> 00:02:51.880]  宣講天國的福音
[00:02:51.880 --> 00:02:54.160]  有醫治各種病症
[00:02:54.160 --> 00:02:57.000]  祂出來傳講福音
[00:02:57.000 --> 00:03:00.440]  祂出來醫治各種病症
[00:03:00.440 --> 00:03:03.160]  醫病趕鬼
[00:03:03.160 --> 00:03:05.160]  耶穌說
[00:03:05.160 --> 00:03:08.760]  帶著一群人
[00:03:08.760 --> 00:03:10.440]  可能很多人跟著祂
[00:03:10.440 --> 00:03:12.640]  可能不是太多人跟著祂
[00:03:12.640 --> 00:03:13.680]  經文裏說
[00:03:13.680 --> 00:03:15.880]  耶穌走遍
[00:03:15.880 --> 00:03:18.400]  然後祂吩咐呼召門道
[00:03:18.400 --> 00:03:21.560]  讓我們讀經的人在想像的話
[00:03:21.560 --> 00:03:25.480]  到底耶穌走遍各城各疆
[00:03:25.480 --> 00:03:27.920]  是不是孤伶伶的一個人
[00:03:27.920 --> 00:03:30.200]  去到不同的疆鎮
[00:03:30.200 --> 00:03:32.000]  去到不同的村莊裏面
[00:03:32.000 --> 00:03:34.600]  進入猶太人的會堂裏面
[00:03:34.600 --> 00:03:36.920]  宣講天國的福音
[00:03:36.920 --> 00:03:40.080]  或者他們沒辦法去到會堂裏面
[00:03:40.080 --> 00:03:42.840]  在風箏露宿野地裏面
[00:03:42.840 --> 00:03:44.720]  有人群聚集的地方
[00:03:44.720 --> 00:03:46.360]  祂就過去跟人說
[00:03:46.360 --> 00:03:48.320]  我們不是很知道
[00:03:48.320 --> 00:03:51.200]  當時跟耶穌到處走的
[00:03:51.200 --> 00:03:52.240]  有多少人
[00:03:52.240 --> 00:03:56.880]  因為第十章祂才呼召門道
[00:03:56.880 --> 00:03:59.240]  有一群人跟著祂
[00:03:59.240 --> 00:04:01.840]  可能還沒呼召他們的時候
[00:04:01.840 --> 00:04:04.840]  他們都在群眾裏面跟著耶穌
[00:04:04.840 --> 00:04:06.040]  也說不定
[00:04:06.040 --> 00:04:08.560]  所以第九章第三十五節
[00:04:08.560 --> 00:04:11.160]  耶穌走遍各城各疆
[00:04:11.160 --> 00:04:12.360]  你可以想像
[00:04:12.360 --> 00:04:14.240]  祂可能是孤伶伶的一個人
[00:04:14.240 --> 00:04:16.600]  有可能是一群人
[00:04:16.600 --> 00:04:18.280]  無論是孤伶伶的一個人
[00:04:18.280 --> 00:04:20.440]  無論是一群人跟著祂
[00:04:20.440 --> 00:04:23.960]  祂忠心地想做完上帝的交代給他的工作
[00:04:23.960 --> 00:04:26.720]  祂走遍各城各疆
[00:04:26.720 --> 00:04:29.800]  有很多人說我們基督徒
[00:04:29.800 --> 00:04:31.480]  或者我們中文人
[00:04:31.480 --> 00:04:32.520]  我們中國人
[00:04:32.520 --> 00:04:35.200]  中國人喜歡把事情煲大
[00:04:35.200 --> 00:04:37.240]  其實走了一條香磚
[00:04:37.240 --> 00:04:39.720]  祂就走遍各城各疆
[00:04:39.720 --> 00:04:43.040]  可能我們讀中文的人
[00:04:43.040 --> 00:04:44.560]  可能很多時候就說
[00:04:44.560 --> 00:04:46.640]  說大了一點
[00:04:46.640 --> 00:04:48.160]  這麼多條香磚
[00:04:48.160 --> 00:04:50.600]  祂能走遍所有嗎?
[00:04:50.600 --> 00:04:55.760]  但是從經文《瑪達·馬可羅加約翰四本福音書》
[00:04:55.760 --> 00:04:59.960]  和其他的經文裏面給我們看到
[00:04:59.960 --> 00:05:05.280]  一群人奉上帝自己的使命
[00:05:05.280 --> 00:05:07.360]  心裏有所感動
[00:05:07.360 --> 00:05:09.960]  無論藉著他們的旅行
[00:05:09.960 --> 00:05:14.000]  無論藉著他們由南到北的耶路撒冷過節
[00:05:14.000 --> 00:05:16.240]  或者他們要出去外做生意
