
[00:00:00.000 --> 00:00:04.620]  各位網友 歡迎收看這條片子
[00:00:04.620 --> 00:00:09.760]  請大家訂閱我的頻道 並且打開通知的小鈴鐺
[00:00:09.760 --> 00:00:14.740]  以便接收更多最新的資訊 多謝各位收看 再見
[00:00:14.740 --> 00:00:17.860]  各位網友 今天我們來談談
[00:00:17.860 --> 00:00:25.220]  我們究竟怎樣才可以重新得力 展翅上騰
[00:00:25.220 --> 00:00:31.060]  我相信講這個題目對大家來說都會明白 也不是陌生
[00:00:31.060 --> 00:00:34.860]  這個題目是因為我們在過去這段日子
[00:00:34.860 --> 00:00:39.020]  其實無論你自己個人 或者你的際遇
[00:00:39.020 --> 00:00:43.060]  又或者你的家 甚至我們周圍的社會
[00:00:43.060 --> 00:00:49.360]  失望 令我們很消沉 令我們很厭悶
[00:00:49.360 --> 00:00:53.420]  甚至有時候很無奈 很憤怒
[00:00:53.420 --> 00:00:58.380]  帶來給我們一個很抑鬱和很深的一個感覺
[00:00:58.380 --> 00:01:03.040]  究竟神的話怎樣可以再次
[00:01:03.040 --> 00:01:07.040]  讓我們在這個幽谷裏面能夠走出來呢
[00:01:07.040 --> 00:01:12.060]  或者說我OK 但可能你身邊有人都會這樣的時候
[00:01:12.060 --> 00:01:15.500]  我相信這個是我們所需要的訊息
[00:01:15.500 --> 00:01:18.780]  今天在第一次的這個主題裏面
[00:01:18.780 --> 00:01:23.300]  我想和大家一起看一看 舊約一個人物的個案
[00:01:23.300 --> 00:01:27.220]  就是這個偉大的先知 以利亞
[00:01:27.220 --> 00:01:31.540]  其實一個偉大的先知也好 一個小人物也好
[00:01:31.540 --> 00:01:34.700]  都會有抑鬱的 都有depression的
[00:01:34.700 --> 00:01:38.540]  我們對以利亞不陌生的了
[00:01:38.540 --> 00:01:42.580]  所以我們今天特別研究一下他 好不好
[00:01:42.580 --> 00:01:47.740]  以利亞他和我們其實不是相差很遠的
[00:01:47.740 --> 00:01:51.380]  新約聖經在《雅各書》特別提到
[00:01:51.380 --> 00:01:55.060]  其實以利亞和我們一樣有相同的限制
[00:01:55.060 --> 00:01:58.300]  也是一個軟弱的人 我們看回舊約聖經裏面
[00:01:58.300 --> 00:02:02.140]  以利亞真是一個很自卑
[00:02:02.140 --> 00:02:04.940]  但也曾經是一個很自負的人
[00:02:04.940 --> 00:02:09.740]  他也是一個很恐懼 但也是一個很驕傲的人
[00:02:09.740 --> 00:02:14.460]  這個就是以利亞那種複雜 就好像你和我一樣
[00:02:14.460 --> 00:02:17.980]  有時候在他的人生裏面 高高低低的當中
[00:02:17.980 --> 00:02:22.140]  他面對很多的挑戰 尤其是他的depression
[00:02:22.140 --> 00:02:25.060]  尤其是他的抑鬱
[00:02:25.060 --> 00:02:28.620]  我們一起今天看一下究竟發生了什麼事
[00:02:28.620 --> 00:02:33.860]  為了對大家有一些交代 我很短的時間 很快
[00:02:33.860 --> 00:02:38.380]  將以利亞這種人生裏面的起起伏伏
[00:02:38.380 --> 00:02:42.580]  很快的講一次 希望提醒你和我一些回憶
