
[00:00:00.000 --> 00:00:02.000]  不知道大家認不認識我呢?
[00:00:02.000 --> 00:00:04.000]  我以為好像Fred弟兄那樣
[00:00:04.000 --> 00:00:06.000]  都是不認識的
[00:00:06.000 --> 00:00:08.000]  很久之前來過這個地方
[00:00:08.000 --> 00:00:10.000]  隔了很久
[00:00:10.000 --> 00:00:12.000]  有機會再回到大家當中
[00:00:12.000 --> 00:00:14.000]  這個是大家59週年的
[00:00:14.000 --> 00:00:16.000]  狂慶的聚會
[00:00:16.000 --> 00:00:18.000]  主祈福大家
[00:00:18.000 --> 00:00:20.000]  在這個台上
[00:00:20.000 --> 00:00:22.000]  大家的心情
[00:00:22.000 --> 00:00:24.000]  大家的心情
[00:00:24.000 --> 00:00:26.000]  大家的心情
[00:00:26.000 --> 00:00:28.000]  大家的心情
[00:00:28.000 --> 00:00:30.000]  大家在這個
[00:00:30.000 --> 00:00:32.000]  狂慶的日子
[00:00:32.000 --> 00:00:34.000]  大家的愛心
[00:00:34.000 --> 00:00:36.000]  力量繼續增添
[00:00:36.000 --> 00:00:38.000]  上次來的時候
[00:00:38.000 --> 00:00:40.000]  我覺得這裡的顏色不是這樣的
[00:00:40.000 --> 00:00:42.000]  燈光也不是這樣的
[00:00:42.000 --> 00:00:44.000]  來到現在
[00:00:44.000 --> 00:00:46.000]  光了很多
[00:00:46.000 --> 00:00:48.000]  顏色淺了一點
[00:00:48.000 --> 00:00:50.000]  也看到大家是一個
[00:00:50.000 --> 00:00:52.000]  很整潔的群體
[00:00:52.000 --> 00:00:54.000]  最特別的是我發覺
[00:00:54.000 --> 00:00:56.000]  大家都是很小心的
[00:00:56.000 --> 00:00:58.000]  很少看到禮拜堂
[00:00:58.000 --> 00:01:00.000]  好像酒店
[00:01:00.000 --> 00:01:02.000]  或者飛機
[00:01:02.000 --> 00:01:04.000]  預備了緊急的電筒
[00:01:04.000 --> 00:01:06.000]  你可能不知道
[00:01:06.000 --> 00:01:08.000]  禮拜堂有緊急的電筒
[00:01:08.000 --> 00:01:10.000]  在港台下面有的
[00:01:10.000 --> 00:01:12.000]  還有一個緊急的小型擴音機
[00:01:12.000 --> 00:01:14.000]  你們隨時準備疏散
[00:01:14.000 --> 00:01:16.000]  總而言之一個群體
[00:01:16.000 --> 00:01:18.000]  能夠來到
[00:01:18.000 --> 00:01:20.000]  不論幾多歲
[00:01:20.000 --> 00:01:22.000]  能夠繼續有改變
[00:01:22.000 --> 00:01:24.000]  繼續有進步
[00:01:24.000 --> 00:01:26.000]  我覺得這是
[00:01:26.000 --> 00:01:28.000]  一個很好的事
[00:01:28.000 --> 00:01:30.000]  我來自一個快要
[00:01:30.000 --> 00:01:32.000]  110週年的群體
[00:01:32.000 --> 00:01:34.000]  也看到
[00:01:34.000 --> 00:01:36.000]  香港的華人教會
[00:01:36.000 --> 00:01:38.000]  也在面對不少的挑戰
[00:01:38.000 --> 00:01:40.000]  期望住在
[00:01:40.000 --> 00:01:42.000]  我們大家當中
[00:01:42.000 --> 00:01:44.000]  看起來
[00:01:44.000 --> 00:01:46.000]  各位都尚算年輕
[00:01:46.000 --> 00:01:48.000]  但是多年輕
[00:01:48.000 --> 00:01:50.000]  大家都心裡有數
[00:01:50.000 --> 00:01:52.000]  希望
[00:01:52.000 --> 00:01:54.000]  不知道明天晚上
[00:01:54.000 --> 00:01:56.000]  或者禮拜天會不會看到更多
[00:01:56.000 --> 00:01:58.000]  年輕的
[00:01:58.000 --> 00:02:00.000]  很多教會都在面對
[00:02:00.000 --> 00:02:02.000]  種種的衝擊
[00:02:02.000 --> 00:02:04.000]  種種的挑戰
[00:02:04.000 --> 00:02:06.000]  特別是普世的華人教會
[00:02:06.000 --> 00:02:08.000]  面對的難處
[00:02:08.000 --> 00:02:10.000]  其實都是大同小異
[00:02:10.000 --> 00:02:12.000]  怎樣
[00:02:12.000 --> 00:02:14.000]  可以突破呢
[00:02:14.000 --> 00:02:16.000]  我覺得是我們大家需要
[00:02:16.000 --> 00:02:18.000]  同心去
[00:02:18.000 --> 00:02:20.000]  求變
[00:02:20.000 --> 00:02:22.000]  如果不進步不變
[00:02:22.000 --> 00:02:24.000]  就是一路一路
[00:02:24.000 --> 00:02:26.000]  來到好像
[00:02:26.000 --> 00:02:28.000]  維持住
[00:02:28.000 --> 00:02:30.000]  那個老字號
[00:02:30.000 --> 00:02:32.000]  直到維持
[00:02:32.000 --> 00:02:34.000]  的人都覺得
[00:02:34.000 --> 00:02:36.000]  完成了那一代的
[00:02:36.000 --> 00:02:38.000]  使命
[00:02:38.000 --> 00:02:40.000]  就不用說了
[00:02:40.000 --> 00:02:42.000]  我希望
[00:02:42.000 --> 00:02:44.000]  藉著這幾天
[00:02:44.000 --> 00:02:46.000]  我們都是看到主像
[00:02:46.000 --> 00:02:48.000]  我們當中私恩給我們
[00:02:48.000 --> 00:02:50.000]  今晚其實和大家
[00:02:50.000 --> 00:02:52.000]  思想的就是這個
[00:02:52.000 --> 00:02:54.000]  第一章主要的
[00:02:54.000 --> 00:02:56.000]  信息
[00:02:56.000 --> 00:02:58.000]  教會到底
[00:02:58.000 --> 00:03:00.000]  是什麼來的
[00:03:00.000 --> 00:03:02.000]  到底屬於誰
[00:03:02.000 --> 00:03:04.000]  如果教會很清楚
[00:03:04.000 --> 00:03:06.000]  自己的身份
