
[00:00:00.000 --> 00:00:06.000]  早安,我們今天繼續思想老家夫人的信息,請我們再一次同心低頭,同祈禱
[00:00:06.000 --> 00:00:10.000]  天父,我們再一次感謝你,給你寶貴的話語作為生命的指引
[00:00:10.000 --> 00:00:16.000]  你教導我們,我們的信仰是表裡一詞,而不是說一套做一套
[00:00:16.000 --> 00:00:22.000]  祝福我們,聖靈向我們說話,無論提醒、獻念、教導、安慰、督責
[00:00:22.000 --> 00:00:29.000]  都讓我們能夠容得下你的話語在我們的生命裏改變我們,做到奉耶穌名下,多謝
[00:00:29.000 --> 00:00:36.000]  Fullerton前一個主任牧師,叫Chuck Swindoll,他說了一個非常有趣的故事
[00:00:36.000 --> 00:00:41.000]  有一次他收到一封匿名信,信的內容是這樣寫的
[00:00:41.000 --> 00:00:50.000]  牧師,我們是你一班牧養的小朋友,非常欣賞和尊重你的帶領
[00:00:50.000 --> 00:00:57.000]  我是你們教會的會友,我們每逢星期三早上六點半
[00:00:57.000 --> 00:01:05.000]  在一個餐館裏面,我們一起吃早餐,一起讀聖經,一起祈禱,然後我們才各別上班
[00:01:05.000 --> 00:01:12.000]  每個星期如是,我們一班弟兄姊妹,我們一班弟兄都非常投入這個祖土會
[00:01:12.000 --> 00:01:23.000]  非常欣賞這個祖土會,上星期我和四個弟兄一起開車去到這個餐館準備吃早餐,參加這個聚會
[00:01:23.000 --> 00:01:34.000]  誰知那天,很多車,交通阻塞,遲到,看了一下手錶,嘩,差不多過時
[00:01:34.000 --> 00:01:44.000]  我們車停在哈巴布魯瓦的紅綠燈前,不知為何交通燈又要整頓我們
[00:01:44.000 --> 00:01:52.000]  久而久之都不轉燈,我們心急如焚,其中一個弟兄說,不如充紅燈,反正現在沒有車
[00:01:52.000 --> 00:01:58.000]  我們其他三個就齊口集合,我們基督徒不可以充紅燈
[00:01:58.000 --> 00:02:09.000]  我還未說完這句話,我轉頭看看旁邊有一輛紅色的福斯車,司機面熟,竟然充紅燈
[00:02:09.000 --> 00:02:20.000]  我們嚇了一跳,喂,他充紅燈,所以我寫了封信給你,給你一個悔罪的機會
[00:02:20.000 --> 00:02:25.000]  因為那個開紅色的福斯車的就是牧師
[00:02:25.000 --> 00:02:35.000]  請你下個星期三六點半去到我們的餐館,向我們一班弟兄去認罪,因為我們是目擊證人
[00:02:35.000 --> 00:02:44.000]  如果我們看不到你,我們就將整個故事寄去Christianity Today,公之於世,請你慎重考慮
[00:02:44.000 --> 00:02:51.000]  嘩,這樣來恐嚇牧師,幸好我做了牧師這麼久都沒有被人這樣恐嚇過
[00:02:51.000 --> 00:03:04.000]  星期三一早,這個Chuck Fyndall牧師特單人匹馬,開著車去到餐館,時候還早,去到的時候牧師一個人就進去了
[00:03:04.000 --> 00:03:16.000]  當時的侍應見到他,請問你是不是一個人?牧師回答他,不是,我約了一班法理菜人和文士來吃早餐
[00:03:16.000 --> 00:03:26.000]  那些法理菜人和文士覺得他傻傻的,算了,過了沒多久,這班弟兄就出現了
[00:03:26.000 --> 00:03:43.000]  一見到牧師,笑口沙沙的上前握手,牧師一起來,發覺前面掛著一個牌,牌上有幾個大字寫著認罪,Guilty as charged
[00:03:43.000 --> 00:03:55.000]  一班弟兄見到,好像那些中國的犯人,揹著個袋出去的時候,Guilty as charged
[00:03:55.000 --> 00:04:05.000]  一班弟兄在笑的時候,牧師立刻轉過面,看到牌後面有寫著,你們中間誰是沒有罪的就先用石頭扔我
[00:04:05.000 --> 00:04:21.000]  當時一班弟兄都在笑,於是那些弟兄說,牧師,算了,這樣就算了,負責為了避免起見,我們請你吃飯,但你要帶茶經,帶完茶經才准吃早餐
[00:04:21.000 --> 00:04:35.000]  Charles Winter 說完這個故事之後,他說,經過這件事之後,我一輩子都不會出紅燈,人誰無過呢?
[00:04:35.000 --> 00:04:50.000]  事實上我們做基督徒,甚至是做領袖,做牧師,真的要特別小心,有很多人盯著,看你有沒有走錯,有一個英國的牧師,他講他自己的故事
[00:04:50.000 --> 00:05:05.000]  英國的雙層巴士沒有八達通,沒有我們這些Clipper,每個上去就要付錢,或者找錢,英國的巴士,倫敦巴士可以找錢
[00:05:05.000 --> 00:05:30.000]  這個牧師上巴士找錢,坐在那裏,突然間看,我明明給了他五元,為何找那麼多錢,他那時才發覺司機找了很多錢,於是他快下車之前就走去跟司機說,司機,我剛才給了你五元,你當作二十元,找了很多錢,我想給你
[00:05:30.000 --> 00:05:50.000]  司機看著,然後嘗試跟他說,牧師,我有意,拆下你,你記不記得你上星期說甚麼,你上星期說道shall not steal,你不可以偷渡,那我就查一下你是否偷渡
[00:05:50.000 --> 00:06:07.000]  所以就特意給你多些錢,看你是不是誠誠實實,嘩,你真是多危險,所以真的要小心點,所以我都要買回Clipper,免得別人找錢,一會兒忘記了就糟糕
