
[00:00:00.000 --> 00:00:04.320]  很高興今天有機會跟大家一起思想福音
[00:00:04.320 --> 00:00:09.560]  看上去真的有點不太熟悉的臉孔
[00:00:09.560 --> 00:00:13.280]  今天有機會跟大家一起思想聖經
[00:00:13.280 --> 00:00:15.280]  剛才我們讀了幾節聖經
[00:00:15.280 --> 00:00:17.280]  這節聖經都很精彩
[00:00:17.280 --> 00:00:20.160]  不過我還記得今天有個題目
[00:00:20.160 --> 00:00:23.240]  我看到你們在報紙上賣廣告
[00:00:23.240 --> 00:00:25.240]  今天的題目叫什麼?
[00:00:25.240 --> 00:00:27.240]  明月什麼時候有?
[00:00:27.240 --> 00:00:29.240]  因為快要中秋了
[00:00:29.240 --> 00:00:32.640]  如果我們懂得背誦的話
[00:00:32.640 --> 00:00:36.040]  我想我們大概都是那個年代的書法
[00:00:36.040 --> 00:00:38.840]  因為我不是特別懂得雕書包的人
[00:00:38.840 --> 00:00:43.240]  不過我當年讀中國語文就背過這一課書
[00:00:43.240 --> 00:00:44.640]  有沒有人懂得背?
[00:00:44.640 --> 00:00:47.640]  有人問我懂不懂唱
[00:00:47.640 --> 00:00:49.640]  唱就懂得唱
[00:00:49.640 --> 00:00:51.640]  不過今天不打算跟大家獻醜
[00:00:51.640 --> 00:00:55.040]  大家都知道這首歌是可以譜出來的
[00:00:55.040 --> 00:00:58.240]  鄧麗君唱過 王菲唱過 張學友唱過
[00:00:58.240 --> 00:01:00.240]  費月清都唱過
[00:01:00.240 --> 00:01:01.640]  不知道嗎?
[00:01:01.640 --> 00:01:05.640]  明月幾時有?把酒問青天
[00:01:05.640 --> 00:01:10.240]  不知天上宮闕 今夕是何年?
[00:01:10.240 --> 00:01:15.240]  我欲乘風歸去 唯恐瓊樓欲雨
[00:01:15.240 --> 00:01:21.040]  高處不勝寒 起霧弄清影 何似在人間?
[00:01:21.040 --> 00:01:25.240]  轉諸葛底已護照無眠 不應有恨
[00:01:25.240 --> 00:01:28.240]  何事長向別時圓?
[00:01:28.240 --> 00:01:32.440]  人有悲歡離合 月有陰晴圓缺
[00:01:32.440 --> 00:01:36.440]  此事古難傳 但願人長久
[00:01:36.440 --> 00:01:38.440]  千里共善倦
[00:01:38.440 --> 00:01:42.440]  大家都在斷斷續續的記住了
[00:01:42.440 --> 00:01:44.440]  其實是中學的時候的一課
[00:01:44.440 --> 00:01:46.440]  中國文學的一課書
[00:01:46.440 --> 00:01:50.440]  一路經過了幾十年
[00:01:50.440 --> 00:01:53.440]  在心裡去孕育蘇軾這首詞
[00:01:53.440 --> 00:01:55.440]  是用來紀念他自己
[00:01:55.440 --> 00:01:58.440]  念梓游 是不是?梓游是誰?
[00:01:58.440 --> 00:02:01.440]  蘇軾 他的兄弟
[00:02:01.440 --> 00:02:06.440]  他在老遠的地方 當時沒有網絡
[00:02:06.440 --> 00:02:10.440]  所以只可以千里共善倦
[00:02:10.440 --> 00:02:12.440]  善倦是什麼?
[00:02:12.440 --> 00:02:15.440]  月光
[00:02:15.440 --> 00:02:17.440]  善倦是指月光
[00:02:17.440 --> 00:02:20.440]  我們千里雖然沒有機會相遇
[00:02:20.440 --> 00:02:23.440]  但我們能夠一起見到月光
[00:02:23.440 --> 00:02:27.440]  但願我們能夠共享這一輪的明月
[00:02:27.440 --> 00:02:29.440]  大家都知道
[00:02:29.440 --> 00:02:32.440]  蘇軾寫這首詞的時候是喝醉酒寫的
[00:02:32.440 --> 00:02:36.440]  喝醉酒 又很想念兄弟
[00:02:36.440 --> 00:02:38.440]  仕途又不是很如意
[00:02:38.440 --> 00:02:42.440]  大家都知道 通常寫詩也好 寫詞也好
[00:02:42.440 --> 00:02:45.440]  通常都是那些失落的
[00:02:45.440 --> 00:02:48.440]  寫得比較深入一點
[00:02:48.440 --> 00:02:52.440]  有時候我們發覺原來人都是喜歡在失落的時候
[00:02:52.440 --> 00:02:55.440]  生命力比較強一點
[00:02:55.440 --> 00:02:59.440]  寫的詩也好 詞也好 歌曲也好
[00:02:59.440 --> 00:03:02.440]  那些心意是比較有深度的
